Name,Image,Outdoor Image,Icon,Source,Droppable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Placeable in House,HHA Base Points,Color 1,Color 2,When HHA Lucky,Fashion,Equip Type,Clothing Type,Consumable,Plant,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
pink-lily bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,ピンクのユリ,lirio rosa,lirio rosa,sac de lys roses,sac de lys roses,Türkenbundlilie,giglio rosa,핑크색 백합,1.0,205B,205B,-,,,,,-,,-
black-lily bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,くろいユリ,lirio negro,lirio negro,sac de lys noirs,sac de lys noirs,Dunkellilie,giglio nero,검정 백합,1.0,205C,205C,-,,,,,-,,-
purple-violet bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,むらさきのスミレ,violeta morada,violeta morada,sac violettes mauves,sac violettes mauves,Waldveilchen,violetta viola,보라색 제비꽃,1.0,205D,205D,-,,,,,-,,-
blue-violet bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,あおいスミレ,violeta azul,violeta azul,sac violettes bleues,sac violettes bleues,Blauveilchen,violetta blu,파란 제비꽃,1.0,205E,205E,-,,,,,-,,-
white-violet bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,しろいスミレ,violeta blanca,violeta blanca,sac violet. blanches,sac violet. blanches,Grabenveilchen,violetta bianca,하얀 제비꽃,1.0,205F,205F,-,,,,,-,,-
yellow-violet bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,きいろいスミレ,violeta amarilla,violeta amarilla,sac violettes jaunes,sac violettes jaunes,Galmeiveilchen,violetta gialla,노란 제비꽃,1.0,2060,2060,-,,,,,-,,-
wrapping paper,,,,Nooklings,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,"Player can ""wrap"" other items",-,ラッピングペーパー,papel de regalo,papel de regalo,papier cadeau,papier cadeau,Geschenkpapier,carta da regalo,포장지,1.0,2084,2089,-,,,,,,,-
medicine,,,,Nooklings,Yes,400,-,100,80,-,No,0,-,-,-,-,-,-,Yes,No,,-,おくすり,medicina,medicina,remède,remède,Medizin,medicina,약,1.0,2085,208A,-,,,,,medicine,,-
chocolate heart,,,,Villagers,Yes,-,-,100,80,-,No,0,-,-,Feb 1-28,-,-,-,Yes,No,Player blushes in pleasure after eating,-,ハートのチョコレート,chococorazón,chococorazón,cœur choco,cœur choco,Schokoladenherz,ciocco-cuore,하트 초콜릿,1.0,2086,208B,-,,,,,,,-
pearl-oyster shell,,,,Beach,Yes,-,-,1200,960,25,Yes,3,-,-,-,-,-,-,No,No,,-,アコヤガイのかいがら,concha ostra perlera,concha ostra perlera,coq. huître perlière,coq. huître perlière,Perlmuschelschale,conch. ostrica pinc.,진주조개 껍데기,1.0,2087,208C,int_shl_akoya,,,,,-,,pearl-oyster shell
conch shell,,,,Beach,Yes,-,-,350,280,25,Yes,3,-,-,-,-,-,-,No,No,,-,ホラガイのかいがら,concha de neptunea,concha de neptunea,coquille de conque,coquille de conque,Tritonshorn,conchiglia strombo,소라고둥 껍데기,1.0,2088,208D,int_shl_hora,,,,,conch shell,,conch shell
giant-clam shell,,,,Beach,Yes,-,-,450,360,25,Yes,3,-,-,-,-,-,-,No,No,,-,シャコガイのかいがら,concha alm. gigante,concha alm. gigante,coq. bénitier géant,coq. bénitier géant,Riesenmuschelschale,conch. vongola gig.,거거 껍데기,1.0,2089,208E,int_shl_syako,,,,,giant-clam shell,,-
coral,,,,Beach,Yes,-,-,250,200,25,Yes,3,-,-,-,-,-,-,No,No,,-,サンゴ,coral,coral,branche de corail,branche de corail,Koralle,corallo,산호,1.0,208A,208F,int_shl_sango,,,,,coral,,coral
venus-comb shell,,,,Beach,Yes,-,-,150,120,25,Yes,3,-,-,-,-,-,-,No,No,,-,ホネガイのかいがら,concha peine Venus,concha peine Venus,coq. peigne de vénus,coq. peigne de vénus,Stachelschneckenhaus,pettine di Venere,뮤렉스조개 껍데기,1.0,208B,2090,int_shl_hone,,,,,venus-comb shell,,venus-comb shell
scallop shell,,,,Beach,Yes,-,-,600,480,12,Yes,3,-,-,-,-,-,-,No,No,,-,ホタテガイのかいがら,concha de vieira,concha de vieira,coquille de pétoncle,coquille de pétoncle,Kammmuschelschale,conchiglia capasanta,가리비 껍데기,1.0,208C,2091,int_shl_hotate,,,,,-,,scallop shell
sea-snail shell,,,,Beach,Yes,-,-,90,72,12,Yes,3,-,-,-,-,-,-,No,No,,-,エビスガイのかいがら,concha caracol mar,concha caracol mar,coq. escargot de mer,coq. escargot de mer,Kreiselschneckenhaus,conch. chiocciola,방석고둥 껍데기,1.0,208D,2092,int_shl_ebisu,,,,,sea-snail shell,,-
cowrie shell,,,,Beach,Yes,-,-,30,24,12,Yes,3,-,-,-,-,-,-,No,No,,-,タカラガイのかいがら,concha de cauri,concha de cauri,coq. de porcelaine,coq. de porcelaine,Kaurischneckenhaus,conchiglia ciprea,자패 껍데기,1.0,208E,2093,int_shl_takara,,,,,cowrie shell,,-
sand dollar,,,,Beach,Yes,-,-,60,48,12,Yes,3,-,-,-,-,-,-,No,No,,-,サンドダラー,dólar de arena,dólar de arena,clypéastre,clypéastre,Sanddollar,dollaro sabbioso,연잎성게,1.0,208F,2094,int_shl_sanddollar,,,,,sand dollar,,-
oyster shell,,,,Beach,Yes,-,-,450,360,12,Yes,3,-,-,-,-,-,-,No,No,,-,オイスターのかいがら,concha de ostra,concha de ostra,coquille d'huître,coquille d'huître,Austernschale,conchiglia ostrica,굴 껍데기,1.0,2090,2095,int_shl_kaki,,,,,-,,oyster shell
candy,,,,Nooklings,Yes,400,-,100,80,-,No,0,yellow,-,-,-,-,-,Yes,No,Can spawn ants,-,アメ,chuche,chuche,bonbon,bonbon,Bonbon,dolcetto,사탕,1.0,2091,2096,-,,,,,candy,,-
lollipop,,,,Villagers,Yes,-,-,100,80,-,No,0,-,-,-,-,-,-,Yes,No,Can spawn ants,-,ロリポップ,piruleta,piruleta,sucette,sucette,Lolli,lecca-lecca,롤리팝,1.0,2092,2097,-,,,,,lollipop,,-
elegant mushroom,,,,Near patterned tree stumps,Yes,-,-,10000,8000,-,No,0,-,-,Nov 1-30,-,-,-,Yes,No,Player blushes in pleasure after eating,-,りっぱなキノコ,champiñón elegante,champiñón elegante,champignon élégant,champignon élégant,Elegantpilz,fungo elegante,멋진 버섯,1.0,2093,2098,-,,,,,elegant mushroom,,-
round mushroom,,,,Near patterned tree stumps,Yes,-,-,200,160,-,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,まるいキノコ,champiñón redondo,champiñón redondo,champignon rond,champignon rond,Rundpilz,fungo tondo,둥근 버섯,1.0,2094,2099,-,,,,,round mushroom,,-
skinny mushroom,,,,Near patterned tree stumps,Yes,-,-,300,240,-,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,ほそいキノコ,champiñón fino,champiñón fino,champignon maigre,champignon maigre,Dürrpilz,fungo fino,가는 버섯,1.0,2095,209A,-,,,,,skinny mushroom,,-
flat mushroom,,,,Near patterned tree stumps,Yes,-,-,200,160,-,No,0,-,-,-,-,-,-,Yes,No,Player blushes in pleasure after eating,-,ひらたいキノコ,champiñón plano,champiñón plano,champignon plat,champignon plat,Flachpilz,fungo piatto,넓은 버섯,1.0,2096,209B,-,,,,,flat mushroom,,-
rare mushroom,,,,Buried near patterned tree stumps,Yes,-,-,16000,12800,-,No,0,-,-,Nov 1-30,-,-,-,Yes,No,Player blushes in pleasure after eating,-,めずらしいキノコ,champiñón raro,champiñón raro,champignon rare,champignon rare,Seltenpilz,fungo raro,희귀 버섯,1.0,2097,209C,-,,,,,rare mushroom,,-
famous mushroom,,,,Near patterned tree stumps,Yes,-,-,16000,12800,-,No,0,-,-,-,-,-,-,Yes,No,Player temporarily grows in size in reference to Super Mario,-,ゆうめいなキノコ,champiñón especial,champiñón especial,champignon célèbre,champignon célèbre,Berühmtpilz,fungo celebre,유명한 버섯,1.0,2098,209D,-,,,,,-,,-
beehive,,,,Bee Tree,Yes,-,-,500,400,-,No,0,-,-,-,-,-,-,No,No,,-,ハチのす,panal,panal,rayon de miel,rayon de miel,Honigwabe,alveare,벌집,1.0,2099,209E,-,,,,,wasp nest,,-
pitfall seed,,,,Buried,Yes,-,-,10,8,-,No,0,-,-,-,-,-,-,No,No,,-,おとしあなのタネ,trampa,trampa,piège,piège,Falle,trappola,함정 씨앗,1.0,209A,209F,-,,,,,pitfall seed,,-
tricky pitfall seed,,,,Police Station,Yes,-,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,ズルいおとしあなのタネ,trampa disimulada,trampa disimulada,piège discret,piège discret,Superfalle,trappola insidiosa,감쪽같은 함정 씨앗,1.0,209B,20A0,-,,,,,-,,-
gold nugget,,,,Ore Rock,Yes,-,-,4000,3200,-,No,0,-,-,-,-,-,-,No,No,,-,きんこうせき,oro,oro,pépite d'or,pépite d'or,Golderz,minerale d'oro,금광석,1.0,209C,20A1,-,,,,,gold nugget,,-
silver nugget,,,,Ore Rock,Yes,-,-,3000,2400,-,No,0,-,-,-,-,-,-,No,No,,-,ぎんこうせき,plata,plata,pépite d'argent,pépite d'argent,Silbererz,minerale d'argento,은광석,1.0,209D,20A2,-,,,,,-,,-
ruby,,,,Ore Rock,Yes,-,-,2000,1600,-,No,0,-,-,-,-,-,-,No,No,,-,ルビー,rubí,rubí,rubis,rubis,Rubin,rubino,루비,1.0,209E,20A3,-,,,,,-,,-
sapphire,,,,Ore Rock,Yes,-,-,2000,1600,-,No,0,-,-,-,-,-,-,No,No,,-,サファイア,zafiro,zafiro,saphir,saphir,Saphir,zaffiro,사파이어,1.0,209F,20A4,-,,,,,-,,-
emerald,,,,Ore Rock,Yes,-,-,2000,1600,-,No,0,-,-,-,-,-,-,No,No,,-,エメラルド,esmeralda,esmeralda,émeraude,émeraude,Smaragd,smeraldo,에메랄드,1.0,20A0,20A5,-,,,,,-,,-
amethyst,,,,Ore Rock,Yes,-,-,2000,1600,-,No,0,-,-,-,-,-,-,No,No,,-,アメジスト,amatista,amatista,améthyste,améthyste,Amethyst,ametista,자수정,1.0,20A1,20A6,-,Yes,,,,-,,-
butter,,,,Villagers,Yes,-,-,100,80,-,No,0,-,-,-,-,-,-,No,No,,-,バター,mantequilla,mantequilla,plaquette de beurre,plaquette de beurre,Butter,burro,버터,1.0,20A2,20A7,-,,,,,-,,-
milk,,,,Villagers,Yes,-,-,100,80,-,No,0,-,-,-,-,-,-,No,No,,-,ミルク,leche,leche,bouteille de lait,bouteille de lait,Milch,latte,밀크,1.0,20A3,20A8,-,,,,,-,,-
vinegar,,,,Villagers,Yes,-,-,100,80,-,No,0,-,-,-,-,-,-,No,No,,-,ビネガー,vinagre,vinagre,bouteille vinaigre,bouteille vinaigre,Essig,aceto,비니거,1.0,20A4,20A9,-,,,,,-,,-
flour,,,,Villagers,Yes,-,-,100,80,-,No,0,-,-,-,-,-,-,No,No,,-,こむぎこ,harina,harina,paquet de farine,paquet de farine,Mehl,farina,밀가루,1.0,20A5,20AA,-,,,,,flour,,-
sugar,,,,Villagers,Yes,-,-,100,80,-,No,0,-,-,-,-,-,-,No,No,,-,さとう,azúcar,azúcar,pot de sucre,pot de sucre,Zucker,zucchero,설탕,1.0,20A6,20AB,-,,,,,sugar,,-
100 Bells,,,,Selling Items,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,100ベル,bolsa de 100,bolsa de 100,pièce de 100,pièce de 100,100-Sterni-Münze,moneta da 100 s,100벨,1.0,20A7,20AC,-,No,,,,,,-
"1,000 Bells",,,,Selling Items,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,1000ベル,bolsa de 1000,bolsa de 1000,pièce de 1 000,pièce de 1 000,1000-Sterni-Münze,moneta da 1000 s,1000벨,1.0,20B0,20B5,-,No,,,,,,-
"30,000 Bells",,,,Selling Items,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,10000ベル,bolsa de 30 000,bolsa de 30 000,pièce de 30 000,pièce de 30 000,30000-Sterni-Münze,moneta da 30000 s,30000벨,1.0,20CD,20D2,-,No,,,,,,-
"99,000 Bells",,,,Selling Items,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,99000ベル,bolsa de 99 000,bolsa de 99 000,pièce de 99 000,pièce de 99 000,99000-Sterni-Münze,moneta da 99000 s,99000벨,1.0,2112,2117,-,No,,,,,,-
earth egg,,,,Buried,Yes,-,-,5,-,-,No,0,-,-,-,-,-,-,Yes,No,,-,じめんのたまご,huevo terrestre,huevo terrestre,œuf terrestre,œuf terrestre,Erd-Glücksei,uovo terrestre,땅 달걀,1.0,2113,2118,-,,,,,earth egg,,-
tree egg,,,,Shaking Trees,Yes,-,-,5,-,-,No,0,-,-,-,-,-,-,Yes,No,,-,きのたまご,huevo arbóreo,huevo arbóreo,œuf végétal,œuf végétal,Baum-Glücksei,uovo arboreo,나무 달걀,1.0,2114,2119,-,,,,,leaf egg,,-
stone egg,,,,Hitting Rocks,Yes,-,-,5,-,-,No,0,-,-,-,-,-,-,Yes,No,,-,いわのたまご,huevo rupestre,huevo rupestre,œuf minéral,œuf minéral,Fels-Glücksei,uovo roccioso,바위 달걀,1.0,2115,211A,-,,,,,stone egg,,-
sky egg,,,,Balloons,Yes,-,-,5,-,-,No,0,-,-,-,-,-,-,Yes,No,,-,そらとぶたまご,huevo celeste,huevo celeste,œuf aérien,œuf aérien,Luft-Glücksei,uovo celeste,하늘 달걀,1.0,2116,211B,-,,,,,sky egg,,-
winning ticket,,,,Bunny Day egg,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,Give to Zipper for Bunny Day items,-,アタリのけん,bono premio,bono premio,ticket surprise,ticket surprise,Gewinn-Coupon,buono premio,당첨권,1.0,2117,211C,-,,,,,-,,-
grand-prize ticket,,,,Bunny Day egg,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,Give to Zipper for Zipper's pic,-,オオアタリのけん,bono superpremio,bono superpremio,top-ticket surprise,top-ticket surprise,Hauptgewinn-Coupon,buono superpremio,대박 당첨권,1.0,2118,211D,-,,,,,-,,-
10 turnips,,,,Joan,Yes,Varies,-,Varies,-,-,No,0,-,-,-,-,-,-,No,No,,-,10カブ,manojo 10 nabos,manojo 10 nabos,lot de 10 navets,lot de 10 navets,10 Rüben,mazzo di 10 rape,10무,1.0,227B,2283,-,No,,,,turnips,,-
spoiled turnips,,,,Turnips,Yes,-,-,-400,-,-,No,0,-,-,-,-,-,-,No,No,Can spawn ants or flies,-,くさったカブ,manojo pasado,manojo pasado,lot navets pourris,lot navets pourris,Rüben (verdorben),mazzo di rape marce,썩은 무,1.0,2285,228D,-,,,,,spoiled turnips,,-
snowflake,,,,Catch with Net,No,-,-,500,-,-,No,0,-,-,-,-,-,-,No,No,Is an insect internally; Can be shown off or tossed,-,ゆきのけっしょう,copo de nieve,copo de nieve,flocon de neige,flocon de neige,Schneeflocke,fiocco di neve,눈의 결정,1.0,22CE,22D6,-,,,,,snowflake,,-
red feather,,,,Catch with Net,Yes,-,-,80,-,-,Yes,0,red,red,Mar 1-31,cute,Hat,Accessory,No,No,,-,あかいはね,pluma roja,pluma roja,plume rouge,plume rouge,Rubinfeder,piuma rossa,빨간 깃털,1.0,22CF,22D7,cap_feather_red,,,,,red feather,,-
blue feather,,,,Catch with Net,Yes,-,-,60,-,-,Yes,0,blue,blue,Mar 1-31,cute,Hat,Accessory,No,No,,-,あおいはね,pluma azul,pluma azul,plume bleue,plume bleue,Azurfeder,piuma blu,파란 깃털,1.0,22D0,22D8,cap_feather_blu,,,,,blue feather,,-
green feather,,,,Catch with Net,Yes,-,-,50,-,-,Yes,0,green,green,Mar 1-31,cute,Hat,Accessory,No,No,,-,みどりのはね,pluma verde,pluma verde,plume verte,plume verte,Smaragdfeder,piuma verde,초록 깃털,1.0,22D1,22D9,cap_feather_grn,,,,,green feather,,-
yellow feather,,,,Catch with Net,Yes,-,-,70,-,-,Yes,0,yellow,yellow,Mar 1-31,cute,Hat,Accessory,No,No,,-,きいろいはね,pluma amarilla,pluma amarilla,plume jaune,plume jaune,Bernsteinfeder,piuma gialla,노란 깃털,1.0,22D2,22DA,cap_feather_ylw,,,,,-,,-
purple feather,,,,Catch with Net,Yes,-,-,90,-,-,Yes,0,purple,purple,Mar 1-31,cute,Hat,Accessory,No,No,,-,むらさきのはね,pluma morada,pluma morada,plume violette,plume violette,Lilafeder,piuma viola,보라색 깃털,1.0,22D3,22DB,cap_feather_ppl,,,,,purple feather,,-
white feather,,,,Catch with Net,Yes,-,-,100,-,-,Yes,0,white,white,Mar 1-31,cute,Hat,Accessory,No,No,,-,しろいはね,pluma blanca,pluma blanca,plume blanche,plume blanche,Schneefeder,piuma bianca,하얀 깃털,1.0,22D4,22DC,cap_feather_wht,,,,,-,,-
pink feather,,,,Catch with Net,Yes,-,-,110,-,-,Yes,0,pink,pink,Mar 1-31,cute,Hat,Accessory,No,No,,-,ピンクのはね,pluma rosa,pluma rosa,plume rose,plume rose,Flamingofeder,piuma rosa,핑크 깃털,1.0,22D5,22DD,cap_feather_pnk,,,,,-,,-
rainbow feather,,,,Catch with Net,Yes,-,-,110,-,-,Yes,0,colorful,colorful,Mar 1-31,cute,Hat,Accessory,No,No,,-,にじいろのはね,pluma arcoíris,pluma arcoíris,plume irisée,plume irisée,Regenbogenfeder,piuma arcobaleno,무지개 깃털,1.0,22D6,22DE,cap_feather_rainbow,,,,,rainbow feather,,-
empty can,,,,Fishing,Yes,-,-,-80,-,1,No,0,-,-,-,-,-,-,No,No,Can spawn flies,-,あきカン,chatarra,chatarra,boîte vide,boîte vide,Dose,lattina vuota,빈 통조림 캔,1.0,231F,2329,-,No,,,,empty can,,-
boot,,,,Fishing,Yes,-,-,-80,-,1,No,0,-,-,-,-,-,-,No,No,Can spawn flies,-,ながぐつ,bota,bota,godasse,godasse,Stiefel,scarpone,장화,1.0,2320,232A,-,No,,,,boot,,-
old tire,,,,Fishing,Yes,-,-,-80,-,1,No,0,-,-,-,-,-,-,No,No,Can spawn flies,-,タイヤ,neumático,neumático,vieux pneu,vieux pneu,Reifen,copertone,타이어,1.0,2321,232B,-,No,,,,old tire,,-
water egg,,,,Fishing,Yes,-,-,5,-,-,No,0,-,-,-,-,-,-,Yes,No,,-,サカナのたまご,huevo acuático,huevo acuático,œuf aquatique,œuf aquatique,Wasser-Glücksei,uovo acquatico,물속 달걀,1.0,2322,232C,-,Yes,,,,water egg,,-
deep-sea egg,,,,Diving,Yes,-,-,5,-,-,No,0,-,-,-,-,-,-,Yes,No,,-,かいていのたまご,huevo marítimo,huevo marítimo,œuf marin,œuf marin,Tiefsee-Glücksei,uovo marino,해저 달걀,1.0,2341,234B,-,Yes,,,,-,,-
red tulips,,,,Flower Bag,No,-,-,40,32,2,Yes,3,red,red,-,cute,Hat,Accessory,No,Yes,,-,あかいチューリップ,tulipán rojo,tulipán rojo,tulipe rouge,tulipe rouge,Papageitulpe,tulipano rosso,빨간 튤립,1.0,2885,292F,flw_tulip_rd,,,,,red tulips,,red tulips
white tulips,,,,Flower Bag,No,-,-,40,32,2,Yes,3,white,white,-,cute,Hat,Accessory,No,Yes,,-,しろいチューリップ,tulipán blanco,tulipán blanco,tulipe blanche,tulipe blanche,Triumphtulpe,tulipano bianco,하얀 튤립,1.0,2886,2930,flw_tulip_wt,,,,,white tulips,,white tulips
yellow tulips,,,,Flower Bag,No,-,-,40,32,2,Yes,3,yellow,yellow,-,cute,Hat,Accessory,No,Yes,,-,きいろいチューリップ,tulipán amarillo,tulipán amarillo,tulipe jaune,tulipe jaune,Viridifloratulpe,tulipano giallo,노란 튤립,1.0,2887,2931,flw_tulip_ye,,,,,yellow tulips,,yellow tulips
pink tulips,,,,Breeding,No,-,-,80,64,-,Yes,351,pink,pink,-,cute,Hat,Accessory,No,Yes,,-,ピンクのチューリップ,tulipán rosa,tulipán rosa,tulipe rose,tulipe rose,Grengjer-Tulpe,tulipano rosa,핑크색 튤립,1.0,2888,2932,flw_tulip_pi,,,,,pink tulips,,pink tulips
purple tulips,,,,Breeding,No,-,-,80,64,-,Yes,351,purple,purple,-,cute,Hat,Accessory,No,Yes,,-,むらさきチューリップ,tulipán violeta,tulipán violeta,tulipe mauve,tulipe mauve,Wildtulpe,tulipano indaco,보라색 튤립,1.0,2889,2933,flw_tulip_vi,,,,,purple tulips,,purple tulips
black tulips,,,,Breeding,No,-,-,240,192,-,Yes,351,black,black,-,cute,Hat,Accessory,No,Yes,,-,くろいチューリップ,tulipán negro,tulipán negro,tulipe noire,tulipe noire,Römertulpe,tulipano nero,검정 튤립,1.0,288A,2934,flw_tulip_bk,,,,,black tulips,,black tulips
orange tulips,,,,Breeding,No,-,-,240,192,-,Yes,351,orange,orange,-,cute,Hat,Accessory,No,Yes,,-,オレンジチューリップ,tulipán naranja,tulipán naranja,tulipe orange,tulipe orange,Flachlandtulpe,tulipano arancione,오렌지색 튤립,1.0,288B,2935,flw_tulip_or,,,,,orange tulips,,orange tulips
white pansies,,,,Flower Bag,No,-,-,40,32,2,Yes,3,white,white,-,cute,Hat,Accessory,No,Yes,,-,しろいパンジー,viola blanca,viola blanca,pensée blanche,pensée blanche,Pfingstveilchen,viola bianca,하얀 팬지,1.0,288C,2936,flw_pansy_wt,,,,,white pansies,,white pansies
yellow pansies,,,,Flower Bag,No,-,-,40,32,2,Yes,3,yellow,yellow,-,cute,Hat,Accessory,No,Yes,,-,きいろいパンジー,viola amarilla,viola amarilla,pensée jaune,pensée jaune,Hornveilchen,viola gialla,노란 팬지,1.0,288D,2937,flw_pansy_ye,,,,,yellow pansies,,yellow pansies
red pansies,,,,Flower Bag,No,-,-,40,32,2,Yes,3,red,red,-,cute,Hat,Accessory,No,Yes,,-,あかいパンジー,viola roja,viola roja,pensée rouge,pensée rouge,Alpenveilchen,viola rossa,빨간 팬지,1.0,288E,2938,flw_pansy_rd,,,,,red pansies,,red pansies
purple pansies,,,,Breeding,No,-,-,80,64,-,Yes,351,purple,purple,-,cute,Hat,Accessory,No,Yes,,-,むらさきのパンジー,viola violeta,viola violeta,pensée mauve,pensée mauve,Hainveilchen,viola indaco,보라색 팬지,1.0,288F,2939,flw_pansy_vi,,,,,purple pansies,,purple pansies
orange pansies,,,,Breeding,No,-,-,80,64,-,Yes,351,red,yellow,-,cute,Hat,Accessory,No,Yes,,-,あかきいろパンジー,viola roja/amarilla,viola roja/amarilla,pensée orange,pensée orange,Stiefmütterchen,viola arancione,2색 팬지,1.0,2890,293A,flw_pansy_ry,,,,,orange pansies,,orange pansies
blue pansies,,,,Breeding,No,-,-,240,192,-,Yes,351,blue,blue,-,cute,Hat,Accessory,No,Yes,,-,あおいパンジー,viola azul,viola azul,pensée bleue,pensée bleue,Duftveilchen,viola blu,파란 팬지,1.0,2891,293B,flw_pansy_bl,,,,,blue pansies,,blue pansies
white cosmos,,,,Flower Bag,No,-,-,40,32,2,Yes,3,white,white,-,cute,Hat,Accessory,No,Yes,,-,しろいコスモス,cosmos blanco,cosmos blanco,cosmos blanc,cosmos blanc,Gartenprimel,cosmea bianca,하얀 코스모스,1.0,2892,293C,flw_cosmos_wt,,,,,white cosmos,,-
red cosmos,,,,Flower Bag,No,-,-,40,32,2,Yes,3,red,red,-,cute,Hat,Accessory,No,Yes,,-,あかいコスモス,cosmos rojo,cosmos rojo,cosmos rouge,cosmos rouge,Kissenprimel,cosmea rossa,빨간 코스모스,1.0,2893,293D,flw_cosmos_rd,,,,,red cosmos,,-
yellow cosmos,,,,Flower Bag,No,-,-,40,32,2,Yes,3,yellow,yellow,-,cute,Hat,Accessory,No,Yes,,-,きいろいコスモス,cosmos amarillo,cosmos amarillo,cosmos jaune,cosmos jaune,Aurikel,cosmea gialla,노란 코스모스,1.0,2894,293E,flw_cosmos_ye,,,,,yellow cosmos,,-
pink cosmos,,,,Breeding,No,-,-,80,64,-,Yes,351,pink,pink,-,cute,Hat,Accessory,No,Yes,,-,ピンクのコスモス,cosmos rosa,cosmos rosa,cosmos rose,cosmos rose,Sumpfprimel,cosmea rosa,핑크색 코스모스,1.0,2895,293F,flw_cosmos_pi,,,,,pink cosmos,,-
orange cosmos,,,,Breeding,No,-,-,80,64,-,Yes,351,orange,orange,-,cute,Hat,Accessory,No,Yes,,-,オレンジのコスモス,cosmos naranja,cosmos naranja,cosmos orange,cosmos orange,Zwergprimel,cosmea arancione,오렌지색 코스모스,1.0,2896,2940,flw_cosmos_or,,,,,orange cosmos,,-
black cosmos,,,,Breeding,No,-,-,240,192,-,Yes,351,black,black,-,cute,Hat,Accessory,No,Yes,,-,くろいコスモス,cosmos negro,cosmos negro,cosmos noir,cosmos noir,Kugelprimel,cosmea nera,검정 코스모스,1.0,2897,2941,flw_cosmos_bk,,,,,black cosmos,,-
red roses,,,,Flower Bag,No,-,-,40,32,2,Yes,3,red,red,-,cute,Accessory,Glasses,No,Yes,,-,あかいバラ,rosa roja,rosa roja,rose rouge,rose rouge,Liebesrose,rosa rossa,빨간 장미,1.0,2898,2942,flw_rose_rd,,,,,red roses,,-
white roses,,,,Flower Bag,No,-,-,40,32,2,Yes,3,white,white,-,cute,Accessory,Glasses,No,Yes,,-,しろいバラ,rosa blanca,rosa blanca,rose blanche,rose blanche,Unschuldsrose,rosa bianca,하얀 장미,1.0,2899,2943,flw_rose_wt,,,,,white roses,,-
yellow roses,,,,Flower Bag,No,-,-,40,32,2,Yes,3,yellow,yellow,-,cute,Accessory,Glasses,No,Yes,,-,きいろいバラ,rosa amarilla,rosa amarilla,rose jaune,rose jaune,Bernsteinrose,rosa gialla,노란 장미,1.0,289A,2944,flw_rose_ye,,,,,yellow roses,,-
pink roses,,,,Breeding,No,-,-,80,64,-,Yes,351,pink,pink,-,cute,Accessory,Glasses,No,Yes,,-,ピンクのバラ,rosa rosada,rosa rosada,rose rose,rose rose,Pinkrose,rosa rosa,핑크색 장미,1.0,289B,2945,flw_rose_pi,,,,,pink roses,,-
orange roses,,,,Breeding,No,-,-,80,64,-,Yes,351,orange,orange,-,cute,Accessory,Glasses,No,Yes,,-,オレンジのバラ,rosa naranja,rosa naranja,rose orange,rose orange,Sonnenrose,rosa arancione,오렌지색 장미,1.0,289C,2946,flw_rose_or,,,,,orange roses,,-
purple roses,,,,Breeding,No,-,-,240,192,-,Yes,351,purple,purple,-,cute,Accessory,Glasses,No,Yes,,-,むらさきのバラ,rosa malva,rosa malva,rose mauve,rose mauve,Lilarose,rosa indaco,보라색 장미,1.0,289D,2947,flw_rose_vi,,,,,purple roses,,-
black roses,,,,Breeding,No,-,-,450,360,-,Yes,351,black,black,-,cute,Accessory,Glasses,No,Yes,,-,くろいバラ,rosa negra,rosa negra,rose noire,rose noire,Schwarzrose,rosa nera,검정 장미,1.0,289E,2948,flw_rose_bk,,,,,black roses,,-
blue roses,,,,Breeding,No,-,-,2500,2000,-,Yes,351,blue,blue,-,cute,Accessory,Glasses,No,Yes,,-,あおいバラ,rosa azul,rosa azul,rose bleue,rose bleue,Blaurose,rosa blu,파란 장미,1.0,289F,2949,flw_rose_bl,,,,,blue roses,,-
