#,Name,Image,Icon,Equip Type,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Prevents Tan,Catalog Keyword,DLC Exclusive,Name (English EU),Name (Japanese),Name (Spanish),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Notes,Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
080,green knit hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,green,green,basic,Unisex,-,No,,No,-,みどりのニットぼう,gorro verde,bonnet vert,bonnet vert,Smaragdmütze,berretto verde,초록 털모자,,1.0,2782,2814,cap_knit_grn,No,,green knit hat,,,-
081,green New Year's hat,,,Hat,Hat,Redd,No,300,-,75,60,3,33,-,-,Year sold by Redd,green,green,cute,Unisex,-,Yes,,No,-,ニューイヤーハットみどり,gorro Año N. verde,chapeau nouvel an V,chapeau nouvel an V,Neujahrshut (grün),capp. Capodan. verde,초록 새해 모자,,1.0,27D0,2862,cap_newyear_grn,Yes,,-,,,-
082,green-pumpkin head,,,Helmet,Covered Helmet,Villagers,No,-,-,"1,000",800,50,51,-,Rustic / Quirky,-,green,green,flashy,Unisex,-,Yes,,No,-,グリーンかぼちゃマスク,calabaza verde,citrouille verte,citrouille verte,Kürbiskopf (grün),testa zucca verde,그린 호박 마스크,,1.0,2848,28E4,hlmt_jackolantern_3,Yes,,-,,,green-pumpkin head
083,green-zap helmet,,,Helmet,Helmet,Able Sisters,Yes,600,-,150,120,7,3,green superhero,Sci-Fi / Toy Shop,-,white,green,sporty,Male,-,Yes,,No,-,ヒーローヘルメットG,supercasco verde,casque de héros vert,casque de héros vert,Grünheldenhelm,casco eroe verde,히어로 헬멧 G,,1.0,2813,28AF,hlmt_helmet_heroG,Yes,,-,,,-
084,hair-bow wig,,,Hat,Wig,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Trendy / Fairy Tale,-,brown,brown,ornate,Female,-,No,,No,-,リボンウィッグ,peluca con lazo,perruque nœud pap,perruque nœud pap,Haarknotenperücke,parrucca fiocco,리본 가발,,1.0,2833,28CF,hlmt_wig_ribbon,Yes,,-,,,-
085,halo,,,Hat,Accessory,Able Sisters,Yes,"2,400",-,600,480,30,3,-,Fairy Tale / Toy Shop,-,yellow,yellow,cute,Unisex,-,No,,No,-,てんしのわ,halo,auréole,auréole,Lichtkranz,aureola,천사 링,,1.0,27BC,284E,cap_halo,No,,halo,,,halo
086,headband,,,Hat,Hood,GracieGrace,No,"4,800",-,"1,200",-,60,251,spa patron,-,-,white,white,flashy,Female,-,No,,No,-,ヘアターバン,cinta para el pelo,bandeau de sport,bandeau de sport,Haarturban,fascia,헤어밴드,,1.0,27FF,289B,hlmt_turban_hair,No,,headband,,,-
087,headkerchief,,,Helmet,Open Helmet,Able Sisters,Yes,480,-,120,96,6,3,-,-,-,green,green,historical,Unisex,-,No,,No,-,ほっかむり,pañuelo nudo nariz,foulard vert,foulard vert,Wanderkopftuch,fazzoletto giapp.,뒤집어쓴 보자기,,1.0,283E,28DA,hlmt_wraphead,Yes,,-,,,-
088,heart bopper,,,Hat,Accessory,Isabelle,No,-,-,40,32,2,3,-,Fairy Tale,-,pink,pink,cute,Unisex,Manufactured,No,,No,-,ひかるハートアクセサリー,diadema corazones,serre-tête cœurs,serre-tête cœurs,Leuchtherzchenfühler,paio antenne cuori,빛나는 하트 액세서리,,1.0,27E7,2879,cap_glow_heart,Yes,,-,,,-
089,heart hairpin,,,Hat,Accessory,Able Sisters,Yes,240,-,60,48,3,3,-,Fairy Tale,-,pink,pink,cute,Female,Manufactured,No,,No,-,ハートのかみかざり,clip corazón,épingle cœur,épingle cœur,Herzhaarnadel,molletta cuore,하트 머리핀,,1.0,27B9,284B,cap_hairpin_heart,No,,heart hairpin,,,-
090,Hello Kitty hat,,,Hat,Hat,Rilla's RV,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,-,white,red,cute,Unisex,-,Yes,,No,-,ハローキティなぼうし,gorro Hello Kitty,bonnet Hello Kitty,bonnet Hello Kitty,Hello-Kitty-Hut,cappello Hello Kitty,헬로키티 모자,,1.4,-,287F,cap_snr_kitty,Yes,,-,,,Hello Kitty hat
091,hero's cap,,,Hat,Hood,Fortune,No,-,-,210,-,10,151,hero,Antique / Toy Shop,-,green,green,iconic,Male,-,Yes,,No,-,ゆうしゃのぼうし,gorro del héroe,coiffe héroïque,coiffe héroïque,Heldenhut,berretto Link,용사 모자,,1.0,2806,28A2,hlmt_wig_link,No,,hero's cap,,,-
092,hibiscus hairpin,,,Hat,Accessory,Souvenir Shop,No,-,20,250,200,12,451,-,Rustic,-,red,red,cute,Female,Manufactured,No,,No,-,ハイビスカスのかみかざり,horquilla hibisco,épingle hibiscus,épingle hibiscus,Hibiskus-Haarspange,molletta ibisco,히비스커스 머리핀,,1.0,27D6,2868,cap_hair_hibiscus,Yes,,-,,,hibiscus hairpin
093,high-spirits hat,,,Hat,Accessory,Holden's RV,No,-,-,"1,600",-,80,300,-,-,-,red,red,rock 'n' roll,Unisex,-,No,,Yes,-,ノリノリなぼうし,gorra buen humor,béret radieux,béret radieux,Übermut-Hut,cappello euforico,하이 스피릿 모자,,1.4,-,2884,cap_fueki,Yes,,-,,,-
094,hot-dog hat,,,Hat,Hat,GracieGrace,No,"1,200",-,300,-,15,251,-,-,-,brown,red,flashy,Unisex,-,No,,No,-,ホットドッグのぼうし,gorro salchicha,chapeau hot-dog,chapeau hot-dog,Hotdog-Hut,cappello hot dog,핫도그 모자,,1.0,27C2,2854,cap_hat_hotdog,Yes,,-,,,-
095,hunter's cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,red,white,iconic,Unisex,-,Yes,,No,-,ハンターのぼうし,gorra cazador,casquette de chasse,casquette de chasse,Jägermütze,berretto cacciatore,사냥 모자,,1.0,278D,281F,cap_cap_hunters,No,,hunter's cap,,,-
096,jester's cap,,,Hat,Hat,Able Sisters,Yes,360,-,90,72,4,3,jester,Fairy Tale / Toy Shop,-,purple,yellow,flashy,Unisex,Nature,No,,No,-,ピエロのぼうし,gorro de bufón,chapeau de bouffon,chapeau de bouffon,Narrenkappe,cappello giullare,피에로 모자,,1.0,27AE,2840,cap_cap_jesters,No,,jester's cap,,,-
097,jockey's helmet,,,Hat,Wig,Able Sisters,Yes,680,-,170,136,8,3,-,-,-,red,black,sporty,Unisex,-,Yes,,No,-,ジョッキーヘルメット,casco de jinete,casque de jockey,casque de jockey,Jockeyhelm,casco da fantino,기수 헬멧,,1.0,2842,28DE,hlmt_jockey,Yes,,-,,,-
098,kaffiyeh,,,Hat,Wig,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,white,white,iconic,Male,-,No,,No,-,アラビアのぼうし,pañuelo árabe,foulard noir blanc,keffieh,Kufiya,kefiah,아라비아 모자,,1.0,27F2,288E,hlmt_kaffiyeh,No,,kaffiyeh,,,-
099,kappa cap,,,Hat,Hood,Souvenir Shop,No,-,20,250,200,12,199,turtle,-,-,green,green,flashy,Unisex,Animal,No,,No,-,カッパのおさら,gorro kappa,cagoule kappa,cagoule kappa,Käpten-Mütze,cappello tartaruga,거북이 모자,,1.0,2804,28A0,hlmt_plate_waterimp,No,,kappa cap,,,-
100,Kerokerokeroppi pins,,,Hat,Accessory,Toby's RV,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,-,white,beige,cute,Unisex,-,No,,No,-,けろけろけろっぴなかざり,clip jardín zen,clip Kerokerokeroppi,clip Kerokerokeroppi,Teich-Spange,paio clip ranocchio,케로케로케로피 장식,,1.4,-,2883,cap_snr_keroppi,Yes,,-,,,Kerokerokeroppi pins
101,Kiki and Lala pin,,,Hat,Accessory,Étoile's RV,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,-,yellow,yellow,cute,Unisex,-,No,,No,-,キキ&ララなかみかざり,clip Kiki & Lala,broche Kiki & Lala,broche Kiki & Lala,Kiki-&-Lala-Hut,ferm. Kiki and Lala,리틀 트윈 스타 머리핀,,1.4,-,2881,cap_snr_kikirara,Yes,,-,,,Kiki and Lala pin
102,King Tut mask,,,Helmet,Covered Helmet,Able Sisters,Yes,"12,000",-,"3,000","2,400",150,3,pharaoh,Antique / Quirky,-,yellow,blue,historical,Unisex,Manufactured,Yes,,No,-,ツタンカーメン,máscara egipcia,masque de pharaon,masque de pharaon,Pharaomaske,maschera Re Tut,투탕카멘,,1.0,281C,28B8,hlmt_wig_kingtut,No,,King Tut mask,,,King Tut mask
103,Kintaro wig,,,Hat,Hood,Able Sisters,Yes,"3,200",-,800,640,40,3,-,Harmonious,-,brown,brown,cute,Male,-,No,,No,-,きんたろう,peluca Kintaro,perruque Kintaro,perruque Kintaro,Kintaro-Perücke,parrucca da Kintaro,빨간 리본 꼭지머리,,1.0,2829,28C5,hlmt_wig_kintarou,No,,Kintaro wig,,,-
104,kiwi hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,kiwi,Rustic,-,brown,brown,cute,Unisex,Fruit,No,,No,-,キウイのぼうし,gorro kiwi,chapeau kiwi,chapeau kiwi,Kiwihut,cappello kiwi,키위 모자,,1.0,27B2,2844,cap_fruit_kiwi,No,,kiwi hat,,,-
105,knight's helmet,,,Helmet,Helmet,Able Sisters,Yes,"1,000",-,250,200,12,3,knight,Antique / Quirky,-,gray,gray,historical,Unisex,-,Yes,,No,-,てっかめん,yelmo,casque de chevalier,casque de chevalier,Ritterhelm,elmo medievale,철가면,,1.0,280A,28A6,hlmt_helmet_knights,No,,knight's helmet,,,knight's helmet
106,light-blue cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,aqua,aqua,sporty,Unisex,Manufactured,Yes,,No,-,みずいろのキャップ,gorra celeste,casquette bleu clair,casquette bleu clair,Haikappe,cappello celeste,하늘색 야구 모자,,1.0,277B,280D,cap_cap_ltb,Yes,,-,,,light-blue cap
107,li'l bro's hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,Toy Shop,-,green,green,cute,Male,-,Yes,,No,-,おとうとさんのぼうし,gorra de Luigi,casquette Luigi,casquette Luigi,Luigi-Mütze,cappello fratellino,아우 모자,,1.0,279B,282D,cap_hat_lilbros,No,,li'l bro's hat,,,-
108,Link hat,,,Helmet,Hood,Zelda RV,No,-,-,600,-,30,300,-,Toy Shop,-,green,yellow,iconic,Unisex,-,No,,No,-,リンクのぼうし,gorro de Link,tuque de Link,bonnet de Link,Link-Hut,cappello Link,링크 모자,,1.4,-,28E7,hlmt_wig_linkfirst,Yes,,-,,,-
109,lion-dance mask,,,Helmet,Covered Helmet,Able Sisters,Yes,"1,600",-,400,320,20,3,-,Harmonious,-,red,white,iconic,Unisex,Animal,Yes,,No,-,ししまい,máscara oriental,masque danse du lion,masque danse du lion,Löwentanzmaske,maschera danza leone,사자탈,,1.0,2832,28CE,hlmt_sisimai,Yes,,-,,,-
110,Lottie's bun,,,Helmet,Wig,Lottie's RV,No,-,-,600,-,30,300,-,-,-,brown,aqua,cute,Female,-,No,,No,-,タクミのおだんごヘア,peluca de Nuria,perruque de Lou,perruque de Lou,Karlotta-Dutt,parrucca da Casimira,솜이 올림머리,,1.4,-,28F3,hlmt_wig_otg,Yes,,-,,,-
111,mailman's hat,,,Hat,Hat,Post Office,No,-,-,500,-,25,499,-,-,-,green,orange,official,Male,-,Yes,,No,-,はいたついんのぼうし,gorra cartero,chapeau de facteur,chapeau de facteur,Briefträgermütze,cappello da postino,우체부 모자,,1.0,27E9,287B,cap_postman,Yes,,-,,,-
112,Majora's Mask,,,Helmet,Mask,Fortune,No,-,-,210,-,10,151,-,Toy Shop / Quirky,-,colorful,colorful,flashy,Unisex,-,Yes,,No,-,ムジュラのかめん,máscara de Majora,masque Majora,masque Majora,Majoramaske,maschera da Majora,무쥬라의 가면,,1.0,2817,28B3,hlmt_mask_majora,No,,Majora's mask,,,-
113,Makar's Mask,,,Helmet,Mask,Able Sisters,Yes,240,-,60,48,3,3,-,Rustic,-,green,green,flashy,Unisex,-,Yes,,No,-,はっぱのおめん,máscara de Makore,masque de Dumoria,masque de Dumoria,Makorusmaske,maschera da Macorè,나뭇잎 가면,,1.0,282E,28CA,hlmt_leaf,Yes,,-,,,-
114,mandarin hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,tangerine,Rustic,-,orange,green,cute,Unisex,Fruit,No,,No,-,なつみかんのぼうし,gorro mandarina,chapeau mandarine,chapeau mandarine,Mandarinenhut,cappello mandarino,귤 모자,,1.0,27B3,2845,cap_fruit_citrus,No,,mandarin hat,,,mandarin hat
115,Marie wig,,,Helmet,Wig,Viché's RV,No,-,-,600,-,30,300,-,Toy Shop,-,gray,green,rock 'n' roll,Unisex,-,No,,No,-,ホタルのウィッグ,peluca de Tina,perruque Oly,perruque Oly,Limone-Perücke,parrucca da Marina,호타루 가발,,1.4,-,28ED,hlmt_wig_hotaru,Yes,,-,,,-
116,matador's hat,,,Hat,Hat,GracieGrace,No,"1,200",-,300,-,15,251,-,-,-,black,black,official,Male,-,No,,No,Iberian hat,とうぎゅうしのぼうし,montera,chapeau ibérique,chapeau ibérique,Matadorhut,cappello da torero,투우사 모자,,1.0,27D9,286B,cap_matador,Yes,,-,,,-
117,matronly bun,,,Hat,Wig,Able Sisters,Yes,480,-,120,96,6,3,-,-,-,brown,brown,ornate,Female,-,No,,No,-,たまねぎヘアー,peluca señora mayor,perruque de matrone,perruque de matrone,Großmutterperücke,parrucca da matrona,양파 머리,,1.0,2837,28D3,hlmt_onion_hair,Yes,,-,,,-
118,melon hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,melon,Rustic,-,green,green,cute,Unisex,Fruit,No,,No,-,メロンのぼうし,gorro melón,chapeau melon,chapeau melon,Papayahut,cappello melone,멜론 모자,,1.0,27B0,2842,cap_fruit_melon,No,,melon hat,,,-
119,Midna's Mask,,,Helmet,Open Helmet,Fortune,No,-,-,210,-,10,151,-,Toy Shop / Quirky,-,gray,gray,flashy,Female,-,Yes,,No,-,ミドナのかめん,casco de Midna,masque Midona,masque Midona,Midnamaske,maschera da Midna,미드나 헬멧,,1.0,2819,28B5,hlmt_mask_midna,No,,Midna's Mask,,,-
120,milkmaid hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,milkmaid,-,-,white,white,iconic,Female,-,No,,No,-,オランダのぼうし,tocado holandés,chapeau hollandais,chapeau hollandais,Trachtenhaube,cuffia olandese,네덜란드 모자,,1.0,27A8,283A,cap_hat_dutch,Yes,,-,,,milkmaid hat
121,mohawk wig,,,Hat,Wig,Able Sisters,Yes,480,-,120,96,6,3,-,-,-,black,brown,flashy,Male,-,No,,No,-,モヒカン,cresta india,perruque iroquoise,perruque iroquoise,Irokesenperücke,parrucca da moicano,모히칸,,1.0,27FA,2896,hlmt_wig_mohawk,No,,mohawk wig,,,-
122,monster mask,,,Helmet,Open Helmet,Able Sisters,Yes,"1,031",-,257,205,12,33,-,Quirky,-,blue,black,flashy,Unisex,-,Yes,,No,-,フランケンのマスク,careta de monstruo,masque de zombistein,masque de zombistein,Monstermaske,maschera mostro,프랑켄슈타인 마스크,,1.0,281E,28BA,hlmt_hlwn_flanken,Yes,,-,,,-
123,moon hairpin,,,Hat,Accessory,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,yellow,yellow,cute,Female,Manufactured,No,,No,-,つきのかみかざり,clip luna,épingle lune,épingle lune,Mondhaarnadel,molletta luna,달 머리핀,,1.0,27BB,284D,cap_hairpin_moon,No,,moon hairpin,,,-
124,motocross helmet,,,Helmet,Helmet,Able Sisters,Yes,"1,400",-,350,280,17,3,racer,Toy Shop,-,blue,blue,sporty,Unisex,-,Yes,,No,-,モトクロスメット,casco de motocross,casque de motocross,casque de motocross,Motorradhelm,casco motocross,모터크로스 헬멧,,1.0,2808,28A4,hlmt_helmet_motocross,No,,motocross helmet,,,-
125,mummy mask,,,Helmet,Helmet,Able Sisters,Yes,"1,031",-,257,205,12,33,mummy,Quirky,-,white,white,flashy,Unisex,-,Yes,,No,-,ミイラのかぶりもの,careta de momia,masque de momie,masque de momie,Mumienmaske,maschera mummia,미라 마스크,,1.0,2820,28BC,hlmt_dressing,Yes,,-,,,mummy mask
126,My Melody hat,,,Hat,Hat,Chelsea's RV,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,-,pink,pink,cute,Unisex,-,Yes,,No,-,マイメロディなぼうし,gorra My Melody,casquette My Melody,casquette My Melody,My-Melody-Hut,cappello My Melody,마이 멜로디 모자,,1.4,-,2880,cap_snr_mymelo,Yes,,-,,,My Melody hat
127,Nabiru mask,,,Helmet,Mask,Felyne's RV,No,-,-,600,-,30,300,-,-,-,beige,brown,cute,Unisex,-,No,,No,-,ナビルーのおめん,máscara de Navirou,masque de Navirou,masque de Navirou,Navirou-Maske,maschera da Navirou,나비루 마스크,,1.4,-,28F1,hlmt_mnh_navirou,Yes,,-,,,-
128,new hero wig,,,Helmet,Hood,Zelda RV,No,-,-,600,-,30,300,-,Toy Shop,-,yellow,yellow,iconic,Unisex,-,No,,No,-,あたらしいゆうしゃのかみ,peluca héroe nueva,perr. nouveau Link,perr. nouveau Link,Neuheld-Perücke,parr. da nuovo eroe,새로운 용사 가발,,1.4,-,28EB,hlmt_wig_linkwild,Yes,,-,,,-
129,newsprint helmet,,,Hat,Hat,Isabelle,No,-,-,20,-,1,499,-,Toy Shop,-,gray,gray,iconic,Male,-,No,,No,-,しんぶんしのかぶと,gorro de papel,casque en papier,casque en papier,Papierhut,elmo di carta,신문지 투구,,1.0,2798,282A,cap_helmet_npaper,No,,newsprint helmet,,,-
130,ninja hood,,,Hat,Hood,Able Sisters,Yes,480,-,120,96,6,3,ninja,Harmonious,-,blue,blue,historical,Unisex,-,No,,No,-,にんじゃずきん,caperuza ninja,cagoule de ninja,cagoule de ninja,Ninjakapuze,cappuccio ninja,닌자 두건,,1.0,27F6,2892,hlmt_hood_ninja,No,,ninja hood,,,-
131,nurse's cap,,,Hat,Accessory,Able Sisters,Yes,"1,200",-,300,240,15,3,-,-,-,white,white,official,Female,-,No,,No,-,ナースキャップ,cofia enfermera,coiffe d'infirmière,coiffe d'infirmière,Schwesternhaube,cuffia da infermiera,간호사 모자,,1.0,27D3,2865,cap_nurse,Yes,,-,,,-
132,ogre's wig,,,Hat,Wig,Able Sisters,Yes,"1,200",-,300,240,15,3,-,Harmonious / Quirky,-,brown,yellow,flashy,Unisex,-,No,,No,-,オニのかぶりもの,peluca de ogro,perruque d'ogre,perruque d'ogre,Oger-Perücke,parr. spirito malv.,도깨비 머리,,1.0,283C,28D8,hlmt_ogre,Yes,,-,,,-
133,orange knit hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,orange,orange,cute,Unisex,V-Striped,No,,No,-,オレンジニットぼう,gorro naranja,bonnet orange,bonnet orange,Strickmütze,berretto arancione,오렌지색 털모자,,1.0,2783,2815,cap_knit_org,No,,orange knit hat,,,orange knit hat
134,outback hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,cowboy,-,-,beige,beige,iconic,Unisex,-,Yes,,No,-,テンガロンハット,sombrero austral,feutre,feutre,Western-Hut,cappello australiano,카우보이 모자,,1.0,27A7,2839,cap_hat_outback,No,,outback hat,,,outback hat
135,paperboy cap,,,Hat,Hat,Able Sisters,Yes,460,-,115,92,5,3,-,-,-,aqua,aqua,iconic,Unisex,-,Yes,,No,-,ハンチング,gorra pilluelo,casquette de livreur,casquette de livreur,Botenmütze,coppola,헌팅캡,,1.0,278A,281C,cap_cap_paperboy,No,,paperboy cap,,,paperboy cap
136,pigtail,,,Hat,Wig,Able Sisters,Yes,400,-,100,80,5,3,imperial,Harmonious,-,black,black,iconic,Male,-,No,,No,-,べんぱつ,coleta mongola,natte,natte,Khan-Perücke,codino cinese,변발,,1.0,27FB,2897,hlmt_pigtail,No,,pigtail,,,-
137,pilot goggles,,,Helmet,Wig,Inkwell's RV,No,-,-,600,-,30,300,-,Toy Shop,-,blue,black,sporty,Male,-,No,,No,-,ボーイのかぶりもの,peluca inkling chico,perr. lunettes (),perr. lunettes (),Pilotenbrille,accessorio ragazzo,보이 고글,,1.4,-,28EE,hlmt_wig_splboy,Yes,,-,,,-
138,pilot's cap,,,Hat,Hood,Able Sisters,Yes,720,-,180,144,9,3,-,-,-,yellow,orange,sporty,Unisex,-,No,,No,-,ひこうぼう,gorra de aviador,casque de pilote,casque de pilote,Pilotenkappe,casco d'aviatore,비행 모자,,1.0,27ED,2889,hlmt_cap_pilots,No,,pilot's cap,,,-
139,pilot's hat,,,Hat,Hat,Able Sisters,Yes,960,-,240,192,12,3,pilot,Toy Shop,-,purple,purple,official,Male,Manufactured,Yes,,No,-,きちょうのぼうし,gorra de piloto,chapeau de capitaine,chapeau de capitaine,Pilotenmütze,cappello da pilota,기장 모자,,1.0,27E3,2875,cap_captain_sky,Yes,,-,,,-
140,pink knit hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,Fairy Tale,-,pink,pink,cute,Female,-,No,,No,-,ピンクのニットぼう,gorro rosa,bonnet rose,bonnet rose,Wollmütze,berretto rosa,핑크 털모자,,1.0,2784,2816,cap_knit_pnk,No,,pink knit hat,,,pink knit hat
141,pink nightcap,,,Hat,Hat,Able Sisters,Yes,300,-,75,60,3,3,-,-,-,pink,pink,cute,Female,Nature,No,,No,-,あかいナイトキャップ,gorro de dormir rosa,bonnet de nuit rose,bonnet de nuit rose,Mädchen-Nachtmütze,berretto notte rosa,빨간 나이트캡,,1.0,27D4,2866,cap_nightcap_red,Yes,,-,,,-
142,pink-zap helmet,,,Helmet,Helmet,Able Sisters,Yes,600,-,150,120,7,3,pink superheroine,Fairy Tale / Sci-Fi / Toy Shop,-,white,pink,sporty,Female,-,Yes,,No,-,ヒロインヘルメット,supercasco rosa,casque d'héroïne,casque d'héroïne,Heldinnenhelm,casco eroina,히어로 헬멧 P,,1.0,2814,28B0,hlmt_helmet_heroineP,Yes,,-,,,-
143,pirate's hat,,,Hat,Hat,Souvenir Shop,No,-,15,187,149,9,99,pirate,Antique / Toy Shop / Quirky,-,black,black,rock 'n' roll,Male,Manufactured,No,,No,-,かいぞくのぼうし,sombrero pirata,chapeau de pirate,chapeau de pirate,Piratenhut,cappello pirata,해적 모자,,1.0,27AD,283F,cap_hat_pirates,No,,pirate's hat,,,-
144,plain black cap,,,Hat,Hat,Able Sisters,Yes,360,-,90,72,4,3,-,-,-,black,black,official,Unisex,-,Yes,,No,-,ワークキャップ,gorra negra sencilla,casquette militaire,casquette militaire,Schirmmütze,cappello da lavoro,워크캡,,1.0,27EA,287C,cap_workcap,Yes,,-,,,plain black cap
145,police cap,,,Hat,Hat,Able Sisters,Yes,480,-,120,96,6,3,police officer,-,-,black,black,official,Unisex,Manufactured,Yes,,No,-,けいかんのぼうし,gorra de policía,casquette de police,casquette de police,Polizeimütze,cappello poliziotto,경찰모,,1.0,27A2,2834,cap_cap_police,No,,police cap,,,police cap
146,Pompompurin hat,,,Helmet,Wig,Marty's RV,No,-,-,600,-,30,300,-,Fairy Tale / Toy Shop,-,yellow,brown,cute,Unisex,-,No,,No,-,ポムポムプリンなあたま,gorro Pompompurin,béret Pompompurin,béret Pompompurin,Pompompurin-Hut,cappello Pompompurin,폼폼푸린 머리,,1.4,-,28F2,hlmt_wig_prin,Yes,,-,,,Pompompurin hat
147,powdered wig,,,Hat,Hood,Able Sisters,Yes,600,-,150,120,7,3,-,-,-,gray,gray,historical,Male,-,No,,No,-,おんがくかのかつら,pelucón,perruque noble,perruque noble,Richterperücke,parrucca bianca,음악가 가발,,1.0,27F7,2893,hlmt_wig_powdered,No,,powdered wig,,,-
148,puffy hat,,,Hat,Hat,Able Sisters,Yes,360,-,90,72,4,3,-,-,-,blue,blue,iconic,Unisex,-,Yes,,No,-,もこもこなぼうし,gorro ruso,chapka,chapka,Flauschmütze,colbacco,폭신폭신한 모자,,1.0,2790,2822,cap_hat_puffy,No,,puffy hat,,,puffy hat
149,pumpkin head,,,Helmet,Covered Helmet,Villagers,Yes,"4,000",-,"1,000",800,50,51,-,Rustic / Quirky,-,orange,orange,flashy,Unisex,-,Yes,,No,-,かぼちゃのかぶりもの,calabaza,citrouille,citrouille,Kürbiskopf,testa di zucca,호박 머리,,1.0,281B,28B7,hlmt_jackolantern,No,,pumpkin head,,,pumpkin head
150,purple cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,purple,purple,sporty,Unisex,Manufactured,Yes,,No,-,むらさきのキャップ,gorra morada,casquette mauve,casquette mauve,Lilakappe,cappello viola,보라색 야구 모자,,1.0,277F,2811,cap_cap_ppl,No,,purple cap,,,purple cap
151,purple knit hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,purple,white,cute,Unisex,V-Striped,No,,No,-,むらさきのニットぼう,gorro listas,bonnet mauve,bonnet mauve,Streifenmütze,berretto viola,보라색 털모자,,1.0,2785,2817,cap_knit_ppl,No,,purple knit hat,,,purple knit hat
152,purple-imp hood,,,Hat,Hood,Able Sisters,Yes,"1,200",-,300,240,15,3,-,Quirky,-,purple,purple,flashy,Unisex,-,No,,No,-,デビルなかぶりもの,gorro diablo morado,capuche de diablotin,capuche de diablotin,Lila-Kobold-Mütze,copric. corna viola,악마 모자,,1.0,2835,28D1,hlmt_hood_devil,Yes,,-,,,-
153,purple-pumpkin head,,,Helmet,Covered Helmet,Villagers,No,-,-,"1,000",800,50,51,-,Rustic / Quirky,-,pink,pink,flashy,Unisex,-,Yes,,No,-,パープルかぼちゃマスク,calabaza morada,citrouille violette,citrouille violette,Kürbiskopf (lila),testa zucca viola,퍼플 호박 마스크,,1.0,2846,28E2,hlmt_jackolantern_1,Yes,,-,,,purple-pumpkin head
154,racing helmet,,,Helmet,Helmet,Able Sisters,Yes,"1,200",-,300,240,15,3,racer,-,-,red,red,sporty,Unisex,Manufactured,Yes,,No,-,フルフェイスメット,casco de carreras,casque de course,casque de course,Rennfahrerhelm,casco da pilota,풀페이스 헬멧,,1.0,2807,28A3,hlmt_helmet_racing,No,,racing helmet,,,-
155,red cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,red,red,sporty,Unisex,Manufactured,Yes,,No,-,あかいキャップ,gorra roja,casquette rouge,casquette rouge,Tankstellenkappe,cappello rosso,빨간 야구 모자,,1.0,2779,280B,cap_cap_red,No,,red cap,,,-
156,red headgear,,,Helmet,Helmet,Able Sisters,Yes,800,-,200,160,10,3,-,-,-,red,red,sporty,Unisex,Manufactured,No,,No,-,あかいヘッドギア,protector rojo,casque de boxe rouge,casque de boxe rouge,Rotboxerhelm,casco da boxe rosso,빨간 헤드기어,,1.0,2826,28C2,hlmt_helmet_headgear_red,Yes,,-,,,-
157,red hood,,,Hat,Hood,Able Sisters,Yes,400,-,100,80,5,3,-,Fairy Tale,-,red,red,cute,Female,-,No,,No,-,あかずきん,caperuza roja,chaperon rouge,chaperon rouge,Rothaube,cappuccio rosso,빨간 두건,,1.0,282C,28C8,hlmt_redhood,Yes,,-,,,-
158,red New Year's hat,,,Hat,Hat,Redd,No,300,-,75,60,3,33,-,-,Year sold by Redd,red,red,cute,Unisex,Manufactured,Yes,,No,-,ニューイヤーハットあか,gorro Año Nuevo rojo,chapeau nouvel an R,chapeau nouvel an R,Neujahrshut (rot),capp. Capodan. rosso,빨간 새해 모자,,1.0,27CD,285F,cap_newyear_hat,Yes,,-,,,red New Year's hat
