#,Name,Name (Default Variant),Image,Icon,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Type,Size,Wall-Mounted,Surface,Placeable on Surfaces,Can Trash,Can Be Walked On,Interactivity,Animated,Sound,HHA Base Points,HHA Series,HHA Series Type,HHA Theme Challenge,Color 1,Color 2,When HHA Lucky,Fashion,Catalog Keyword,Consumable,Customizable,Customization Cost,Total Variant Count,Body Variant Count,Customizable Body Name,Pattern Variant Count,Customizable Pattern Name,Ore Variant Count,Customization Ores,Notes,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),# (EN-EU),# (JP),# (ES-NA),# (ES-EU),# (FR-NA),# (FR-EU),# (GER),# (ITA),# (KOR),Version Added,Buy Price (Internal),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
0417,dracaena,dracaena,,,Garden Shop,-,Yes,"2,000",-,500,400,-,Plant,1x1,No,No,No,,,-,-,-,199,house plant,Set,Rustic,green,brown,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,こうふくのき,tronco de Brasil,tronco de Brasil,dragonnier,dragonnier,Drachenbaum,dracena,행운목,0417,0562,1700,1699,0579,0578,0285,0427,1660,1.0,2000,2B30,2BDA,int_plt_happy,No,,,,,,dracaena
0418,drafting table,drafting table (Room plan),,,Lottie's RV,-,No,-,-,800,-,-,-,2x1,No,No,No,,,,,,151,-,-,-,white,black,-,modern,,No,Yes,320,3,3,the diagram,1,-,-,-,,-,-,せいずだい,mesa de delineante,mesa de delineante,table à dessin,table à dessin,Zeichentisch,tecnigrafo,제도대,0418,0829,0963,0962,1471,1471,1727,1567,1184,1.4,3200,-,2F2E,rmk_oth_drafter,No,,,,,drafting table,-
0419,dream catcher,dream catcher,,,Gulliver,-,Yes,"1,600",-,400,320,-,-,1x1,Yes,No,No,,,,,,1051,-,-,Toy Shop,red,brown,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,ドリームキャッチャー,atrapasueños,atrapasueños,attrapeur de rêves,attrapeur de rêves,Traumfänger,acchiappasogni,드림 캐처,0419,1080,0108,0108,0076,0076,1578,0002,0339,1.0,1600,2D80,2E2A,int_jhn_dreamcatcher,Yes,,,,,dream catcher,-
0420,drink machine,drink machine (Red),,,Huck's RV,-,No,-,-,"1,200",960,-,-,1x1,No,No,No,,,,,,151,-,-,-,red,colorful,-,modern,,No,Yes,480,3,3,the body color,1,-,-,-,,-,-,じはんき,máquina de refrescos,máquina de refrescos,distribut. boissons,distribut. boissons,Getränkeautomat,distributore bevande,음료수 자동판매기,0420,0683,0914,0911,0571,0570,0476,0412,1087,1.4,4800,-,2F90,rmk_oth_drinkmachine,No,,,,drink machine,drink machine,-
0421,drinking fountain,drinking fountain,,,Nooklings,C,Yes,"2,000",-,500,400,-,-,1x1,No,No,No,,,,,,151,-,-,Sci-Fi,gray,gray,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,れいすいき,fuente para beber,fuente para beber,fontaine eau potable,fontaine eau potable,Trinkwasserbrunnen,fontanella pubblica,음수대,0421,1663,0667,0669,0705,0703,1585,0472,1089,1.0,2000,2D79,2E23,int_oth_watercoolers,Yes,,,,drinking fountain,drinking fountain,drinking fountain
0422,drip pail,drip pail,,,Nooklings,C,Yes,800,-,200,160,-,-,1x1,No,No,No,,,,,,151,-,-,Quirky,gray,aqua,-,rock 'n' roll,,No,No,-,1,1,-,1,-,-,-,,-,-,あまもりバケツ,cubo lleno,cubo lleno,seau anti-fuite,seau anti-fuite,Wassereimer,secchio per l'acqua,빗물 양동이,0422,0102,0523,0522,1396,1394,1658,1176,0704,1.0,800,2C57,2D01,int_oth_bucket,Yes,,,,,drip pail,-
0423,drum set,drum set (Orange - Blank),,,Nooklings,D,Yes,"1,800",-,450,360,-,Instrument,2x1,No,No,No,,,Press,-,Press,151,-,-,Trendy,yellow,white,-,basic,,No,Yes,180,16,4,the shell color,4,the bass-drum head,-,-,,-,-,ドラムセット,batería,batería,batterie classique,batterie classique,Schlagzeug,batteria,드럼,0423,1066,0174,0171,0137,0136,1315,0153,0336,1.0,1800,2CAF,2D59,rmk_oth_drum,Yes,,,,drum set,drum set,drum set
0424,durian flower basket,durian flower basket,,,Kapp'n's RV,-,No,-,-,"3,000",-,-,-,1x1,No,No,No,,,,,,151,-,-,Toy Shop,colorful,colorful,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,なんごくなディスプレイA,cesta con durián,cesta con durián,bouquet tropical A,bouquet tropical A,Durianblumenkorb,cesta tropicale A,남국풍 꽃바구니 A,0424,1101,0412,0410,0205,0203,0293,0286,0198,1.4,12000,-,30AA,int_kpp_tropicalA,Yes,,,,,,-
0425,eagle pole,eagle pole,,,Nooklings,B,Yes,"1,400",-,350,280,-,-,1x1,No,No,No,,,,,,151,totem pole,Set,Rustic,brown,colorful,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,トーテムポール・オヤ,tótem águila,tótem águila,totem aigle,totem aigle,Adler-Totempfahl,totem aquila,토템폴 오야,0425,1045,1681,1680,1655,1655,0025,1622,1433,1.0,1400,2AEB,2B95,int_tpl_tpl02,No,,,,,,-
0426,ebony piano,ebony piano (Black),,,Nooklings,B,Yes,"3,800",-,950,760,-,Instrument,2x2,No,No,No,,,Press,-,Press,151,-,-,-,black,black,-,basic,,No,Yes,380,2,2,the body color,1,-,-,-,,-,-,グランドピアノ,piano de cola,piano de cola,piano à queue,piano à queue,Konzertflügel,pianoforte a coda,그랜드 피아노,0426,0484,1190,1192,1216,1214,0775,0959,0131,1.0,3800,2B44,2BEE,rmk_oth_piano_b,No,,,"ebony piano, ivory piano",,,ebony piano
0427,editor's chair,editor's chair,,,Nooklings,C,Yes,"5,600",-,"1,400","1,120",-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,-,-,Trendy,black,black,-,official,,No,No,-,1,1,-,1,-,-,-,,-,-,しゃちょうのイス,silla despacho,silla despacho,chaise de rédacteur,chaise de rédacteur,Chefsessel,sedia del direttore,사장님 의자,0427,0688,1426,1426,0354,0353,0231,1201,0728,1.0,5600,2C89,2D33,int_prs_chairS,Yes,,,,,editor's chair,editor's chair
0428,editor's desk,editor's desk,,,Nooklings,C,Yes,"5,200",-,"1,300","1,040",-,-,2x1,No,No,No,,,,,,151,-,-,Trendy,brown,brown,-,official,,No,No,-,1,1,-,1,-,-,-,,-,-,しゃちょうのつくえ,mesa despacho,mesa despacho,bureau de rédacteur,bureau de rédacteur,Chefschreibtisch,scrivania direttore,사장님 책상,0428,0689,0978,0978,0232,0230,0230,1168,0729,1.0,5200,2C8B,2D35,int_prs_tableM,Yes,,,,,editor's desk,editor's desk
0429,effects rack,effects rack,,,Nooklings,B,Yes,"2,800",-,700,560,-,-,1x1,No,Yes,No,,,,,,151,-,-,Sci-Fi,black,black,-,rock 'n' roll,,No,No,-,1,1,-,1,-,-,-,,-,-,エフェクターラック,cajón efectos,cajón efectos,sono,sono,Effekt-Rack,rack effetti,이펙터 장비,0429,0187,0290,0288,1438,1437,0307,1059,1106,1.0,2800,2C9A,2D44,int_oth_effects,Yes,,,,effects rack,effects rack,effects rack
0430,egg basket,egg basket,,,Bunny Day,-,No,-,-,200,-,-,-,1x1,No,No,No,,,,,,499,-,-,-,brown,colorful,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,イースターのバスケット,cesta de huevos,cesta de huevos,panier d'œufs,panier d'œufs,Eierkörbchen,cesto di uova,이스터 바구니,0430,0119,0415,0413,1159,1157,0312,0296,1103,1.0,800,2D00,2DAA,int_oth_eggbasket,Yes,,,,,egg basket,-
0431,egg bed,egg bed,,,Zipper,-,No,-,-,"9,000",-,-,Bed,2x2,No,No,No,,,Sleep,-,Sleep,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのベッド,cama huevo,cama huevo,lit œuf,lit œuf,Eierbett,letto uovo,달걀 침대,0431,0914,0325,0323,0986,0984,0309,0708,0269,1.0,36000,29E5,2A8F,int_egg_bedW,No,,,,-,,-
0432,egg bench,egg bench,,,Zipper,-,No,-,-,"9,000",-,-,Seat,2x1,No,No,No,,,Sit,-,Sit,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのながイス,banco huevo,banco huevo,banc œuf,banc œuf,Eierliege,panca uovo,달걀 긴 의자,0432,0913,0131,0128,0113,0113,0314,0932,0261,1.0,36000,29E9,2A93,int_egg_chairL,No,,,,-,,egg bench
0433,egg chair,egg chair,,,Zipper,-,No,-,-,"9,000",-,-,Seat,1x1,No,No,No,,,Sit,-,Sit,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのイス,sillón huevo,sillón huevo,chaise œuf,chaise œuf,Eierstuhl,sedia uovo,달걀 의자,0433,0906,1485,1484,0379,0378,0317,1251,0268,1.0,36000,29E8,2A92,int_egg_chairS,No,,,,-,,-
0434,egg clock,egg clock,,,Zipper,-,No,-,-,"9,000",-,-,Clock,1x1,No,No,No,,,,,,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのとけい,reloj huevo,reloj huevo,cadran œuf,cadran œuf,Eieruhr,orologio uovo,달걀 시계,0434,0912,1315,1315,0253,0251,0319,0905,0265,1.0,36000,29ED,2A97,int_egg_clockB,No,,,,-,,egg clock
0435,egg dresser,egg dresser,,,Zipper,-,No,-,-,"9,000",-,-,Dresser,2x1,No,No,No,,,Storage,Press,Press,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのタンス,cómoda huevo,cómoda huevo,commode œuf,commode œuf,Eierkommode,comò uovo,달걀 서랍장,0435,0910,0479,0477,0496,0495,0311,0352,0264,1.0,36000,29E6,2A90,int_egg_chestA,No,,,,-,,-
0436,egg lamp,egg lamp,,,Zipper,-,No,-,-,"9,000",-,-,Light,1x1,No,No,No,,,Toggle,Light,Press,651,egg,Series,Toy Shop,colorful,aqua,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのランプ,lámpara huevo,lámpara huevo,lampe œuf,lampe œuf,Eierlampe,lampada uovo,달걀 램프,0436,0915,0793,0793,0906,0904,0313,0617,0262,1.0,36000,29EE,2A98,int_egg_lamp,No,,,,-,,-
0437,egg stereo,egg stereo,,,Zipper,-,No,-,-,"9,000",-,-,Music Player,2x1,No,No,Yes,,,Music player,,Music,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのコンポ,cadena huevo,cadena huevo,chaîne œuf,chaîne œuf,Eieranlage,stereo uovo,달걀 오디오,0437,0909,0264,0262,0332,0331,0308,1421,0266,1.0,36000,29EB,2A95,int_egg_audioM,No,,,,-,,-
0438,egg table,egg table,,,Zipper,-,No,-,-,"9,000",-,-,Table,1x1,No,Yes,No,,,,,,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのテーブル,mesa huevo,mesa huevo,table œuf,table œuf,Eiertisch,tavolo uovo,달걀 테이블,0438,0911,0995,0995,1548,1548,0318,1558,0270,1.0,36000,29EA,2A94,int_egg_tableS,No,,,,-,,egg table
0439,egg toy set,egg toy set,,,Zipper,-,No,-,-,"9,000",-,-,-,2x1,No,No,Yes,,,,,,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごマトリョーシカ,escultura huevo,escultura huevo,jouet œuf,jouet œuf,Eierspielzeug,matriosca uovo,달걀 마트로시카,0439,0916,0558,0556,0844,0842,0316,0763,0263,1.0,36000,29EC,2A96,int_egg_matoryosika,No,,,,-,,-
0440,egg TV,egg TV,,,Zipper,-,No,-,-,"9,000",-,-,-,1x1,Yes,No,No,,,,,,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのかべかけテレビ,tele huevo,tele huevo,télé œuf,télé œuf,Eierfernseher,TV uovo,달걀 TV,0440,0907,1614,1613,1625,1625,0310,1672,0260,1.0,36000,29EF,2A99,int_egg_tv,No,,,,-,,-
0441,egg wardrobe,egg wardrobe,,,Zipper,-,No,-,-,"9,000",-,-,Closet,1x1,No,No,No,,,Storage,Press,Press,651,egg,Series,Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,たまごのクロゼット,armario huevo,armario huevo,bahut œuf,bahut œuf,Eierschrank,armadio uovo,달걀 옷장,0441,0908,0071,0071,0084,0084,0315,0086,0267,1.0,36000,29E7,2A91,int_egg_chestB,No,,,,-,,-
0442,eggplant cow,eggplant cow,,,Isabelle,-,No,-,-,125,-,-,-,1x1,No,No,Yes,,,,,,499,-,-,Harmonious / Quirky,purple,purple,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,なすびのうし,vaca de berenjena,vaca de berenjena,veaubergine,veaubergine,Auberginenkuh,melanzana dell'Obon,가지 소,0442,1092,1711,1709,1701,1701,0073,0764,0063,1.0,500,2C12,2CBC,int_oth_eggplant,Yes,,,,eggplant cow,eggplant cow,-
0443,Eiffel Tower,Eiffel Tower,,,Gulliver,-,Yes,"4,000",-,"1,000",800,-,Model,1x1,No,No,No,,,-,,,1051,-,-,Toy Shop,gray,gray,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,エッフェルとう,Torre Eiffel,Torre Eiffel,tour Eiffel,tour Eiffel,Eiffelturm,torre Eiffel,에펠 탑,0443,0174,1677,1674,1665,1665,0320,1613,0988,1.0,4000,2D8F,2E39,int_oth_Eiffel,No,,,,,,-
0444,eight lamp,eight lamp (White),,,Spotlight,-,Yes,"8,000",-,"2,000","1,600",-,Light,1x1,No,No,Yes,,,Toggle,Light,Press,351,-,-,Trendy,white,white,-,cute,,No,Yes,800,7,7,the number color,1,-,-,-,,-,-,8のランプ,lámpara ocho,lámpara ocho,lampe 8,lampe 8,„8“-Lampe,lampada a 8,8 램프,0444,0014,0807,0807,0864,0862,0010,0566,0018,1.0,8000,2E01,2EAB,rmk_nmb_8,Yes,,,,,eight lamp,-
0445,EKG machine,EKG machine,,,Raddle's RV,-,No,-,-,500,400,-,-,1x1,No,No,No,,,,,,151,-,-,-,white,white,-,official,,No,No,-,1,1,-,1,-,-,-,,-,-,しんでんけい,electrocardiógrafo,electrocardiógrafo,électrocardiographe,électrocardiographe,EKG-Gerät,elettrocardiografo,심전계,0445,0739,0541,0539,0587,0586,0346,0428,0891,1.4,2000,-,2FF5,int_hsp_graph,No,,,,EKG machine,EKG machine,EKG machine
0446,elder mask,elder mask,,,Nooklings,-,Yes,"1,600",-,400,320,-,-,1x1,Yes,No,No,,,,,,151,-,-,Harmonious / Antique / Quirky,white,white,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,おきなののうめん,máscara de sabio,máscara de sabio,masque de sage,masque de sage,Greisenmaske,maschera muro uomo,동양 전통 가면,0446,0233,0929,0926,1055,1054,0525,0759,0313,1.0,1600,2CD4,2D7E,int_noh_okina,Yes,,,,,elder mask,-
0447,electric bass,electric bass (Creamy beige),,,Sprocket's RV,-,No,-,-,800,640,-,Instrument,1x1,No,No,No,,,Press,-,Press,151,-,-,-,beige,beige,-,rock 'n' roll,,No,Yes,320,8,1,-,8,the body color,-,-,,-,-,エレキベース,bajo eléctrico,bajo eléctrico,basse électrique,basse électrique,E-Bass,basso elettrico,일렉트릭 베이스 기타,0447,0194,0115,0113,0132,0131,0296,0152,1116,1.4,3200,-,2FA6,rmk_oth_elebass,No,,,,electric bass,electric bass,electric bass
0448,electric guitar,electric guitar (Fire red),,,Nooklings,C,Yes,"1,900",-,475,380,-,Instrument,1x1,No,No,No,,,Press,-,Press,151,guitar,Set,Trendy,red,red,-,rock 'n' roll,,No,Yes,190,8,1,-,8,the body color,-,-,,-,-,エレキギターES2,guitarra eléctrica,guitarra eléctrica,guitare jazz,guitare jazz,Jazz-Gitarre,chitarra elettrica,일렉트릭기타 ES2,0448,0192,0694,0697,0750,0748,0649,0303,1118,1.0,1900,2B42,2BEC,rmk_gtr_Egtr02,No,,,metal guitar,electric guitar,,electric guitar
0449,electric kettle,electric kettle,,,Nooklings,D,Yes,"1,280",-,320,256,-,-,1x1,No,No,Yes,,,,,,151,-,-,Trendy,white,white,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,でんきケトル,hervidor de agua,hervidor de agua,bouilloire moderne,bouilloire moderne,Wasserkocher,bollitore elettrico,전기 포트,0449,1023,0704,0705,0197,0195,1660,0179,1164,1.0,1280,2C59,2D03,int_oth_kettle_ele,Yes,,,,,electric kettle,-
0450,electric sign,electric sign (Orange signboard),,,Campground Shop,-,No,-,-,450,360,-,Light,1x1,Yes,No,No,,,Toggle,Light,Press,151,-,-,-,gray,orange,-,basic,,No,Yes,180,2,1,-,2,the signboard,-,-,,-,-,かべのでんしょくかんばん,rótulo colgante,rótulo colgante,enseigne électrique,enseigne électrique,Elektro-Werbetafel,insegna elettrica,벽 조명 간판,0450,0354,1371,1370,0596,0594,0351,0540,0617,1.4,1800,-,2FCA,rmk_oth_elesign_wb,No,,,,,electric sign,-
0451,elegant bench,elegant bench (Red and brown),,,Claude's RV,-,No,-,-,"1,200",960,-,Seat,2x1,No,Yes,No,,,Sit,-,Sit,151,-,-,Antique,red,brown,-,ornate,,No,Yes,480,4,4,the body color,1,-,-,-,,-,-,エレガントなベンチ,banco elegante,banco elegante,banc élégant,banc élégant,Edelbank,panca elegante,엘레강스 벤치,0451,0190,0127,0124,0106,0106,0301,0923,0989,1.4,4800,-,2FD8,rmk_oth_elechairL,No,,,,,elegant bench,-
0452,elegant chair,elegant chair (Red and brown),,,Claude's RV,-,No,-,-,900,720,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,-,-,Antique,red,brown,-,ornate,,No,Yes,360,4,4,the body color,1,-,-,-,,-,-,エレガントなチェア,silla elegante,silla elegante,chaise élégante,chaise élégante,Edelstuhl,sedia elegante,엘레강스 체어,0452,0189,1430,1430,0361,0360,0303,1207,0990,1.4,3600,-,2FD7,rmk_oth_elechairS,No,,,,elegant chair,elegant chair,elegant chair
0453,elephant slide,elephant slide,,,Nooklings,A,Yes,"1,200",-,300,240,-,-,2x1,No,No,No,,,,,,151,nursery,Theme,Toy Shop,blue,yellow,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,ゾウのすべりだい,tobogán elefante,tobogán elefante,éléphoboggan,éléphoboggan,Elefantenrutsche,proboscivolo,코끼리 미끄럼틀,0453,0850,1649,1647,0588,0587,0347,1048,1353,1.0,1200,2A8D,2B37,int_bab_slide,No,,,,elephant slide,,elephant slide
0454,eraser sofa,eraser sofa (White),,,DLC,-,Yes,"23,760",-,"5,940","4,752",-,Seat,2x1,No,No,No,,,Sit,-,Sit,300,-,-,Trendy,white,white,-,basic,,No,Yes,2376,3,3,the eraser color,1,-,-,-,,-,-,カドケシソファ,sofá borrador,sofá borrador,canapé gomme,canapé gomme,Radiergummisofa,sofà gomma,제도용 지우개 소파,0454,0336,1489,1489,0292,0290,1179,1349,1185,1.0,23760,2E27,2ED1,rmk_stt_chairL,Yes,,,,,eraser sofa,-
0455,espresso machine,espresso machine (Red),,,Ellie's RV,-,No,-,-,400,320,-,-,1x1,No,No,Yes,,,,,,151,-,-,-,red,red,-,basic,,No,Yes,160,5,5,the body color,1,-,-,-,,-,-,コーヒーサーバー,cafetera exprés,cafetera exprés,machine à expresso,machine à expresso,Espressomaschine,macchina espresso,드립 커피 도구,0455,0576,0269,0267,1025,1023,0358,0740,0340,1.4,1600,-,3007,rmk_oth_coffeeserver,Yes,,,,,,espresso machine
0456,espresso maker,espresso maker,,,Brewster,-,No,-,-,125,100,-,-,1x1,No,No,Yes,,,,,,451,-,-,Trendy,gray,gray,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,エスプレッソマシーン,cafetera moka,cafetera moka,machine à café,machine à café,Espressokanne,moka,에스프레소 머신,0456,0173,0270,0268,1022,1020,0357,0814,0984,1.0,500,2C04,2CAE,int_oth_espresso,No,,,,espresso maker,,espresso maker
0457,exam table,exam table,,,Raddle's RV,-,No,-,-,700,560,-,Bed,2x1,No,No,No,,,Sleep,-,Sleep,151,-,-,Sci-Fi,white,white,-,official,,No,No,-,1,1,-,1,-,-,-,,-,-,しんさつだい,camilla hospital,camilla hospital,table d'examen,table d'examen,Untersuchungstisch,lettino medico,진찰대,0457,0734,0358,0356,1519,1519,1606,0658,1221,1.4,2800,-,2ED7,int_hsp_exambed,No,,,,exam table,exam table,exam table
0458,executive toy,executive toy (Red),,,Nooklings,A,Yes,"1,100",-,275,220,-,-,1x1,No,No,Yes,,,,,,151,-,-,Trendy / Toy Shop,red,red,-,cute,,No,Yes,110,4,2,the color,1,-,2,Gold Nugget / Silver Nugget,,-,-,アメリカンクラッカー,juguete bolas,juguete bolas,gadget de bureau,gadget de bureau,Tischspielzeug,moto perpetuo,아메리칸 크래커,0458,0103,0748,0748,0717,0715,1565,0821,0918,1.0,1100,2BCB,2C75,rmk_oth_cracker,No,,,,Newton's cradle,,executive toy
0459,exercise ball,exercise ball (Pink),,,Campground Shop,-,No,-,-,400,320,-,-,1x1,No,No,No,,,,,,151,-,-,Toy Shop,pink,pink,-,sporty,,No,Yes,160,3,3,the ball color,1,-,-,-,,-,-,バランスボール,pelota de ejercicios,pelota de ejercicios,ballon gymnastique,ballon gymnastique,Gymnastikball,palla da pilates,짐 볼,0459,1223,1180,1183,0097,0097,0540,0913,1222,1.4,1600,-,2F2B,rmk_fns_balanceball,No,,,,exercise ball,exercise ball,exercise ball
0460,exercise bike,exercise bike,,,Nooklings,A,Yes,"2,400",-,600,480,-,-,1x1,No,No,No,,,,,,151,-,-,Sci-Fi,gray,gray,-,sporty,,No,No,-,1,1,-,1,-,-,-,,-,-,エクササイズバイク,bicicleta estática,bicicleta estática,vélo d'appartement,vélo d'appartement,Fahrradergometer,cyclette,자전거 머신,0460,0171,0185,0182,1703,1703,0365,0400,1134,1.0,2400,2CEE,2D98,int_fns_bike,Yes,,,,exercise bike,exercise bike,exercise bike
0461,exhibit partition,exhibit partition (White partition - Rainbow),,,Museum Shop,-,Yes,"3,000",-,750,600,-,-,2x1,No,No,No,,,,,,199,museum,Set,Trendy,white,aqua,-,official,,No,Yes,300,10,2,the partition color,5,the painting,-,-,,-,-,てんじパーテーション,panel de exposición,panel de exposición,panneau d'exposition,panneau d'exposition,Ausstellungswand,pannello espositivo,전시 파티션,0461,1028,1159,1160,1168,1166,0079,0936,1168,1.0,3000,2C2A,2CD4,rmk_mse_screen,Yes,,,,,exhibit partition,exhibit partition
0462,exit sign,exit sign,,,Nooklings,-,Yes,"1,600",-,400,320,-,-,2x1,Yes,No,No,,,,,,151,-,-,Sci-Fi / Quirky,green,white,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,ひじょうぐち,salida de emergencia,salida de emergencia,panneau de sortie,panneau de sortie,Notausgangsschild,segnale di uscita,비상구,0462,1294,1380,1379,1167,1165,1021,1254,0698,1.0,1600,2CCF,2D79,int_oth_exit,Yes,,,,exit sign,exit sign,-
0463,exotic bed,exotic bed (Brown - Gray),,,Nooklings,A,Yes,"2,540",-,635,508,-,Bed,2x2,No,No,No,,,Sleep,-,Sleep,151,exotic,Series,Harmonious,brown,gray,-,iconic,,No,Yes,254,4,2,the frame,2,the bedding,-,-,,-,-,アジアなベッド,cama exótica,cama exótica,lit teck,lit teck,Orient-Bett,letto esotico,아시아 침대,0463,0092,0315,0313,1002,1000,1039,0679,0927,1.0,2540,2935,29DF,rmk_asi_bedW,No,exotic bed,exotic bed,exotic bed,,,-
0464,exotic bench,exotic bench (Brown),,,Nooklings,A,Yes,"1,900",-,475,380,-,Seat,2x1,No,No,No,,,Sit,-,Sit,151,exotic,Series,Harmonious,brown,brown,-,iconic,,No,Yes,190,2,2,the furniture color,1,-,-,-,,-,-,アジアなベンチ,banco exótico,banco exótico,banc teck,banc teck,Orient-Bank,panca esotica,아시아 벤치,0464,0093,0128,0125,0115,0115,1038,0924,0921,1.0,1900,2938,29E2,rmk_asi_chairL,No,,,,,,exotic bench
0465,exotic bureau,exotic bureau (Brown),,,Nooklings,A,Yes,"2,400",-,600,480,-,Dresser,1x1,No,No,No,,,Storage,Press,Press,151,exotic,Series,Harmonious,brown,brown,-,iconic,,No,Yes,240,2,2,the furniture color,1,-,-,-,,-,-,アジアなタンス,cómoda exótica,cómoda exótica,commode teck,commode teck,Orient-Kommode,comò esotico,아시아 서랍장,0465,0089,0470,0468,0508,0507,1040,0328,0923,1.0,2400,2936,29E0,rmk_asi_chestA,No,,,,,,-
0466,exotic chair,exotic chair (Brown - White),,,Nooklings,A,Yes,"1,400",-,350,280,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,exotic,Series,Harmonious,brown,white,-,iconic,,No,Yes,140,4,2,the frame,2,the fabric,-,-,,-,-,アジアなイス,silla exótica,silla exótica,chaise teck,chaise teck,Orient-Stuhl,sedia esotica,아시아 의자,0466,0085,1436,1436,0395,0394,1044,1208,0925,1.0,1400,2939,29E3,rmk_asi_chairS,No,,,,,,exotic chair
0467,exotic chest,exotic chest (Brown),,,Nooklings,A,Yes,"1,800",-,450,360,-,-,2x1,No,Yes,No,,,,,,151,exotic,Series,Harmonious,brown,brown,-,iconic,,No,Yes,180,2,2,the furniture color,1,-,-,-,,-,-,アジアなバンダヂ,baúl exótico,baúl exótico,coffre teck,coffre teck,Orient-Truhe,baule esotico,아시아 장,0467,0091,0176,0173,0442,0441,1047,0155,0926,1.0,1800,293E,29E8,rmk_asi_trunk,No,,,,,,exotic chest
0468,exotic end table,exotic end table (Brown),,,Nooklings,A,Yes,"1,600",-,400,320,-,Table,1x1,No,Yes,No,,,,,,151,exotic,Series,Harmonious,brown,brown,-,iconic,,No,Yes,160,2,2,the furniture color,1,-,-,-,,-,-,アジアなミニテーブル,mesita exótica,mesita exótica,mini-table teck,mini-table teck,Orient-Tischchen,tavolino esotico,아시아 미니 테이블,0468,0094,1043,1042,1093,1092,1046,1464,0920,1.0,1600,293B,29E5,rmk_asi_tableS,No,,,,,,-
0469,exotic lamp,exotic lamp (White and orange),,,Nooklings,A,Yes,"1,800",-,450,360,-,Light,1x1,No,No,Yes,,,Toggle,Light,Press,151,exotic,Series,Harmonious,beige,yellow,-,iconic,,No,Yes,180,2,2,the furniture color,1,-,-,-,,-,-,アジアなランプ,lámpara exótica,lámpara exótica,lampe teck,lampe teck,Orient-Lampe,lampada esotica,아시아 램프,0469,0095,0783,0783,0920,0918,1041,0587,0919,1.0,1800,293C,29E6,rmk_asi_lamp,No,,,,,,exotic lamp
0470,exotic screen,exotic screen (Brown),,,Nooklings,A,Yes,"2,250",-,562,449,-,-,2x1,No,No,No,,,,,,151,exotic,Series,Harmonious,brown,brown,-,iconic,,No,Yes,225,2,2,the furniture color,1,-,-,-,,-,-,アジアなスクリーン,biombo exótico,biombo exótico,paravent teck,paravent teck,Orient-Paravent,separé esotico,아시아 파티션,0470,0088,0194,0191,1195,1193,1042,1268,0929,1.0,2250,293D,29E7,rmk_asi_screen,No,,,,,,exotic screen
