#,Name,Image,Icon,Equip Type,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Name (NH),Name (HHD),Name (PC)
081,purple-stripe tights,,,Socks,Tights,Kicks,Yes,200,-,50,40,2,3,-,Trendy,-,purple,purple,cute,Unisex,H-Striped,,,-,ボーダータイツ,media rayas lilas,media rayas lilas,collant rayé,collant rayé,Ringelstrumpfhose,paio calze strisce,줄무늬 타이츠,1.0,26FA,277E,sock_tights_border,,,purple-stripe tights
082,rainbow tights,,,Socks,Tights,Kicks,Yes,300,-,75,60,3,3,-,-,-,colorful,colorful,ornate,Unisex,H-Striped,,,-,レインボータイツ,media arcoíris,media arcoíris,collant irisé,collant irisé,Vielfarbstrumpfhose,p. calze arcobaleno,무지개 타이츠,1.0,26F7,277B,sock_tights_rnbw,,,-
083,red boat shoes,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,red,red,cute,Female,-,,,-,あかいデッキシューズ,náutico rojo,náutico rojo,p. souliers rouges,p. souliers rouges,Segelschuh,paio scarpe da barca,빨간 덱 슈즈,1.0,2749,27D1,nml_doek_red,,,red boat shoes
084,red shoes,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,red,red,cute,Female,-,,,-,あかいくつ,zapato rojo,zapato rojo,paire babies rouges,paire babies rouges,Rotschuh,paio scarpe rosse,빨간 구두,1.0,274A,27D2,nml_doek_red_wht,,,red shoes
085,red striped socks,,,Socks,Socks,Toby's RV,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,red,white,cute,Unisex,-,,,-,けろけろけろっぴなハイソ,calcetín jardín zen,calcetín jardín zen,p. chaus. étang,p. chaus. étang,Teich-Socke,p. calzini ranocchio,케로케로케로피 양말,1.4,-,279E,sock_high_keroppi,,,-
086,red tights,,,Socks,Tights,Kicks,Yes,200,-,50,40,2,3,-,-,-,red,red,ornate,Female,-,,,-,ワインレッドタイツ,media granate,media granate,collant grenat,collant grenat,Weinrotstrumpfhose,paio calze bordeaux,와인레드 타이츠,1.0,2703,2787,sock_tights_wred,,,-
087,red wrestling shoes,,,Shoes,Tall Boots,Kicks,Yes,900,-,225,180,11,3,pro wrestler,-,-,red,white,sporty,Unisex,-,,,-,あかいリングシューズ,bota lucha roja,bota lucha roja,paire bottes catch R,paire bottes catch R,Rot-Wrestlingschuh,p. scarpe wrestling,빨간 복싱화,1.0,2742,27CA,botH_ring_red,,,-
088,Santa boots,,,Shoes,Tall Boots,Kicks,Yes,960,-,240,192,12,33,-,Toy Shop,Dec 1-31,black,white,cute,Unisex,-,,,-,サンタのブーツ,bota festiva,bota festiva,p. bottes père Noël,p. bottes père Noël,Weihnachtsmannschuh,p. stivali B. Natale,산타 부츠,1.0,271C,27A4,botH_xmas,,,Santa boots
089,shearling boots,,,Shoes,Boots,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,-,-,yellow,yellow,cute,Female,-,,,-,ムートンブーツ,bota sherpa,bota sherpa,p. bottes fourrées,p. bottes fourrées,Fellstiefel,p. stiv. scamosciati,양털 부츠,1.0,271A,27A2,botL_mouton,,,shearling boots
090,slippers,,,Shoes,Shoes,Kicks,Yes,320,-,80,64,4,3,-,-,-,green,green,basic,Unisex,-,,,-,スリッパ,pantufla,pantufla,paire de pantoufles,paire de pantoufles,Gartenpantoffel,paio pantofole verdi,슬리퍼,1.0,272C,27B4,nml_slipper_grn,,,-
091,snow boots,,,Shoes,Tall Boots,Kicks,Yes,800,-,200,160,10,3,-,-,-,brown,white,sporty,Male,-,,,-,スノーブーツ,bota de nieve,bota de nieve,paire d'après-skis,paire d'après-skis,Schneestiefel,p. scarponi da neve,스노 부츠,1.0,2722,27AA,botH_snow,,,snow boots
092,soccer socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,blue,blue,sporty,Male,-,,,-,サッカーソックス,media fútbol,media fútbol,paire chausset. foot,paire chausset. foot,Fußballstutzen,p. calzini da calcio,축구 양말,1.0,2710,2794,sock_football_blu,,,soccer socks
093,star tights,,,Socks,Tights,Kicks,Yes,200,-,50,40,2,3,-,-,-,brown,beige,cute,Unisex,-,,,-,スターなタイツ,media estrellas,media estrellas,collant étoiles,collant étoiles,Sternstrumpfhose,paio calze marroni,별이 빛나는 타이츠,1.0,26F9,277D,sock_tights_star,,,-
094,steel-toed boots,,,Shoes,Tall Boots,Kicks,Yes,620,-,155,124,7,3,-,-,-,black,black,flashy,Male,-,,,-,エンジニアブーツ,bota con protección,bota con protección,p. bottes à coque,p. bottes à coque,Stahlkappenschuh,p. scarpe da lavoro,엔지니어 부츠,1.0,2737,27BF,botH_engineer,,,steel-toed boots
095,stripe shoes,,,Shoes,Shoes,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,Trendy,-,black,orange,modern,Female,V-Striped,,,-,ストライプのパンプス,manoletina rayas,manoletina rayas,p. ballerines rayées,p. ballerines rayées,Zebra-Damenschuh,p. ballerine strisce,줄무늬 펌프스,1.0,273A,27C2,nml_pumps_stripe,,,-
096,tasseled loafers,,,Shoes,Shoes,Kicks,Yes,600,-,150,120,7,3,-,-,-,black,black,official,Male,-,,,-,くろいかわぐつ,mocasín elegante,mocasín elegante,p. mocassins pompon,p. mocassins pompon,Lederhalbschuh,p. scarpe con nappe,검정 가죽 구두,1.0,272F,27B7,nml_leather_blk,,,tasseled loafers
097,tropical sandals,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,colorful,colorful,iconic,Female,Nature,,,-,エスニックなサンダル,sandalia tropical,sandalia tropical,p. sandales tropique,paire tongs tropique,Tropensandale,p. sandali tropicali,에스닉 샌들,1.0,2726,27AE,nml_sandal_ethnic,,,tropical sandals
098,tube socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,white,green,basic,Unisex,-,,,-,ラインソックス,calcetín cómodo,calcetín cómodo,paire chauss. sport,paire chauss. sport,Sportsocke,p. calzini di spugna,두 줄 양말,1.0,2700,2784,sock_line_ylw,,,tube socks
099,Varia Suit shoes,,,Shoes,Boots,Fortune,No,-,-,210,-,10,151,bounty hunter,Sci-Fi / Toy Shop,-,orange,orange,rock 'n' roll,Female,-,,,-,バリアスーツ・シューズ,zapato climático,zapato climático,paire bottes Varia,paire bottes Varia,Varia-Schuh,p. scarpe termotuta,배리어 슈트 슈즈,1.0,2743,27CB,botL_samus,,,-
100,white ankle socks,,,Socks,Ankle Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,white,red,basic,Unisex,-,,,-,しろのくるぶしソックス,calcetín tobillo,calcetín tobillo,paire socq. blanches,paire socq. blanches,Weißsöckchen,p. calzini da tennis,하얀 발목 양말,1.0,270F,2793,sock_anklet_wht,,,white ankle socks
101,white leather shoes,,,Shoes,Shoes,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,-,-,white,white,official,Male,Manufactured,,,-,しろいかわぐつ,zapato elegante,zapato elegante,p. souliers blancs,p. souliers blancs,Kunstlederschuh,paio scarpe di pelle,하얀 가죽 구두,1.0,271F,27A7,nml_leather_wht,,,-
102,white patent shoes,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,white,black,cute,Female,Manufactured,,,-,しろいエナメルシューズ,zapato lazo negro,zapato lazo negro,p. sandales blanches,p. sandales blanches,Lackschuh,p. scarpe di vernice,하얀 에나멜 슈즈,1.0,2718,27A0,nml_pumps_wht,,,white patent shoes
103,white socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,white,white,basic,Unisex,-,,,-,しろいハイソックス,calcetín blanco,calcetín blanco,p. chauss. blanches,p. chauss. blanches,Tennissocke,paio calzini bianchi,하얀 니삭스,1.0,2706,278A,sock_high_wht,,,-
104,white stockings,,,Socks,Tights,Kicks,Yes,160,-,40,32,2,3,-,-,-,white,red,official,Female,-,,,-,しろいストッキング,media blanca,media blanca,paire de bas blancs,paire de bas blancs,Weißstrumpf,paio collant bianchi,하얀 스타킹,1.0,2713,2797,sock_stocking_wht,,,white stockings
105,white-lace socks,,,Socks,Ankle Socks,Kicks,Yes,120,-,30,24,1,3,-,-,-,white,brown,cute,Female,-,,,-,レースのソックス,calcetín encaje,calcetín encaje,paire chaus. crochet,paire chaus. crochet,Spitzensöckchen,p. calzini merlett.,레이스 양말,1.0,26FF,2783,sock_lace_wht,,,-
106,wooden clogs,,,Shoes,Shoes,Kicks,Yes,520,-,130,104,6,3,-,Rustic,-,red,pink,iconic,Female,Dotted,,,-,きぐつ,zueco florido,zueco florido,paire sabots décorés,paire sabots décorés,Holzpantoffel,p. zoccoli di legno,네덜란드 나막신,1.0,272A,27B2,nml_wood,,,wooden clogs
107,yellow buckled shoes,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,yellow,yellow,cute,Female,-,,,-,きいろいベルトシューズ,mercedita amarilla,mercedita amarilla,paire babies jaunes,paire babies jaunes,Gelb-Schnallenschuh,p. scarpe con fibbia,노란 메리제인 슈즈,1.0,274D,27D5,nml_enamel_ylw,,,-
108,yellow rain boots,,,Shoes,Tall Boots,Kicks,Yes,600,-,150,120,7,3,-,-,-,yellow,yellow,cute,Unisex,-,,,-,きいろいレインブーツ,katiuska amarilla,katiuska amarilla,p. bottes pluie J,p. bottes pluie J,Gummistiefel,paio stivali gialli,노란 레인부츠,1.0,2728,27B0,botH_rain_ylw,,,-
109,yellow sneakers,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,yellow,orange,sporty,Female,-,,,-,きいろいヒモつきシューズ,zapatilla amarilla,zapatilla amarilla,paire tennis jaunes,paire tennis jaunes,Gelbturnschuh,paio scarpe gialle,끈 달린 노란 신발,1.0,2753,27DB,nml_sneaker_ylw,,,yellow sneakers
110,zap boots,,,Shoes,Tall Boots,Kicks,Yes,720,-,180,144,9,3,-,Sci-Fi / Toy Shop,-,black,yellow,sporty,Unisex,Manufactured,,Plays a short tune when equipped,-,ヒーローブーツ,superbota,superbota,p. bottes de héros,p. bottes de héros,Superheldenstiefel,paio stivali eroe,히어로 부츠,1.0,2738,27C0,botH_hero,,,-
-,patched shoes,,,Shoes,Shoes,Villagers,No,-,-,-400,-,-,51,-,-,-,beige,gray,historical,Unisex,-,,,-,ボロのくつ,zapato remiendos,zapato remiendos,p. souliers rapiécés,p. souliers rapiécés,Flickenschuh,p. scarpe rattoppate,낡은 신발,1.0,2732,27BA,nml_boro,,,-
