#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Hex ID [Wall] (1.4),Name (NH),Name (HHD),Name (PC)
084,ribbon dress,,Short Sleeve Dress,Able Sisters,Spring,Yes,720,-,180,144,9,3,-,Fairy Tale,white,colorful,cute,Female,Nature,,リボンのワンピース,vestido lazos,vestido lazos,robe rubans,Schleifenkleid,vestito a fiocchi,리본 원피스,1.0,2630,26A6,tops_ribbon,36DF,,,-
085,rose tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,680,-,170,136,8,3,-,Rustic,white,red,cute,Female,Nature,,しろじのバラのワンピース,vestido rosal,vestido rosal,robe d'été rose,Rosen-Trägerkleid,scamiciato rose,하얀 바탕 장미 원피스,1.0,2628,269E,tops_flw_rosewht,36D7,,,-
086,rose-sky tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,680,-,170,136,8,3,-,Rustic,aqua,red,cute,Female,Nature,,あおじのバラのワンピース,vestido rosal azul,vestido rosal azul,robe d'été rose ciel,Tulpen-Trägerkleid,scamiciato rose blu,파란 바탕 장미 원피스,1.0,2629,269F,tops_flw_roseblu,36D8,,,-
087,sea captain's coat,,Long Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,pirate,Antique / Toy Shop / Quirky,red,black,rock 'n' roll,Male,Nature,,かいぞくのコート,casaca pirata,casaca pirata,manteau de pirate,Piratenmantel,giaccone pirata,해적 코트,1.0,261D,2693,tops_pirates,36CC,,,-
088,shirtdress,,Long Sleeve Dress,Able Sisters,-,Yes,680,-,170,136,8,3,-,-,white,white,official,Female,-,,シャツワンピース,vestido camisero,vestido camisero,robe chemisier,Hemdkleid,vestito camicia,셔츠 원피스,1.0,2659,26CF,tops_onp_shirt,3708,,,-
089,silk bloom dress,,Sleeveless Dress,Able Sisters,Spring,Yes,680,-,170,136,8,3,-,Rustic,green,colorful,cute,Female,Nature,,はながらのゆうぜん,vestido lilas,vestido lilas,robe d'été en soie,Velours-Trägerkleid,scamiciato tenue,꽃무늬 자수 원피스,1.0,2624,269A,tops_flw_yuzen,36D3,,,-
090,sky dress,,Short Sleeve Dress,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,white,aqua,official,Female,Nature,,ホーリーなふく,vestido cielo,vestido cielo,robe ciel,Himmelskleid,vestito cielo,경건한 옷,1.0,263A,26B0,tops_holly,36E9,,,sky dress
091,spring kimono,,Long Sleeve Dress,Able Sisters,Summer,Yes,800,-,200,160,10,3,-,Harmonious / Rustic,aqua,pink,iconic,Female,Nature,,はながらのゆかた,kimono primaveral,kimono primaveral,kimono printanier,Frühlings-Kimono,kimono estivo,꽃무늬 여름 기모노,1.0,2665,26DB,tops_yukata_flw,3714,,,-
092,star tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,720,-,180,144,9,3,-,-,colorful,white,flashy,Female,Nature,,スターなワンピース,vestido estrellas,vestido estrellas,robe d'été étoiles,Buntstern-Kleid,scamiciato stellare,별이 빛나는 원피스,1.0,2667,26DD,tops_ptn_star,3716,,,-
093,sweater dress,,Long Sleeve Dress,GracieGrace,Fall,No,"7,200",-,"1,800",-,90,299,-,-,beige,beige,cute,Female,Nature,,ニットワンピース,vestido de punto,vestido de punto,robe en laine,Strickkleid,vestito di lana,니트 원피스,1.0,2658,26CE,tops_onp_knit,3707,,,sweater dress
094,tan dogtooth dress,,Long Sleeve Dress,GracieGrace,Fall,No,"7,200",-,"1,800",-,90,299,-,-,brown,brown,iconic,Female,Plaid,,セピアなちどりワンピース,vestido sabueso,vestido sabueso,robe pied coq brune,Schokokleid,vestito zampetta,갈색 바람개비 원피스,1.0,260F,2685,tops_houndonp_sep,36BE,,,-
095,tartan-plaid outfit,,Short Sleeve Dress,GracieGrace,-,No,"8,000",-,"2,000",-,100,299,-,Fairy Tale / Toy Shop,black,red,cute,Female,-,,いまのアイドルなふく,traje tartán rombos,vestido tartán pijo,robe tartan,Schottenkarokleid,vestito tartan rosso,요즘 아이돌 옷,1.0,2657,26CD,tops_idol_10,3706,,,-
096,toga,,Sleeveless Dress,Able Sisters,Summer,Yes,640,-,160,128,8,3,-,Antique,white,white,iconic,Unisex,-,,ギリシャなふく,toga,toga,toge,Toga,toga,그리스풍 옷,1.0,263E,26B4,tops_toga,36ED,,,-
097,trench coat,,Long Sleeve Dress,GracieGrace,Winter,No,"5,200",-,"1,300",-,65,251,-,-,beige,beige,official,Unisex,-,,トレンチコート,gabardina,gabardina,pardessus,Trenchcoat,trench,트렌치코트,1.0,264C,26C2,tops_trenchcoat,36FB,,,trench coat
098,turnip dress,,Long Sleeve Dress,Able Sisters,-,Yes,620,-,155,124,7,3,-,-,green,white,cute,Female,Manufactured,,みどりのカーディガン,vestido rábano,vestido rábano,robe navet,Lodenkleid,vestito rapa,녹색 가디건,1.0,2635,26AB,tops_cardigan_grn,36E4,,,turnip dress
099,twinkle tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,720,-,180,144,9,3,-,-,blue,white,flashy,Female,Nature,,トゥインクルなワンピース,vestido brillos,vestido brillos,robe d'été brillante,Sternchenkleid,scamiciato notte,반짝이는 원피스,1.0,2668,26DE,tops_twinkle,3717,,,twinkle tank dress
100,U-R-here dress,,Short Sleeve Dress,Able Sisters,-,Yes,600,-,150,120,7,3,-,-,white,red,rock 'n' roll,Female,Manufactured,,やじるしのワンピース,vestido flecha,vestido flecha,robe flèche,Pfeilkleid,vestito sei qui,화살표 원피스,1.0,2660,26D6,tops_arrow,370F,,,-
101,vogue dress,,Short Sleeve Dress,Able Sisters,Spring,Yes,680,-,170,136,8,3,-,Rustic,pink,white,cute,Female,Nature,,はながらのワンピース,vestido florecillas,vestido florecillas,robe vogue,En-Vogue-Kleid,vestito chic,꽃무늬 원피스,1.0,2620,2696,tops_onp_flw,36CF,,,-
102,waitress dress,,Short Sleeve Dress,Able Sisters,-,Yes,800,-,200,160,10,3,-,-,pink,pink,official,Female,-,,ウェイトレスなふく,vestido pastel,vestido pastel,robe de serveuse,Pastellkleid,vestito cameriera,웨이트리스 유니폼,1.0,2640,26B6,tops_waitress,36EF,,,-
103,witch's robe,,Long Sleeve Dress,GracieGrace,-,No,"7,200",-,"1,800",-,90,251,witch,Quirky,black,purple,historical,Female,-,,まじょのローブ,vestido bruja,vestido bruja,robe de sorcière,Hexenumhang,vestito strega,마녀의 로브,1.0,2638,26AE,tops_witch,36E7,,,witch's robe
104,yellow dotted dress,,Short Sleeve Dress,GracieGrace,-,No,"7,200",-,"1,800",-,90,299,-,-,yellow,white,cute,Female,Dotted,,きいろみずたまワンピース,vestido miel,vestido miel,robe à pois jaune,Eiscreme-Kleid,vestito giallo pois,노란색 물방울 원피스,1.0,2617,268D,tops_dotonp_ylw,36C6,,,-
105,yellow raincoat,,Long Sleeve Dress,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,yellow,yellow,cute,Unisex,-,,きいろいレインコート,impermeable amarillo,impermeable amarillo,ciré jaune,Regenmantel,impermeabile giallo,노란색 레인코트,1.0,265B,26D1,tops_raincoat_ylw,370A,,,-
106,yodel dress,,Short Sleeve Dress,Able Sisters,-,Yes,680,-,170,136,8,3,-,-,aqua,white,iconic,Female,Nature,,ノルディックなドレス,vestido pespunte,vestido pespunte,robe nordique,Jodelkleid,vestito yodel,노르딕풍 드레스,1.0,2636,26AC,tops_nordic,36E5,,,-
-,patched dress,,Long Sleeve Dress,Villagers,-,No,-,-,-400,-,-,51,-,Quirky,beige,gray,historical,Female,-,,ボロのワンピース,vestido remiendos,vestido remiendos,robe rapiécée,Flickenkleid,vestito rattoppato,낡은 원피스,1.0,2650,26C6,tops_patched,36FF,,,-
