#,Name,Image,Icon,Availability,Availability 1,Time 1,Availability 2,Time 2,Availability 3,Time 3,Availability 4,Time 4,Location,Tortimer Island Time,Spawn in Island Tour,Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Season (Encyclopedia),Time (Encyclopedia),Size Range (Encyclopedia),Furniture Size,HHA Base Points,Furniture Image,When HHA Lucky,Source Group,Museum Description,Catch Quote,Catch Quote 2,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
45,tiger beetle,,,Mar - Oct,Mar - Sep,8 AM - 7 PM,Oct,4 AM - 5 PM,-,-,-,-,On the ground,4 PM - 11 PM,No,"1,500","1,200",75,Spring-Summer,Morning-Evening,,1x1,3,,-,0D,"Tiger beetles are known for their aggressive predatory habits and fast running speed. Their bodies are rather colorful and reflect the sunshine, giving them a shimmery appearance. Tiger-beetle larvae live in cylindrical burrows and capture insects that wander past with their mandibles.",I caught a tiger beetle! Who was really hunting whom?,-,ハンミョウ,escarabajo tigre,escarabajo tigre,cicindèle,Sandlaufkäfer,cicindela,길앞잡이,22B2,22BA,int_ins_hanmyou,,,,,tiger beetle
46,dung beetle,,,Dec - Feb,Dec - Feb,5 PM - 8 AM,-,-,-,-,-,-,Pushing snowballs,-,No,800,640,-,Winter,Night-Morning,,1x1,3,,Nov 25 - Feb 24,78,"Dung beetles are famous for the exact thing you'd assume they're famous for. In fact, they use their namesake both as a source of food and a place to lay their eggs. Dung beetles are very strong and can roll things 10 times the weight of their bodies. One species can even pull objects 1,141 times its weight, which is like a human pulling 6 packed buses!","I caught a dung beetle! Nah, the joke's just too easy.",-,フンコロガシ,escarabajo pelotero,escarabajo pelotero,bousier,Mistkäfer,scarabeo stercorario,쇠똥구리,22B3,22BB,int_ins_hunkoro,,,,,dung beetle
47,wharf roach,,,All year,All year,All day,-,-,-,-,-,-,On beach,All day,No,200,160,10,Year-round,Always,,1x1,3,,-,0D,"Wharf roaches can be seen along the sea, usually just above the waterline on rocky cliffs. They feed mainly on microalgae and detritus that drift to the seashore, making them cleaners of sorts. They often move in groups and run away quickly when they hear people approaching.",I caught a wharf roach! Even the beaches must be messy!,-,フナムシ,cochinilla de arena,cochinilla de arena,ligie,Strandassel,ligia exotica,갯강구,22B4,22BC,int_ins_funamushi,,,,,wharf roach
48,hermit crab,,,All year,All year,7 PM - 8 AM,-,-,-,-,-,-,On beach,7 PM - 8 AM,No,"1,000",800,50,Summer,Night-Morning,,1x1,3,,-,0D,"Hermit crabs live in empty shells they can fit their bodies into. As they grow, they find bigger shells. They're quite picky about each new shell and first measure the opening with their claws. The shells they choose usually fit well, and they'll sometimes fight one another over ownership rights.","I caught a hermit crab! Finally, it came out of its shell!",-,ヤドカリ,cangrejo ermitaño,cangrejo ermitaño,bernard-l'ermite,Einsiedlerkrebs,granchio paguro,소라게,22B5,22BD,int_ins_yadokari,,,,,hermit crab
49,firefly,,,Jun,Jun,7 PM - 4 AM,-,-,-,-,-,-,Flying near freshwater,-,No,300,240,-,Summer,Night,,1x1,3,,-,0D,"Both male and female fireflies are capable of producing light from their lower abdomens. This light isn't the same as the light from a lightbulb, though, and isn't hot when you touch it. Fireflies can actually glow when in the egg and larval stages, but that light is comparatively weaker.",I caught a firefly! Now I'm glowing with pride!,-,ホタル,luciérnaga,luciérnaga,luciole,Leuchtkäfer,lucciola,반디,22B6,22BE,int_ins_hotaru,,,,,firefly
50,fruit beetle,,,Jul - Sep,Jul - Aug,All day,Sep,7 PM - 8 AM,-,-,-,-,On trees (any kind),All day,No,100,80,5,Summer,Always,,1x1,3,,-,0D,The fruit beetle has a brilliant- green-colored body and tends to hang around fruit trees. They have a hard outer wing casing and lift this casing when they need to fly using their thin wings. The larvae of fruit beetles feed on decaying vegetable debris and plant roots.,I caught a fruit beetle! Orange you glad I did?!,-,コガネムシ,escarabajo verde,escarabajo verde,nitidule,Smaragdkäfer,maggiolino,풍뎅이,22B7,22BF,int_ins_kogane,,,,,-
51,scarab beetle,,,Jul - Aug,Jul - Aug,11 PM - 8 AM,-,-,-,-,-,-,On trees (any kind),11 PM - 8 AM,No,"6,000","4,800",300,Summer,Night-Morning,,1x1,3,,-,0D,"Scarab beetles have elegant, metallic-looking bodies and are shinier even than fruit beetles. They're so shiny that they're said to gleam like gold. They're very rare and can be sold for high prices. Like all beetles in the scarab family, the outer shell provides a very thick layer of protection from predators. The high value and golden shell do make them more vulnerable when it comes to Bell hunters, though.",I caught a scarab beetle! Pfff. I've seen scarier!,-,プラチナコガネ,escarabajo oro,escarabajo oro,scarabée,Skarabäus,dorifera,보석풍뎅이,22B8,22C0,int_ins_plakoga,,,,,scarab beetle
52,jewel beetle,,,Jul - Aug,Jul - Aug,8 AM - 5 PM,-,-,-,-,-,-,On trees (any kind),-,No,"2,400","1,920",-,Summer,Morning-Evening,,1x1,3,,-,0D,"Jewel beetles are very pretty insects that show a red line on their green bodies when refracting light. They're so pretty that it's believed people used them for craftwork a long time ago. Their shiny wings are easy to notice, but birds have a hard time targeting them. This is because birds aren't very good at seeing things that change color in different lights.",I caught a jewel beetle! A real diamond in the rough!,-,タマムシ,escarabajo joya,escarabajo joya,bupreste,Prachtkäfer,stigmodera,비단벌레,22B9,22C1,int_ins_tama,,,,,jewel beetle
53,miyama stag,,,Jul - Aug,Jul - Aug,All day,-,-,-,-,-,-,On trees (any kind),All day,No,"1,000",800,50,Summer,Always,,1x1,3,,-,0D,"Miyama stags look strong, with their thick, bumpy exoskeletons and yellow hair covering their bodies. They're active during the day but really don't prefer the heat during the summer. Contrary to their appearance, they are rather delicate insects, so be sure to handle with care.",I caught a miyama stag! Glad I overcame my stag fright!,-,ミヤマクワガタ,esc. ciervo Miyama,esc. ciervo Miyama,lucane miyama,Hirschkäfer,coleottero lucanide,사슴벌레,22BA,22C2,int_ins_miyakwa,,,,,miyama stag
54,saw stag,,,Jul - Aug,Jul - Aug,All day,-,-,-,-,-,-,On trees (any kind),All day,No,"2,000","1,600",100,Summer,Always,,1x1,3,,-,0D,"The most distinguishing feature of saw stags are their large, curved jaws. The inner parts of their jaws look like saws, which is how they get their moniker. When they feel vibrations, they stop moving right away and feign death as a defense mechanism.",I caught a saw stag! Is carpentry big in the bug world?,-,ノコギリクワガタ,esc. ciervo sierra,esc. ciervo sierra,lucane inclinatus,Sägezahn-Hirschkäfer,coleottero cervo,톱사슴벌레,22BB,22C3,int_ins_nokokwa,,,,,saw stag
55,giant stag,,,Jul - Aug,Jul - Aug,11 PM - 8 AM,-,-,-,-,-,-,On trees (any kind),11 PM - 8 AM,No,"10,000","8,000",500,Summer,Night-Morning,,1x1,3,,-,0D,"Giant stags are huge stag beetles with one tooth in each side of their large jaws. They're very territorial but careful at the same time, so they usually hide in holes in trees. They have a long life span. Records show that some have lived up to five years. They're very popular among collectors as pets, so they commonly fetch a high price.","Whoa! I caught a giant stag! Small world, isn't it?",-,オオクワガタ,esc. ciervo gigante,esc. ciervo gigante,lucane cerf-volant,Riesen-Hirschkäfer,coleottero gigante,왕사슴벌레,22BC,22C4,int_ins_ookwa,,,,,giant stag
56,rainbow stag,,,Jun - Sep,Jun; Sep,7 PM - 8 AM,Jul - Aug,5 PM - 8 AM,-,-,-,-,On trees (any kind),5 PM - 8 AM,No,"10,000","8,000",500,Summer,Night-Morning,,1x1,3,,-,0D,"Rainbow stags are called the most beautiful of stag beetles because of their metallic-rainbow color. Not only are their wings a pretty rainbow color, but their bellies are as well. They are quite laid back, but they can be seen every now and then fighting to protect their territories.",I caught a rainbow stag! Aren't you a colorful bug!,-,ニジイロクワガタ,esc. ciervo arcoíris,esc. ciervo arcoíris,lucane copris irisé,Pracht-Hirschkäfer,coleott. arcobaleno,뮤엘러리사슴벌레,22BD,22C5,int_ins_nijikwa,,,,,rainbow stag
57,cyclommatus stag,,,Jul - Aug,Jul - Aug,5 PM - 8 AM,-,-,-,-,-,-,On palm trees,5 PM – 8 AM,No,"8,000","6,400",400,Summer,Night-Morning,,1x1,3,,-,0D,"Cyclommatus stags are identified by their long pairs of mandibles, which can be as long as their bodies. Their large mandibles are actually already formed when they're in the pupal stage of life. Although these beetles are mostly easygoing, those living in mountains really can't stand the heat.",I caught a cyclommatus stag! Need some tweezers?,-,ホソアカクワガタ,esc. ciervo cyclom.,esc. ciervo cyclom.,lucane cyclommatus,Cyclommatus,coleott. cyclommatus,엘라푸스가위사슴벌레,22BE,22C6,int_ins_hosokwa,,,,,cyclommatus stag
58,golden stag,,,Jul - Aug,Jul - Aug,5 PM - 8 AM,-,-,-,-,-,-,On palm trees,5 PM – 8 AM,No,"12,000","9,600",600,Summer,Night-Morning,,1x1,3,,-,0D,"Golden stags are named after their unique gold color and are highly prized by collectors. They shine like gold when their bodies are dry, but when it's humid, they actually look black. Golden stags have short mandibles that aren't good for fighting, but males sometimes fight for territory. The males are surprisingly friendly to the females, which gives these beetles a likable quality.",Whoa! I caught a golden stag! Better not spend it all in one place!,-,オウゴンオニクワガタ,esc. ciervo tornasol,esc. ciervo tornasol,lucane lamprima,Lamprima aurata,coleottero dorato,황금사슴벌레,22BF,22C7,int_ins_ougon,,,,,golden stag
59,horned dynastid,,,Jul - Aug,Jul - Aug,5 PM - 8 AM,-,-,-,-,-,-,On trees (any kind),5 PM – 8 AM,No,"1,350","1,080",67,Summer,Night-Morning,,1x1,3,,-,0D,"Horned dynastids are part of the scarab family. Their horns are actually part of their exoskeleton. Horned dynastids don't have a nose or ears, but they can sense smells with their antennae. They are also able to feel the minor vibration of sounds traveling in the air using thin hair on their bodies. They are fairly loud when flying, plus they emit a rather sour odor, so they are hard not to notice.","I caught a horned dynastid! Your era just ended, buddy!",-,カブトムシ,esc. astado japonés,esc. astado japonés,scarabée kabuto,Nashornkäfer,scarabeo kabutomushi,장수풍뎅이,22C0,22C8,int_ins_kbt,,,,,horned dynastid
60,horned atlas,,,Jul - Aug,Jul - Aug,5 PM - 8 AM,-,-,-,-,-,-,On palm trees,5 PM – 8 AM,No,"8,000","6,400",400,Summer,Night-Morning,,1x1,3,,-,0D,"Horned atlases, though perhaps not the largest, are still known as the strongest of the dynastid beetles. Their 3 horns make them look like a mash-up of a dynastid beetle and a stag beetle! In the pupal stage, they already have 3 horns and tend to be pretty strong.",I caught a horned atlas! It's like a weight has been lifted!,-,コーカサスオオカブト,esc. astado atlas,esc. astado atlas,scarabée Atlas,Atlaskäfer,scarabeo atlas,코카서스장수풍뎅이,22C1,22C9,int_ins_kokbt,,,,,horned atlas
61,horned elephant,,,Jul - Aug,Jul - Aug,5 PM - 8 AM,-,-,-,-,-,-,On palm trees,5 PM – 8 AM,No,"8,000","6,400",400,Summer,Night-Morning,,1x1,3,,-,0D,"Horned elephants are some of the heaviest dynastid beetles in the world. The thin yellow hair that covers their bodies makes them rather attractive to mates and collectors. Their horns resemble an elephant raising its trunk, which is how they got their name. They're already big in their larval stage, but by their pupal stage, they are the size of a person's hand.",I caught a horned elephant! Did it get lost from the herd?,-,ゾウカブト,esc. astado elefante,esc. astado elefante,scarabée éléphant,Elefantenkäfer,scarabeo elefante,코끼리장수풍뎅이,22C2,22CA,int_ins_zokbt,,,,,horned elephant
62,horned hercules,,,Jul - Aug,Jul - Aug,5 PM - 8 AM,-,-,-,-,-,-,On palm trees,5 PM – 8 AM,No,"12,000","9,600",600,Summer,Night-Morning,,1x1,3,,-,0D,"Horned herculeses are the largest beetles in the world, reaching over 17 cm in exceptional cases. Their 2 long horns look pretty, but they're powerful and can hurt a lot if you're pinched by them. The longer horn is covered with short, soft yellow hair, which helps them to sense vibrations. The yellow on their bodies turns black when it's humid, making them difficult to spot on humid evenings.",I caught a horned hercules! Who's the mighty one now?,-,ヘラクレスオオカブト,esc. astado hércules,esc. astado hércules,scarabée Hercule,Herkuleskäfer,scarabeo Ercole,헤라클레스장수풍뎅이,22C3,22CB,int_ins_helkbt,,,,,horned hercules
63,goliath beetle,,,Jun - Sep,Jun; Sep,7 PM - 8 AM,Jul - Aug,5 PM - 8 AM,-,-,-,-,On palm trees,5 PM - 8 AM,No,"6,000","4,800",300,Summer,Night-Morning,,1x1,3,,-,0D,"Goliath beetles, named after the legendary giant, are among the largest insects in the world. The larvae can weigh four ounces or more. Once mature, they are only half that weight, however.  They spend their days flying from tree to tree to feed on tree sap or fruits.",I caught a goliath beetle! Hah! He doesn't look so big.,-,ゴライアスハナムグリ,goliat,goliat,scarabée Goliath,Goliathkäfer,scarabeo Golia,골리앗꽃무지,22C4,22CC,int_ins_gorias,,,,,goliath beetle
64,flea,,,Mar - Nov,Mar - Nov,All day,-,-,-,-,-,-,On villagers,-,No,70,56,-,Spring-Fall,Always,,1x1,3,,-,0D,"Fleas are tiny insects that feed on blood from humans and animals, which then results in an itchy rash. They use their piercing mouths to suck blood while injecting saliva into their host at the same time. Unlike mosquitoes, both males and females suck blood. The females are larger than the males.","I caught a flea! Oh no, now I'm itchy!",-,ノミ,pulga,pulga,puce,Floh,pulce,벼룩,22C5,22CD,int_ins_nomi,,,,,flea
65,pill bug,,,All year,Sep - June,All day,Jul - Aug,7 PM - 4 AM,-,-,-,-,From hitting rocks,-,No,250,200,-,Year-round,Always,,1x1,3,,-,0D,"Pill bugs live in moist places, which is why you will commonly find them under rocks and in stumps. When they're touched, they roll into a ball. Oddly enough, they're part of the crustacean family. As such, and since they don't like dry places, they can travel for a short time underwater if need be.",I caught a pill bug! I don't know... It seems nice to me!,-,ダンゴムシ,cochinilla,cochinilla,cloporte,Kugelassel,porcellino di terra,쥐며느리,22C6,22CE,int_ins_dango,,,,,pill bug
66,mosquito,,,Jun - Sep,Jun - Sep,5 PM - 4 AM,-,-,-,-,-,-,Flying,-,No,130,104,-,Summer,Night,,1x1,3,,-,0D,"Mosquitoes can easily be found flying around on warm summer nights looking for targets. Only the females feed on blood, and when they do so, they also inject saliva. The saliva is actually what causes the annoying itchy feeling, rather than the bite itself. Mosquitoes detect body heat, sweat, and carbon dioxide, so they are drawn to exercising humans.","I caught a mosquito! Why you be hatin', mosquito?!",-,カ,mosquito,mosquito,moustique,Mücke,zanzara,모기,22C7,22CF,int_ins_ka,,,,,mosquito
67,fly,,,All year,All year,All day,-,-,-,-,-,-,"Flying near rafflesia, trash, or rotten turnips/fruit",-,No,60,48,-,Year-round,Always,,1x1,3,,-,0D,"Flies are often seen rubbing their forelegs to clean them, which seems odd, because, well, they're flies. However, they need to keep their legs clean as they contain taste and tactile receptors. By doing so, they can better savor the flavor of whatever they find to eat next. The legs also contain a sticky liquid so flies can more easily land on smooth surfaces.",I caught a fly... Quite the buzzkill for it!,-,ハエ,mosca,mosca,mouche,Fliege,mosca,파리,22C8,22D0,int_ins_hae,,,,,fly
68,house centipede,,,Aug - Oct,Aug - Oct,7 PM - 8 AM,-,-,-,-,-,-,From hitting rocks,-,No,250,200,-,Summer-Fall,Night-Morning,,1x1,3,,-,0D,"The house centipede has many remarkably long legs that give it a very intimidating appearance. However, despite this intense look, they are for the most part harmless to humans. When an enemy is holding down one of its legs, the house centipede will drop that leg to make an escape. The dropped leg will continue to flail for a while, though, providing a distraction.",I caught a house centipede! Make yourself at home—in my net!,-,ゲジ,ciempiés doméstico,ciempiés doméstico,scutigère,Spinnenläufer,centogambe,그리마,22C9,22D1,int_ins_geji,,,,,-
69,centipede,,,Jun - Feb,Jun - Feb,4 PM - 11 PM,-,-,-,-,-,-,From hitting rocks,-,No,300,240,-,Summer-Winter,Night,,1x1,3,,-,0D,"Despite the name, centipedes have a varying number of legs, from about 30 to 46 rather than 100. They also have forcipules, which are a modification of the first pair of legs, that inject venom. Centipedes are sometimes used as an ingredient in herbal medicine, though the effect is questionable.",I caught a centipede! Impede the centipede!,-,ムカデ,ciempiés,ciempiés,mille-pattes,Hundertfüßer,centopiedi,지네,22CA,22D2,int_ins_mukade,,,,,centipede
70,spider,,,Mar - Oct,Mar - Jun; Sep,All day,Jul - Aug,7 PM - 8 AM,Oct,11 PM - 4 PM,-,-,Shaking trees,-,No,300,240,-,Spring-Fall,Always,,1x1,3,,-,0D,"Spiders emit silk from their spinnerets and use it to create elaborate webs to snag prey. The horizontal threads are sticky to the touch, allowing them to be used as very strong restraints. However, the vertical threads are smooth, allowing spiders to walk on them without getting stuck.","I caught a spider! My net is kinda like a web, right?",-,クモ,araña,araña,araignée,Spinne,ragno,거미,22CB,22D3,int_ins_kumo,,,,,spider
71,tarantula,,,Jun - Aug,Jun - Aug,7 PM - 4 AM,-,-,-,-,-,-,On the ground,-,No,"8,000","6,400",-,Summer,Night,,1x1,3,,-,0D,"Tarantulas are large arachnids that live in warm areas. They're some- times kept as pets. They have sharp fangs, and while it is painful if you're bitten by one, they aren't deadly to humans. What's scarier is the hair they kick off of their abdomens to protect themselves. The hair can cause serious itching and rashes wherever it sticks and can be rather difficult to remove.",I caught a tarantula! WHAAAA! Destroy it!,-,タランチュラ,tarántula,tarántula,tarentule,Tarantel,tarantola,타란툴라,22CC,22D4,int_ins_taran,,,,,tarantula
72,scorpion,,,Jul - Sep,Jul - Sep,7 PM - 4 AM,-,-,-,-,-,-,On the ground,-,No,"8,000","6,400",-,Summer,Night,,1x1,3,,-,0D,"Scorpions resemble crabs and are in the class arachnida, though they aren't aquatic. Most species possess venom, but of the 1,000 or more species, only 25 are deadly to humans. Scorpion eggs hatch inside the female's abdomen, and the young spend time on her back after birth.","I caught a scorpion! Not so fast now, are ya?!",-,サソリ,escorpión,escorpión,scorpion,Skorpion,scorpione,전갈,22CD,22D5,int_ins_sasori,,,,,scorpion
