#,Name,Body Name,Pattern Name,Name (Variant),Image,Source,Reorderable,Buy Price (Bells),Sell Price (Re-Tail),Size,Interactivity,Animated,Sound,HHA Base Points,HHA Theme Challenge,Color 1,Color 2,Fashion,Customizable Body Name,Customizable Pattern Name,Customization Cost,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),# (JP),# (ES-NA),# (ES-EU),# (FR),# (GER),# (ITA),# (KOR),Version Added,Source Group,Hex ID,Body Flag,Pattern Flag,Flag,ID-Flag,Model Filename,New To Series,Name (NH),Name (HHD),Name (PC),Body Name (English EU),Pattern Name (English EU),Body Name (Japanese),Pattern Name (Japanese),Body Name (Spanish),Pattern Name (Spanish),Body Name (French NA),Pattern Name (French NA),Body Name (French EU),Pattern Name (French EU),Body Name (German),Pattern Name (German),Body Name (Italian),Pattern Name (Italian),Body Name (Korean),Pattern Name (Korean)
14,propeller plane,Blue,Heart,propeller plane (Blue - Heart),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,blue,pink,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,00,01,0001,303D-0001,rmk_big_aircraft,No,-,propeller plane,-,Blue,Heart,ブルー,ハート,Azul,Corazones,Bleu.,Cœurs.,Bleu.,Cœur.,Blau,Herzchen,Blu,Cuore,블루,하트
14,propeller plane,Red,Leaves,propeller plane (Red - Leaves),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,red,green,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,04,00,0400,303D-0400,rmk_big_aircraft,No,-,propeller plane,-,Red,Leaves,レッド,はっぱ,Rojo,Hojas,Rouge.,Feuilles.,Rouge.,Feuilles.,Rot,Blätter,Rosso,Foglie,레드,나뭇잎
14,propeller plane,Red,Heart,propeller plane (Red - Heart),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,red,pink,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,04,01,0401,303D-0401,rmk_big_aircraft,No,-,propeller plane,-,Red,Heart,レッド,ハート,Rojo,Corazones,Rouge.,Cœurs.,Rouge.,Cœur.,Rot,Herzchen,Rosso,Cuore,레드,하트
14,propeller plane,Orange,Leaves,propeller plane (Orange - Leaves),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,orange,green,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,08,00,0800,303D-0800,rmk_big_aircraft,No,-,propeller plane,-,Orange,Leaves,オレンジ,はっぱ,Naranja,Hojas,Orange.,Feuilles.,Orange.,Feuilles.,Orange,Blätter,Arancione,Foglie,오렌지,나뭇잎
14,propeller plane,Orange,Heart,propeller plane (Orange - Heart),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,orange,pink,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,08,01,0801,303D-0801,rmk_big_aircraft,No,-,propeller plane,-,Orange,Heart,オレンジ,ハート,Naranja,Corazones,Orange.,Cœurs.,Orange.,Cœur.,Orange,Herzchen,Arancione,Cuore,오렌지,하트
14,propeller plane,Green,Leaves,propeller plane (Green - Leaves),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,green,green,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,0C,00,0C00,303D-0C00,rmk_big_aircraft,No,-,propeller plane,-,Green,Leaves,グリーン,はっぱ,Verde,Hojas,Vert.,Feuilles.,Vert.,Feuilles.,Grün,Blätter,Verde,Foglie,그린,나뭇잎
14,propeller plane,Green,Heart,propeller plane (Green - Heart),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,green,pink,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,0C,01,0C01,303D-0C01,rmk_big_aircraft,No,-,propeller plane,-,Green,Heart,グリーン,ハート,Verde,Corazones,Vert.,Cœurs.,Vert.,Cœur.,Grün,Herzchen,Verde,Cuore,그린,하트
14,propeller plane,Black,Leaves,propeller plane (Black - Leaves),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,black,green,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,10,00,1000,303D-1000,rmk_big_aircraft,No,-,propeller plane,-,Black,Leaves,ブラック,はっぱ,Negro,Hojas,Noir.,Feuilles.,Noir.,Feuilles.,Schwarz,Blätter,Nero,Foglie,블랙,나뭇잎
14,propeller plane,Black,Heart,propeller plane (Black - Heart),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,black,pink,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,10,01,1001,303D-1001,rmk_big_aircraft,No,-,propeller plane,-,Black,Heart,ブラック,ハート,Negro,Corazones,Noir.,Cœurs.,Noir.,Cœur.,Schwarz,Herzchen,Nero,Cuore,블랙,하트
14,propeller plane,White,Leaves,propeller plane (White - Leaves),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,white,green,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,14,00,1400,303D-1400,rmk_big_aircraft,No,-,propeller plane,-,White,Leaves,ホワイト,はっぱ,Blanco,Hojas,Blanc.,Feuilles.,Blanc.,Feuilles.,Weiß,Blätter,Bianco,Foglie,화이트,나뭇잎
14,propeller plane,White,Heart,propeller plane (White - Heart),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,white,pink,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,14,01,1401,303D-1401,rmk_big_aircraft,No,-,propeller plane,-,White,Heart,ホワイト,ハート,Blanco,Corazones,Blanc.,Cœurs.,Blanc.,Cœur.,Weiß,Herzchen,Bianco,Cuore,화이트,하트
15,robot hero,Red,-,robot hero (Red),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Press,Press,777,Toy Shop,red,red,rock 'n' roll,the body color,-,800,ヒーローロボ,robot gigante,robot gigante,robot géant,robot géant,Heldenroboter,eroe robot,히어로 로봇,15,15,15,14,07,05,20,1.4,B2,303A,00,00,0000,303A-0000,rmk_big_hero,No,robot hero,robot hero,robot hero,Red,-,レッド,-,Rojo,-,Rouge.,-,Rouge.,-,Rot,-,Rosso,-,레드,-
15,robot hero,Blue,-,robot hero (Blue),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Press,Press,777,Toy Shop,blue,blue,rock 'n' roll,the body color,-,800,ヒーローロボ,robot gigante,robot gigante,robot géant,robot géant,Heldenroboter,eroe robot,히어로 로봇,15,15,15,14,07,05,20,1.4,B2,303A,04,00,0400,303A-0400,rmk_big_hero,No,robot hero,robot hero,robot hero,Blue,-,ブルー,-,Azul,-,Bleu.,-,Bleu.,-,Blau,-,Blu,-,블루,-
15,robot hero,White,-,robot hero (White),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Press,Press,777,Toy Shop,white,white,rock 'n' roll,the body color,-,800,ヒーローロボ,robot gigante,robot gigante,robot géant,robot géant,Heldenroboter,eroe robot,히어로 로봇,15,15,15,14,07,05,20,1.4,B2,303A,08,00,0800,303A-0800,rmk_big_hero,No,robot hero,robot hero,robot hero,White,-,ホワイト,-,Blanco,-,Blanc.,-,Blanc.,-,Weiß,-,Bianco,-,화이트,-
15,robot hero,Black,-,robot hero (Black),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Press,Press,777,Toy Shop,black,black,rock 'n' roll,the body color,-,800,ヒーローロボ,robot gigante,robot gigante,robot géant,robot géant,Heldenroboter,eroe robot,히어로 로봇,15,15,15,14,07,05,20,1.4,B2,303A,0C,00,0C00,303A-0C00,rmk_big_hero,No,robot hero,robot hero,robot hero,Black,-,ブラック,-,Negro,-,Noir.,-,Noir.,-,Schwarz,-,Nero,-,블랙,-
16,submarine,Yellow,-,submarine (Yellow),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,-,777,Toy Shop,yellow,yellow,sporty,the body color,-,800,せんすいかん,submarino,submarino,sous-marin,sous-marin,U-Boot,sottomarino,잠수함,09,17,17,16,19,14,12,1.4,B2,303E,00,00,0000,303E-0000,rmk_big_submarine,No,-,submarine,-,Yellow,-,イエロー,-,Amarillo,-,Jaune.,-,Jaune.,-,Gelb,-,Giallo,-,옐로,-
16,submarine,Red,-,submarine (Red),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,-,777,Toy Shop,red,red,sporty,the body color,-,800,せんすいかん,submarino,submarino,sous-marin,sous-marin,U-Boot,sottomarino,잠수함,09,17,17,16,19,14,12,1.4,B2,303E,04,00,0400,303E-0400,rmk_big_submarine,No,-,submarine,-,Red,-,レッド,-,Rojo,-,Rouge.,-,Rouge.,-,Rot,-,Rosso,-,레드,-
16,submarine,Blue,-,submarine (Blue),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,-,777,Toy Shop,blue,blue,sporty,the body color,-,800,せんすいかん,submarino,submarino,sous-marin,sous-marin,U-Boot,sottomarino,잠수함,09,17,17,16,19,14,12,1.4,B2,303E,08,00,0800,303E-0800,rmk_big_submarine,No,-,submarine,-,Blue,-,ブルー,-,Azul,-,Bleu.,-,Bleu.,-,Blau,-,Blu,-,블루,-
16,submarine,Black,-,submarine (Black),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,-,777,Toy Shop,black,black,sporty,the body color,-,800,せんすいかん,submarino,submarino,sous-marin,sous-marin,U-Boot,sottomarino,잠수함,09,17,17,16,19,14,12,1.4,B2,303E,0C,00,0C00,303E-0C00,rmk_big_submarine,No,-,submarine,-,Black,-,ブラック,-,Negro,-,Noir.,-,Noir.,-,Schwarz,-,Nero,-,블랙,-
17,sun,-,-,sun,,HHD Save File,Yes,"6,000","1,500",3x3,-,Always,-,777,Rustic / Toy Shop,orange,orange,iconic,-,-,-,たいよう,Sol,Sol,soleil,soleil,Sonne,sole,태양,10,16,16,15,18,13,14,1.4,B2,3034,00,00,0000,3034-0000,int_big_sun,No,-,sun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,teacup ride,Colorful,-,teacup ride (Colorful),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Toggle,Toggle,777,Fairy Tale / Toy Shop,colorful,colorful,cute,the body color,-,800,まわるコーヒーカップ,tazas de té girantes,taza de café gigante,tasse de café géante,tasse de café géante,Drehkaffeetasse,tazza caffè gigante,빙글빙글 커피 잔,18,18,18,17,03,15,07,1.4,B2,3038,00,00,0000,3038-0000,rmk_big_cup,No,plaza teacup ride,teacup ride,teacup ride,Colorful,-,カラフル,-,Multicolor,-,Multicolore.,-,Multicolore.,-,Bunt,-,Multicolore,-,컬러풀,-
18,teacup ride,Red,-,teacup ride (Red),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Toggle,Toggle,777,Fairy Tale / Toy Shop,red,pink,cute,the body color,-,800,まわるコーヒーカップ,tazas de té girantes,taza de café gigante,tasse de café géante,tasse de café géante,Drehkaffeetasse,tazza caffè gigante,빙글빙글 커피 잔,18,18,18,17,03,15,07,1.4,B2,3038,04,00,0400,3038-0400,rmk_big_cup,No,plaza teacup ride,teacup ride,teacup ride,Red,-,レッド,-,Rojo,-,Rouge.,-,Rouge.,-,Rot,-,Rosso,-,레드,-
18,teacup ride,Blue,-,teacup ride (Blue),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Toggle,Toggle,777,Fairy Tale / Toy Shop,blue,aqua,cute,the body color,-,800,まわるコーヒーカップ,tazas de té girantes,taza de café gigante,tasse de café géante,tasse de café géante,Drehkaffeetasse,tazza caffè gigante,빙글빙글 커피 잔,18,18,18,17,03,15,07,1.4,B2,3038,08,00,0800,3038-0800,rmk_big_cup,No,plaza teacup ride,teacup ride,teacup ride,Blue,-,ブルー,-,Azul,-,Bleu.,-,Bleu.,-,Blau,-,Blu,-,블루,-
18,teacup ride,Monotone,-,teacup ride (Monotone),,HHD Save File,Yes,"8,000","2,000",3x3,Toggle,Toggle,Toggle,777,Fairy Tale / Toy Shop,white,black,cute,the body color,-,800,まわるコーヒーカップ,tazas de té girantes,taza de café gigante,tasse de café géante,tasse de café géante,Drehkaffeetasse,tazza caffè gigante,빙글빙글 커피 잔,18,18,18,17,03,15,07,1.4,B2,3038,0C,00,0C00,3038-0C00,rmk_big_cup,No,plaza teacup ride,teacup ride,teacup ride,Monotone,-,モノトーン,-,Blanco y negro,-,Monochrome.,-,Monochrome.,-,Schlicht,-,Bianco e nero,-,모노톤,-
19,tent,Orange,-,tent (Orange),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,orange,orange,sporty,the body color,-,800,テント,tienda de campaña,tienda,tente,tente,Zelt,tenda,텐트,11,19,19,18,20,16,15,1.4,B2,303C,00,00,0000,303C-0000,rmk_big_tent,No,-,tent,-,Orange,-,オレンジ,-,Naranja,-,Orange.,-,Orange.,-,Orange,-,Arancione,-,오렌지,-
19,tent,Blue,-,tent (Blue),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,blue,blue,sporty,the body color,-,800,テント,tienda de campaña,tienda,tente,tente,Zelt,tenda,텐트,11,19,19,18,20,16,15,1.4,B2,303C,04,00,0400,303C-0400,rmk_big_tent,No,-,tent,-,Blue,-,ブルー,-,Azul,-,Bleu.,-,Bleu.,-,Blau,-,Blu,-,블루,-
19,tent,Pink,-,tent (Pink),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,pink,pink,sporty,the body color,-,800,テント,tienda de campaña,tienda,tente,tente,Zelt,tenda,텐트,11,19,19,18,20,16,15,1.4,B2,303C,08,00,0800,303C-0800,rmk_big_tent,No,-,tent,-,Pink,-,ピンク,-,Rosa,-,Rose.,-,Rose.,-,Pink,-,Rosa,-,핑크,-
19,tent,Red stripes,-,tent (Red stripes),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,red,white,sporty,the body color,-,800,テント,tienda de campaña,tienda,tente,tente,Zelt,tenda,텐트,11,19,19,18,20,16,15,1.4,B2,303C,0C,00,0C00,303C-0C00,rmk_big_tent,No,-,tent,-,Red stripes,-,レッドストライプ,-,Rayas rojas,-,Rouge à rayures.,-,Rouge à rayures.,-,Rot gestreift,-,Strisce rosse,-,레드 스트라이프,-
19,tent,Colorful,-,tent (Colorful),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,colorful,colorful,sporty,the body color,-,800,テント,tienda de campaña,tienda,tente,tente,Zelt,tenda,텐트,11,19,19,18,20,16,15,1.4,B2,303C,10,00,1000,303C-1000,rmk_big_tent,No,-,tent,-,Colorful,-,カラフル,-,Multicolor,-,Bariolé.,-,Bariolé.,-,Bunt,-,Multicolore,-,컬러풀,-
20,UFO,-,-,UFO,,HHD Save File,Yes,"6,000","1,500",3x3,-,Always,Always,777,Sci-Fi / Toy Shop,gray,gray,flashy,-,-,-,UFO,ovni,ovni,OVNI,OVNI,Forschungs-Ufo,UFO,UFO,01,11,12,12,05,19,01,1.4,B2,3030,00,00,0000,3030-0000,int_big_ufo,No,flying saucer,UFO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
