Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Uses,Stack Size,Buy,Sell,HHA Base Points,HHA Concept 1,HHA Concept 2,Color 1,Color 2,Size,Set,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Villager Equippable,Food Power,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
elephant watering can,,Pink,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Pink,Pink,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_3_0,3_0,8535,mvF2W6yf4hcXLu3eM
elephant watering can,,Red,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Red,Red,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_4_0,4_0,8535,B6oWDPizvZRRBDbop
elephant watering can,,Yellow,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Yellow,Yellow,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_5_0,5_0,8535,AoZCaqfJYb6TSNctg
elephant watering can,,Light blue,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Aqua,Aqua,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_6_0,6_0,8535,cBG6avJmvncbTX56k
elephant watering can,,Black,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Black,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_7_0,7_0,8535,XphbdnArYGwJp8kmj
fiery cheer megaphone,,NA,NA,No,No,NA,None,NA,Unlimited,1,1500,375,201,fitness,None,Red,Black,1x1,None,NA,NA,Nook Shopping Seasonal,,Big Game Celebration,Yes,No,NA,No lighting,Seasonal,1.7.0,Yes,ToolMegaphone1,NA,14013,rxtP9gBPZoKuEbQQs
fish fishing rod,,Green,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Green,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_0_0,0_0,8471,dBNahAnSJkF5q7Wta
fish fishing rod,,Yellow,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Yellow,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_1_0,1_0,8471,ziRQL2REqF652sgkc
fish fishing rod,,Orange,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Orange,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_2_0,2_0,8471,7id3sXPC6a2qTsM9S
fish fishing rod,,Light blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Aqua,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_3_0,3_0,8471,txjiE4Yoi66P59Rpi
fish fishing rod,,Blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Blue,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_4_0,4_0,8471,mQQKH3hfMyn2P4SAT
fish fishing rod,,Purple,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Purple,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_5_0,5_0,8471,oPumzrhQMfYrdrhfC
fish fishing rod,,Pink,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Pink,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_6_0,6_0,8471,A44B9ELrDxsrY6HaR
fish fishing rod,,Red,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Red,Black,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodColorful_Remake_7_0,7_0,8471,k6AepGHtwTJhBzxXZ
fish wand,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,1500,501,None,None,Blue,Yellow,1x1,None,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickFish,NA,8770,HrGFzby54HCv326PJ
fishing rod,,Blue,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Blue,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_0_0,0_0,2377,Y62px4Jy5vaMtN46u
fishing rod,,Yellow,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Yellow,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_1_0,1_0,2377,JLMypnErvJc6n9wS8
fishing rod,,Green,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Green,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_2_0,2_0,2377,WTqWoAYMKuJsXjWWv
fishing rod,,Red,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Red,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_3_0,3_0,2377,SWX3JZeySqWz8PKQi
fishing rod,,Purple,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Purple,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_4_0,4_0,2377,PBLScat4po99B5h4k
fishing rod,,Pink,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Pink,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_5_0,5_0,2377,9bT9ZRhRG3e3WA8Bn
fishing rod,,White,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,White,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_6_0,6_0,2377,G58mfRs22f48nF9QA
fishing rod,,Black,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Black,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolAngling_Remake_7_0,7_0,2377,bgrXEg4NvgPjudWar
flimsy axe,,NA,NA,Yes,No,NA,None,NA,40,1,800,200,0,None,None,Beige,Gray,1x1,None,100,Nook Miles,Crafting; Nook's Cranny; Wilbur; Kapp'n,Available after unlocking the axe in the story,NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolAxeStone,NA,3068,L79jandXPjEAoQScd
flimsy fishing rod,,NA,NA,Yes,No,NA,None,NA,5-10,1,400,100,0,None,None,Beige,White,1x1,None,100,Nook Miles,Crafting; Nook's Cranny; Wilbur; Kapp'n,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodWood,NA,3084,qtA9zfSRuaCkmmQXr
flimsy net,,NA,NA,Yes,No,NA,None,NA,10,1,400,100,0,None,None,Beige,White,1x1,None,100,Nook Miles,Crafting; Nook's Cranny; Wilbur; Kapp'n,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNet,NA,2376,PHe3aaN2nsXFcQXxN
flimsy shovel,,NA,NA,Yes,No,NA,None,NA,40,1,800,200,0,None,None,Beige,Beige,1x1,None,100,Nook Miles,Crafting; Nook's Cranny; Wilbur; Kapp'n,Available after unlocking the shovel in the story,NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolShovelWood,NA,3082,PnLgMCQ34R3HxWqcT
flimsy watering can,,NA,NA,Yes,No,NA,None,NA,20,1,800,200,0,None,None,Beige,Gray,1x1,None,NA,NA,Crafting; Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringWood,NA,3083,BdRyC6atcvz3KJnnM
flower-petal basket,,NA,NA,No,No,NA,None,NA,Unlimited,1,1200,300,201,None,None,Brown,Pink,1x1,None,NA,NA,Nook Shopping Seasonal,,Wedding Season (Nook Shopping),Yes,No,NA,No lighting,Seasonal,1.10.0,Yes,ToolFlowershower,NA,14284,metLc5Y6NSKEzRGM6
football cheer megaphone,,NA,NA,No,No,NA,None,NA,Unlimited,1,1500,375,201,fitness,None,Orange,White,1x1,None,NA,NA,Nook Shopping Seasonal,,Big Game Celebration,Yes,No,NA,No lighting,Seasonal,1.7.0,Yes,ToolMegaphone0,NA,13913,jbrtgKzaXEnFXJSng
foxtail,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,60,103,None,None,Green,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,2.0.0,Yes,ToolFoxtailPlayer,NA,14645,4xTJQeqZ9Q5us2Csw
glittery cheer megaphone,,NA,NA,No,No,NA,None,NA,Unlimited,1,1500,375,201,fitness,None,Blue,Aqua,1x1,None,NA,NA,Nook Shopping Seasonal,,Big Game Celebration,Yes,No,NA,No lighting,Seasonal,1.7.0,Yes,ToolMegaphone3,NA,14015,gcTsMrJgt8QHcXidt
golden axe,,NA,NA,Yes,No,NA,None,NA,200,1,NFS,10655,0,None,None,Yellow,Orange,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolAxeGold,NA,9617,eX9RXzQHaaZX89zoN
golden ladder set-up kit,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,10720,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitD,NA,14470,F3MKfewdJAqBFaaLr
golden net,,NA,NA,Yes,No,NA,None,NA,90,1,NFS,10400,0,None,None,Yellow,Purple,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetGold,NA,8179,aKMTWuywGTuorriEg
golden rod,,NA,NA,Yes,No,NA,None,NA,90,1,NFS,10400,0,None,None,Yellow,Orange,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolFishingrodGold,NA,8660,Tt5YeqejtuW3T7Cbq
golden shovel,,NA,NA,Yes,No,NA,None,NA,200,1,NFS,10675,0,None,None,Yellow,Purple,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolScoopGold,NA,8574,EMzMphvPgdhguM4Ku
golden slingshot,,NA,NA,Yes,No,NA,None,NA,60,1,NFS,10300,0,None,None,Yellow,Orange,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolSlingshotGold,NA,8578,tx3MMcGrZPHeyoLeY
golden wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,20750,0,None,None,Yellow,Brown,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickGolden,NA,7591,fdDGHvQBc5AhtExnt
golden watering can,,NA,NA,Yes,No,NA,None,NA,180,1,NFS,10675,0,None,None,Yellow,Purple,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolWateringGold,NA,8533,bzEwTDjTeK4gKSsZa
grass-green folding fan,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,200,0,None,None,Green,White,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,NA,No lighting,Not for sale,2.0.0,Yes,ToolSensu3,NA,321,69kSyeax8CshTQas3
green balloon,,NA,NA,No,No,NA,None,NA,Unlimited,1,600,150,0,None,None,Green,Green,1x1,None,500,Bells,Redd's Raffle; Nook's Cranny,Available from Redd's Raffle during Fireworks Shows; Available from Nook's Cranny rotating cabinet stock outside of August,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),No,No,NA,No lighting,For sale,1.4.0,Yes,ToolBalloonNormal3,NA,13125,6xF5xbt7WxTdqMYaH
handheld lantern,,Stars,Variation,No,Yes,1,Normal,1000,Unlimited,1,1100,275,201,None,None,Black,Yellow,1x1,None,NA,NA,Nook Shopping Seasonal,,Lantern Festival,Yes,No,NA,Candle,Seasonal,1.11.0,Yes,ToolLantern_Remake_0_0,0_0,14414,JRc5QE43YQj97Nut9
handheld lantern,,Moons,Variation,No,Yes,1,Normal,1000,Unlimited,1,1100,275,201,None,None,Black,Yellow,1x1,None,NA,NA,Nook Shopping Seasonal,,Lantern Festival,Yes,No,NA,Candle,Seasonal,1.11.0,Yes,ToolLantern_Remake_1_0,1_0,14414,fqt573z5JFpZHaxJA
handheld lantern,,Stained glass,Variation,No,Yes,1,Normal,1000,Unlimited,1,1100,275,201,None,None,Colorful,Orange,1x1,None,NA,NA,Nook Shopping Seasonal,,Lantern Festival,Yes,No,NA,Candle,Seasonal,1.11.0,Yes,ToolLantern_Remake_2_0,2_0,14414,C6WCovahHE2WbnvtZ
handheld lantern,,Suns,Variation,No,Yes,1,Normal,1000,Unlimited,1,1100,275,201,None,None,Yellow,Orange,1x1,None,NA,NA,Nook Shopping Seasonal,,Lantern Festival,Yes,No,NA,Candle,Seasonal,1.11.0,Yes,ToolLantern_Remake_3_0,3_0,14414,9Z9aw5RNmStuhsqN3
handheld lantern,,Geese,Variation,No,Yes,1,Normal,1000,Unlimited,1,1100,275,201,None,None,Yellow,White,1x1,None,NA,NA,Nook Shopping Seasonal,,Lantern Festival,Yes,No,NA,Candle,Seasonal,1.11.0,Yes,ToolLantern_Remake_4_0,4_0,14414,zYPuWTZ6SNmPNSspa
handheld lantern,,Leaves,Variation,No,Yes,1,Normal,1000,Unlimited,1,1100,275,201,None,None,Yellow,Green,1x1,None,NA,NA,Nook Shopping Seasonal,,Lantern Festival,Yes,No,NA,Candle,Seasonal,1.11.0,Yes,ToolLantern_Remake_5_0,5_0,14414,EFnR68jRfzXG5ppas
hyacinth wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1660,0,None,None,Pink,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickHyacinth,NA,5083,aBPEFn5NehSoQ428E
ice wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,6500,0,None,None,Aqua,Blue,1x1,None,NA,NA,Crafting,,snowflakes,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickSnow,NA,7585,pQCDsY6gvHXL2SAff
iron ladder set-up kit,,Silver,Color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,5190,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitC0_Remake_0_0,0_0,13534,gm4eDayQQoRZqnv7R
iron ladder set-up kit,,Red,Color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,5190,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitC0_Remake_1_0,1_0,13534,qX3dAu6coTmw7eNdh
iron ladder set-up kit,,Brown,Color,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,5190,103,None,None,None,None,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not in catalog,2.0.0,Yes,LadderKitC0_Remake_2_0,2_0,13534,pcmR5JmFBFrw39NjH
iron wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,3750,0,None,None,Gray,Gray,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickIron,NA,7592,5JC2q7xYFFCBhX2mS
Kiki & Lala wand,,NA,NA,No,No,NA,None,NA,Unlimited,1,12240,3060,201,fancy,None,Yellow,White,1x1,None,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,No,NA,No lighting,Not in catalog,1.9.0,Yes,ToolStickKikilala0,NA,13173,xjBnFqY5WRJ7isLET
ladder,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1440,0,None,None,Brown,Brown,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolLadder,NA,2615,TxFCim9KyNE7edcXH
light stick,,NA,NA,No,No,NA,None,NA,Unlimited,1,1500,375,0,None,None,Yellow,White,1x1,None,NA,NA,Isabelle; Nook's Cranny,Obtained by speaking to Isabelle on New Year's Eve,Countdown,No,No,NA,No lighting,For sale,1.0.0,Yes,ToolSticklight,NA,5741,9HpdmfZcEfuXtR8ey
lily wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1580,0,None,None,White,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickYuri,NA,5094,rX7Dget4dZzprkSY4
magic bag,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,NA,351,None,None,None,None,1x1,None,NA,NA,Jingle,,Toy Day,Yes,No,NA,No lighting,Not in catalog,1.6.0,Yes,SantaSack,NA,13836,DANhu4XN2fNyNnCTz
maracas,,NA,NA,No,No,NA,None,NA,Unlimited,1,2000,500,51,party,None,Orange,Yellow,1x1,None,NA,NA,Nintendo; Nook Shopping Daily Selection,Mailed to players after the 1.7.0 update in a letter from Nintendo,NA,No,No,NA,No lighting,For sale,1.7.0,Yes,ToolMaracasCarnival,NA,13958,Gm8hxoCwEuTRvPZTq
matcha donut,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Green,Green,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolDonutPlayer3,NA,332,xMbjcMkJpjkj4s28J
matcha-vanilla soft serve,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Green,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcesoft2,NA,326,2nTb3YZQri3CsvRzX
melon cotton candy,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Green,Beige,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolCandyfloss2,NA,14743,BtJiWNjd29ewLT7Ye
melon-cheesecake cone,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Green,Yellow,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcecreamDouble1,NA,14852,AsGnTfhrNt33vuZN9
mums wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1580,0,None,None,Yellow,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickChrysanthemum,NA,5095,9sd3YGxf9jmuGBrGw
mushroom wand,,Ordinary mushroom,Mushroom type,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,3300,0,None,None,Brown,Beige,1x1,None,NA,NA,Crafting,,mushrooms,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickMushroom_Remake_0_0,0_0,7588,6PLR84qz4JifgtLmh
mushroom wand,,White mushroom,Mushroom type,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,3300,0,None,None,White,White,1x1,None,NA,NA,Crafting,,mushrooms,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickMushroom_Remake_1_0,1_0,7588,T898uqxxT6AXuXyBt
mushroom wand,,Strange mushroom,Mushroom type,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,3300,0,None,None,Purple,Purple,1x1,None,NA,NA,Crafting,,mushrooms,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickMushroom_Remake_2_0,2_0,7588,rcjxuvmyCPyTjbbwm
mushroom wand,,Red mushroom,Mushroom type,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,3300,0,None,None,Red,White,1x1,None,NA,NA,Crafting,,mushrooms,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickMushroom_Remake_3_0,3_0,7588,nN6uiNEshKx8sYwKE
mushroom wand,,Yellow mushroom,Mushroom type,Yes,Yes,1,Normal,1000,Unlimited,1,NFS,3300,0,None,None,Yellow,Yellow,1x1,None,NA,NA,Crafting,,mushrooms,Yes,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickMushroom_Remake_4_0,4_0,7588,Dtm7dJLAERgpCpGXv
net,,Red,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Red,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_0_0,0_0,5784,HH8tKPMbt8DQpSrMS
net,,Yellow,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Yellow,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_1_0,1_0,5784,YiRCkQXgKaLKf8D6p
net,,Green,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Green,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_2_0,2_0,5784,X3x4tGwZiYnM5SRZv
net,,Blue,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Blue,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_3_0,3_0,5784,WtArd6h6MFQ8sjwEt
net,,Purple,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Purple,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_4_0,4_0,5784,b8L8wbutCQEQjAzwD
net,,Pink,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Pink,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_5_0,5_0,5784,8Khqvy2vpnJkpKLET
net,,White,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,White,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_6_0,6_0,5784,yNCid2KGDGFSz2W7L
net,,Black,Color,Yes,Yes,1,Normal,1000,30,1,NFS,600,0,None,None,Black,Beige,1x1,None,NA,NA,Crafting,,NA,NA,Yes,NA,No lighting,Not for sale,1.0.0,Yes,ToolNetNormal_Remake_7_0,7_0,5784,pFaH2eF4JpK3roNtQ
nice branch,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,30,103,None,None,Brown,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,2.0.0,Yes,ToolBranchPlayer,NA,14644,da35nZC6werTpcAdp
Nook Inc. balloon,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,210,431,None,None,Green,White,1x1,None,30,Nook Points,NookLink,Mailed to players once ordered from NookLink within the Nintendo Switch Online app,NA,NA,No,NA,No lighting,Not for sale,2.0.0,Yes,ToolBalloonNook,NA,14540,A7k4d6CpAJr2kmkCb
Nook Inc. handheld pennant,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,2500,151,None,None,Orange,Yellow,1x1,None,500,Nook Miles,Nook Miles Redemption,,NA,NA,No,NA,No lighting,Not for sale,1.4.0,Yes,ToolPennantRcm,NA,13128,C5sMrB792zhZekeqW
Nook Inc. uchiwa fan,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,2000,151,None,None,Green,White,1x1,None,400,Nook Miles,Nook Miles Redemption,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolFanNook0,NA,9762,Qwfx3obKdwCDKr4WG
ocarina,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1000,0,None,None,Beige,Beige,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolOcarina,NA,5320,xN5tB3m4aXnm94RLL
orange frozen treat,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Orange,Beige,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolIcecandyPlayer0,NA,14633,Bxfse8ejEoGCfxqC7
orange-mint cone,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Orange,Green,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcecreamDouble2,NA,14853,cK694KbhDpsFd5YYs
outdoorsy fishing rod,,Avocado,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Green,Black,1x1,Outdoor Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodOutdoor_Remake_0_0,0_0,8473,bvYTHd7dbDC9ZijAd
outdoorsy fishing rod,,Orange,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Orange,Black,1x1,Outdoor Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodOutdoor_Remake_1_0,1_0,8473,bMdHGfZQu6846Somm
outdoorsy fishing rod,,Light blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Aqua,Black,1x1,Outdoor Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodOutdoor_Remake_2_0,2_0,8473,3Ne39o36LkhGc9rGk
