#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,DLC Exclusive,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Name (NH),Name (HHD),Name (PC)
087,orange pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,worker,-,-,orange,orange,sporty,Unisex,-,,No,-,オレンジさぎょうぎズボン,pantalón de trabajo,pantalón de trabajo,pantalon d'ouvrier,Arbeitshose,pantalone da lavoro,오렌지 작업복 바지,1.0,26CD,274C,btms_worker_org,,,orange pants
088,pastel-check skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,colorful,colorful,cute,Female,Plaid,,No,-,さわやかチェックスカート,falda cuadritos,falda cuadritos,jupe multicolore,Gute-Laune-Rock,gonna leggera,산뜻한 체크무늬 치마,1.0,26D7,2756,btms_check_fresh,,,-
089,patched-knee pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,black,red,iconic,Unisex,-,,No,-,ひざあてズボン,pantalón rodilleras,pantalón rodilleras,pantalon renforcé,Spielplatzhose,pantal. toppe rosse,덧댄 바지,1.0,26AA,2729,btms_knee,,,patched-knee pants
090,pep-squad skirt,,Skirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,white,white,sporty,Female,-,,No,-,チアリーダーなスカート,falda animadora,falda animadora,jupe soda,Cheerleader-Rock,gonna cheerleader,치어리더 치마,1.0,2693,2712,btms_cheer,,,pep-squad skirt
091,picnic skirt,,Skirt,Able Sisters,Fall,Yes,480,-,120,96,6,3,-,-,-,pink,purple,basic,Female,Plaid,,No,-,ベリーギンガムなスカート,falda vichy lila,falda vichy lila,jupe vichy sorbet,Rosa-Karo-Rock,gonna amarena,베리 깅엄 치마,1.0,26A3,2722,btms_gingham_berry,,,picnic skirt
092,pink argyle skirt,,Skirt,GracieGrace,-,No,"3,600",-,900,-,45,251,-,Fairy Tale,-,brown,pink,iconic,Female,Argyle,,No,-,ピンクアーガイルスカート,falda rombos rosa,falda pija rosa,jupe écossaise rose,Rosa-Argyle-Rock,gonna a rombi rosa,핑크색 아가일 치마,1.0,26E3,2762,btms_argyle_pnk,,,-
093,pink pj bottoms,,Pants,Able Sisters,-,Yes,240,-,60,48,3,3,-,-,-,pink,pink,basic,Female,V-Striped,,No,-,あかパジャマズボン,pantalón pijama rosa,pantalón pijama rosa,pantalon pyj. rose,Mädchen-Pyjamahose,pantal. pigiama rosa,빨간 파자마 바지,1.0,26E9,2768,btms_pajama_red,,,-
094,pink sweatpants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,-,Fairy Tale,-,pink,pink,sporty,Unisex,-,,No,-,ピンクのスウェットパンツ,pantalón cómodo rosa,pantalón cómodo rosa,pantalon rose,Aerobic-Hose,pantalone tuta rosa,핑크색 스웨트 팬츠,1.0,26C6,2745,btms_sweat_pnk,,,-
095,pleather pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,299,-,-,-,black,black,rock 'n' roll,Unisex,-,,No,-,レザーパンツ,pantalón polipiel,pantalón polipiel,pantalon en cuir,Kunstlederhose,pantalone ecopelle,가죽 바지,1.0,26B7,2736,btms_leather,,,pleather pants
096,racing pants,,Pants,Able Sisters,-,Yes,640,-,160,128,8,3,racer,Toy Shop,-,red,white,sporty,Male,-,,No,-,レーサーなズボン,pantalón carreras,pantalón carreras,pantalon pilote,Rennfahrerhose,pantalone da pilota,카레이서 바지,1.0,26BE,273D,btms_racer,,,-
097,rainbow plaid shorts,,Short,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,colorful,colorful,cute,Unisex,Plaid,,No,-,チェックのハーフパンツ,bermuda arcoíris,bermuda arcoíris,short arc-en-ciel,Regenbogenhose,paio bermuda allegri,체크무늬 반바지,1.0,26A5,2724,btms_half_colorful,,,rainbow plaid shorts
098,red boxing shorts,,Short,Able Sisters,-,Yes,400,-,100,80,5,3,-,-,-,gray,red,sporty,Unisex,-,,No,-,あかいボクサーパンツ,bermuda roja,bermuda roja,short de boxe rouge,Rotboxerhose,p. berm. boxe rossi,빨간 복서 팬츠,1.0,2692,2711,btms_boxing_red,,,-
099,red gym shorts,,Short,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,-,-,red,red,sporty,Unisex,-,,No,-,あかいたいそうズボン,bermuda sport roja,bermuda sport roja,short sport rouge,Fitnesshose,p. berm. sport rossi,빨간 체육복 바지,1.0,26AE,272D,btms_gym_red,,,-
100,red plaid skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,red,orange,cute,Female,Plaid,,No,-,あかいチェックスカート,falda cuadros rojiza,falda cuadros rojiza,jupe losanges orange,Bernsteinrock,gonna settembrina,빨간 체크무늬 치마,1.0,26D6,2755,btms_check_red,,,red plaid skirt
101,red polka skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,red,red,cute,Female,Dotted,,No,-,あかいドットスカート,falda topos roja,falda topos roja,jupe à pois rouge,Fliegenpilzrock,gonna rossa puntini,빨간 도트 치마,1.0,26DA,2759,btms_dot_red,,,-
102,red tartan pants,,Pants,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,-,-,red,orange,iconic,Unisex,Plaid,,No,-,あかいタータンパンツ,pantalón tartán rojo,pantalón tartán rojo,pantal. tartan rouge,Schottenkarohose,pantal. tartan rosso,빨간색 타탄 바지,1.0,26D9,2758,btms_tartan_red,,,red tartan pants
103,red warm-up pants,,Pants,Able Sisters,Winter,Yes,480,-,120,96,6,3,-,-,-,red,red,sporty,Unisex,-,,No,-,あかジャージズボン,pantalón sport rojo,pantalón sport rojo,pantal. survêt rouge,Trainingshose,pantalone tuta rossa,빨간 트레이닝 바지,1.0,26B4,2733,btms_jersey_red,,,-
104,red-grid skirt,,Skirt,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,-,-,brown,beige,basic,Female,Plaid,,No,-,あきいろこうしのスカート,falda reja roja,falda reja roja,jupe grille rouge,Käfigrock,gonna giallorossa,가을색 체크무늬 치마,1.0,26AB,272A,btms_grid_fall,,,-
105,red-stripe pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,red,white,flashy,Unisex,H-Striped,,No,-,あかいボーダーパンツ,pantalón rayas rojo,pantalón rayas rojo,pantalon rayé rouge,Rotringelhose,pantal. rosa e beige,빨간 줄무늬 바지,1.0,26D5,2754,btms_border_red,,,red-stripe pants
106,red-zap pants,,Pants,Able Sisters,-,Yes,800,-,200,160,10,3,red superhero,Sci-Fi / Toy Shop,-,white,red,sporty,Male,-,,No,-,ヒーローズボンR,superpantalón rojo,superpantalón rojo,pantalon héros rouge,Rotheldenhose,pantalone eroe rosso,히어로 바지 R,1.0,26B1,2730,btms_hero_red,,,-
107,relay shorts,,Short,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,purple,purple,sporty,Unisex,-,,No,-,りくじょうたんパン,bermuda maratón,bermuda maratón,short marathon,Radlerhose,p. bermuda maratona,육상 선수 반바지,1.0,26EC,276B,btms_ekiden,,,-
108,royal shorts,,Short,Able Sisters,-,Yes,"1,200",-,300,240,15,3,king,Antique,-,red,yellow,ornate,Male,-,,No,-,おうさまパンツ,bermuda real,bermuda real,short royal,Königshose,paio bermuda reali,임금님 바지,1.0,26EE,276D,btms_royal,,,-
109,running pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,black,white,sporty,Unisex,-,,No,-,ランニングスパッツ,pantalón jogging,pantalón jogging,pantalon footing,Sprinterhose,pantalone da jogging,러닝 스판 팬츠,1.0,26D0,274F,btms_spats,,,-
110,sailor skirt,,Skirt,Able Sisters,-,Yes,600,-,150,120,7,3,-,-,-,blue,blue,official,Female,-,,No,-,セーラーふくのスカート,falda marinera,falda marinera,jupe matelot,Marinerock,gonna marinara,세일러복 치마,1.0,26C0,273F,btms_sailor,,,sailor skirt
111,samurai pants,,Pants,Able Sisters,-,Yes,800,-,200,160,10,3,samurai,Harmonious / Antique / Quirky,-,black,blue,historical,Male,-,,No,-,かっちゅうのすねあて,pantalón samurái,pantalón samurái,pantalon samouraï,Samuraihose,pantalone samurai,일본 무사 정강이 보호대,1.0,26C1,2740,btms_samurai,,,-
112,Santa pants,,Pants,Able Sisters,Winter,Yes,800,-,200,160,10,33,-,Toy Shop,Dec 1-31,red,white,cute,Unisex,-,,No,-,サンタのズボン,pantalón festivo,pantalón festivo,pantalon père Noël,Weihnachtsmannhose,pantal. Babbo Natale,산타 바지,1.0,267F,26FE,btms_xmas,,,Santa pants
113,scale-armor pants,,Pants,Able Sisters,-,Yes,"1,000",-,250,200,12,3,viking,Antique / Quirky,-,blue,aqua,historical,Male,-,,No,-,うろこよろいズボン,greba cota de malla,greba cota de malla,pantalon d'écailles,Schuppenpanzerhose,pant. cotta di magl.,미늘갑옷 바지,1.0,26EF,276E,btms_scale,,,-
114,Sheik pants,,Pants,Epona's RV,-,No,"1,200",-,300,-,15,300,-,Toy Shop,-,blue,black,iconic,Unisex,-,,No,-,シークのズボン,pantalón de Sheik,pantalón de Sheik,pantalon Sheik,Shiek-Hose,pantalone Sheik,시크 바지,1.4,-,2776,btms_nin_sheik,,,-
115,soccer shorts,,Short,Able Sisters,-,Yes,600,-,150,120,7,3,-,-,-,blue,blue,sporty,Male,-,,No,-,ラテンユニフォームズボン,pantalón fútbol,pantalón fútbol,short Brésil,WM-Hose,paio bermuda calcio,라틴풍 유니폼 바지,1.0,26CC,274B,btms_unfm_latin,,,-
116,space pants,,Pants,Able Sisters,-,Yes,800,-,200,160,10,3,astronaut,Toy Shop,-,white,white,sporty,Male,-,,No,-,うちゅうふくのズボン,pantalón espacial,pantalón espacial,pantalon spatial,Astronautenhose,pantalone spaziale,우주복 바지,1.0,26C3,2742,btms_space,,,-
117,tan dogtooth pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,brown,brown,iconic,Unisex,Plaid,,No,-,セピアちどりごうしズボン,pantalón sabueso,pantalón sabueso,pantalon p. coq brun,Schokohose,pantalone zampetta,갈색 바람개비무늬 바지,1.0,267D,26FC,btms_hound_sepia,,,-
118,tiger pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,yellow,black,rock 'n' roll,Unisex,Animal,,No,-,とらじまのズボン,pantalón tigre,pantalón tigre,pantalon tigre,Tigerhose,pantalone tigre,호랑이무늬 바지,1.0,2687,2706,btms_anml_tiger,,,-
119,two-tone pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,beige,red,flashy,Unisex,-,,No,-,ツートンなズボン,pantalón bicolor,pantalón bicolor,pantalon bicolore,Zweifarbhose,pantalone bicolore,투톤 바지,1.0,26C9,2748,btms_two_tone,,,-
120,Varia Suit pants,,Pants,Fortune,-,No,-,-,210,-,10,151,bounty hunter,Sci-Fi / Toy Shop,-,orange,orange,rock 'n' roll,Unisex,-,,No,-,バリアスーツ・レッグ,pantalón climático,pantalón climático,pantalon Varia,Varia-Hose,pantalone termotuta,배리어 슈트 바지,1.0,26BA,2739,btms_nin_samus,,,-
121,western pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,cowboy,-,-,brown,brown,iconic,Male,-,,No,-,カウボーイパンツ,pantalón de vaquero,pantalón de vaquero,pantalon western,Western-Hose,pantalone cowboy,카우보이 바지,1.0,269B,271A,btms_cowboy,,,western pants
122,white formal pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,299,-,-,-,white,white,official,Unisex,-,,No,-,しろいフォーマルパンツ,pantalón lino blanco,pantalón lino blanco,pantalon chic blanc,Yachthose,pant. formale bianco,하얀 정장 바지,1.0,26D4,2753,btms_formal_wht,,,white formal pants
123,white-lace skirt,,Skirt,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,white,white,cute,Female,-,,No,-,しろいレーススカート,falda encaje,falda encaje,jupe dentelle,Spitzenrock,gonna merlettata,하얀 레이스 치마,1.0,26BF,273E,btms_lace_wht,,,-
124,worn-out jeans,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,299,-,-,-,blue,blue,rock 'n' roll,Unisex,-,,No,-,あなあきデニム,pantalón agujereado,pantalón agujereado,pantalon jean usé,Fetzenjeanshose,paio jeans strappati,찢어진 데님 바지,1.0,26E0,275F,btms_denim_hole,,,worn-out jeans
125,wrestler pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,pro wrestler,-,-,aqua,red,sporty,Male,-,,No,-,プロレスパンツ,pantalón luchador,pantalón luchador,pantalon catch,Wrestlinghose,pantalone wrestling,프로 레슬링 바지,1.0,26CE,274D,btms_wrestler,,,wrestler pants
126,zebra pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,white,black,rock 'n' roll,Unisex,Animal,,No,-,ゼブラなズボン,pantalón cebra,pantalón cebra,pantalon zèbre,Zebrahose,pantalone zebra,얼룩말무늬 바지,1.0,2688,2707,btms_anml_zebra,,,-
-,patched pants,,Pants,Villagers,-,No,-,-,-400,-,-,51,-,-,-,beige,gray,historical,Unisex,-,,No,-,ボロのズボン,pantalón remiendos,pantalón remiendos,pantalon rapiécé,Flickenhose,pantalone rattoppato,낡은 바지,1.0,267E,26FD,btms_patched,,,-
