#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
073,brown-bar shirt,,Shirt,GracieGrace,-,No,"5,000",-,"1,250",-,62,251,-,-,-,brown,green,modern,Unisex,V-Striped,,-,-,ヒルのふくL,jersey chocolate,jersey chocolate,pull rayures brun,pull rayures brun,Lieblingspulli,maglia a barre ocra,달래 옷 L,1.0,25C1,260E,3647,tops_stripe_hiru,Yes,,,-,,,-
074,brown-bar tee,,T-Shirt,GracieGrace,-,No,"5,000",-,"1,250",-,62,251,-,-,-,brown,green,modern,Male,V-Striped,,-,-,ヒルのふく,camiseta chocolate,camiseta chocolate,t-shirt rayures brun,t-shirt rayures brun,Lieblingsshirt,maglietta barre ocra,달래 옷,1.0,24A3,24F0,3529,tops_stripe_hiru,Yes,,,-,,,brown-bar tee
075,bubble tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,blue,aqua,cute,Unisex,Dotted,,-,-,バブルなふくN,top burbujas,top burbujas,débardeur bulles,débardeur bulles,Wassertop,canotta bollicine,물거품 옷 N,1.0,25F1,263E,3677,tops_bubble,Yes,,,-,,,-
076,bubble tee,,T-Shirt,Able Sisters,Summer,Yes,410,-,102,81,5,3,-,-,-,blue,aqua,cute,Unisex,Dotted,,-,-,バブルなふく,camiseta burbujas,camiseta burbujas,t-shirt bulles,t-shirt bulles,Wassershirt,maglietta bollicine,물거품 옷,1.0,24D5,2522,355B,tops_bubble,Yes,,,-,,,bubble tee
077,bubble-gum shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,-,-,white,pink,cute,Unisex,Dotted,,-,-,いちごマーブルなふくL,jersey topos rosa,jersey topos rosa,pull à pois roses,pull à pois roses,Pünktchenpulli,maglia pois rosa,딸기 마블 옷 L,1.0,25C4,2611,364A,tops_polka_stb,Yes,,,-,,,bubble-gum shirt
078,bubble-gum tee,,T-Shirt,Able Sisters,Spring,Yes,380,-,95,76,4,3,-,-,-,white,pink,cute,Unisex,Dotted,,-,-,いちごマーブルなふく,camiseta topos rosa,camiseta topos rosa,t-shirt à pois roses,t-shirt à pois roses,Pünktchenshirt,maglietta pois rosa,딸기 마블 옷,1.0,249C,24E9,3522,tops_polka_stb,Yes,,,-,,,bubble-gum tee
079,bunny shirt,,Shirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,aqua,white,cute,Unisex,Animal,,-,-,うさぎのふくL,jersey conejito,jersey conejito,pull lapin,pull lapin,Hasenpulli,maglia coniglio,토끼 옷 L,1.0,245E,24AB,34E4,tops_anml_bunny,No,,,bunny shirt,,,-
080,bunny tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,aqua,white,cute,Unisex,Animal,,-,-,うさぎのふく,camiseta conejito,camiseta conejito,t-shirt lapin,t-shirt lapin,Hasenshirt,maglietta coniglio,토끼 옷,1.0,245D,24AA,34E3,tops_anml_bunny,Yes,,,-,,,bunny tee
081,café tee,,T-Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,Toy Shop,-,red,white,rock 'n' roll,Unisex,Plaid,,-,-,あかチェッカーのふく,camiseta carreras,camiseta carreras,t-shirt café,t-shirt café,Caféshirt,maglietta quadretti,빨간 체스판무늬 옷,1.0,247F,24CC,3505,tops_checker_red,Yes,,,-,,,café tee
082,café uniform,,T-Shirt,Brewster,-,No,-,-,90,72,4,451,-,Trendy,-,black,black,official,Unisex,-,,-,-,カフェのせいふく,uniforme de camarero,uniforme de camarero,tenue de barista,tenue de barista,Kellnerweste,gilet da barista,카페 유니폼,1.0,2592,25DF,3618,tops_waiter,Yes,,,-,,,café uniform
083,Callie fashion top,,Tank Top,Cece's RV,-,No,-,-,200,-,10,300,-,-,-,black,pink,rock 'n' roll,Female,-,,-,-,アオリのトップス,top de Mar,top de Mar,haut paillettes Ayo,haut paillettes Ayo,Aioli-Style-Top,canotta Stella,아오리 탑,1.4,-,267A,36B3,tops_spl_aorisht,Yes,,,-,,,-
084,Callie shirt,,T-Shirt,Cece's RV,-,No,-,-,200,-,10,300,-,-,-,black,pink,rock 'n' roll,Female,-,,-,-,アオリなシャツ,blusa de Mar,blusa de Mar,chemisier Ayo,chemisier Ayo,Aioli-Pulli,maglietta Stella,아오리 셔츠,1.4,-,2678,36B1,tops_spl_aori,Yes,,,-,,,-
085,camel shirt,,Shirt,Able Sisters,-,Yes,280,-,70,56,3,3,-,-,-,brown,brown,historical,Unisex,-,,-,-,らくだいろのふく,jersey safari,jersey safari,pull chameau,pull chameau,Kameljacke,giacca contadina,낙타색 옷,1.0,251A,2567,35A0,tops_camel,No,,,camel shirt,,,camel shirt
086,canary shirt,,Shirt,Able Sisters,Spring,Yes,480,-,120,96,6,3,-,Fairy Tale,-,yellow,yellow,official,Female,Manufactured,,-,-,リボンのブラウス,blusa con lacito,blusa con lacito,pull canari,pull canari,Schleifentop,camicia giallo tenue,리본 블라우스,1.0,2590,25DD,3616,tops_blouse_ribbon,Yes,,,-,,,canary shirt
087,candy gingham shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,-,-,pink,white,cute,Unisex,Plaid,,-,-,いちごギンガムのふくL,jersey vichy rosa,jersey vichy rosa,pull vichy rose,pull vichy rose,Picknickpulli,maglia lampone,딸기 깅엄 옷 L,1.0,25CD,261A,3653,tops_gingham_stb,Yes,,,-,,,candy gingham shirt
088,candy gingham tee,,T-Shirt,Able Sisters,Spring,Yes,320,-,80,64,4,3,-,-,-,pink,white,cute,Unisex,Plaid,,-,-,いちごギンガムのふく,camiseta vichy rosa,camiseta vichy rosa,t-shirt vichy rose,t-shirt vichy rose,Picknickshirt,maglietta lampone,딸기 깅엄 옷,1.0,24AF,24FC,3535,tops_gingham_stb,Yes,,,-,,,-
089,captain's jacket,,Shirt,Able Sisters,-,Yes,800,-,200,160,10,3,pilot,Sci-Fi,-,blue,blue,official,Male,Manufactured,,-,-,きちょうのふく,chaqueta de capitán,chaqueta de capitán,tenue de capitaine,tenue de capitaine,Pilotenjacke,giacca capitano,기장 옷,1.0,2548,2595,35CE,tops_captain,Yes,,,-,,,-
090,caterpillar tank,,Tank Top,GracieGrace,Spring,No,"6,800",-,"1,700",-,85,251,-,Toy Shop,-,green,yellow,flashy,Male,Nature,,-,-,あおむしのふく,top oruga,top oruga,débardeur bombyx,débardeur bombyx,Raupentop,canotta bruco,애벌레 옷,1.0,24F8,2545,357E,tops_insc_caterpillar,Yes,,,-,,,-
091,cavalier shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,cavalier,Antique,-,blue,yellow,iconic,Male,Nature,,-,-,じゅうきしのふく,jersey mosquetero,jersey mosquetero,pull équitation,pull équitation,Edelmann-Hemd,giubba moschettiere,기사 옷,1.0,2521,256E,35A7,tops_knight,Yes,,,-,,,cavalier shirt
092,caveman tank,,Tank Top,Able Sisters,Summer,Yes,380,-,95,76,4,3,-,-,-,brown,yellow,historical,Unisex,Nature,,-,-,げんしじんなふく,top cavernícola,top cavernícola,débardeur caverne,débardeur caverne,Steinzeittop,canotta sapiens,원시인 옷,1.0,2536,2583,35BC,tops_caveman,Yes,,,-,,,-
093,chain-gang shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,white,blue,rock 'n' roll,Unisex,H-Striped,,-,-,プリズンなふくL,jersey grumete,jersey grumete,pull bagnard,pull bagnard,Gefängnispulli,maglia carcerato,죄수복 L,1.0,25B5,2602,363B,tops_border_prison,No,,,chain-gang shirt,,,-
094,chain-gang tee,,T-Shirt,Able Sisters,-,Yes,260,-,65,52,3,3,-,-,-,white,blue,rock 'n' roll,Unisex,H-Striped,,-,-,プリズンなふく,camiseta grumete,camiseta grumete,t-shirt bagnard,t-shirt bagnard,Gefängnisshirt,maglietta carcerato,죄수복,1.0,248E,24DB,3514,tops_border_prison,Yes,,,-,,,-
095,checkerboard shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,red,black,rock 'n' roll,Male,Plaid,,-,-,ギャンブラーなふくL,jersey rojinegro,jersey rojinegro,pull rouge & noir,pull rouge & noir,Spielpulli,maglia a scacchi,갬블러 옷 L,1.0,25BE,260B,3644,tops_gambler,Yes,,,-,,,-
096,checkerboard tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,Toy Shop,-,red,black,rock 'n' roll,Male,Plaid,,-,-,ギャンブラーなふく,camiseta rojinegra,camiseta rojinegra,t-shirt rouge & noir,t-shirt rouge & noir,Spielshirt,maglietta a scacchi,갬블러 옷,1.0,2498,24E5,351E,tops_gambler,No,,,checkerboard tee,,,checkerboard tee
097,checkered tee,,T-Shirt,Able Sisters,-,Yes,390,-,97,77,4,3,-,Toy Shop,-,black,white,rock 'n' roll,Unisex,Plaid,,-,-,チェッカーのふく,camiseta ajedrez,camiseta ajedrez,t-shirt damier,t-shirt damier,Schachshirt,maglietta start,체스판무늬 옷,1.0,2480,24CD,3506,tops_checker_blk,Yes,,,-,,,checkered tee
098,chef's outfit,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,chef,-,-,white,red,official,Unisex,-,,-,-,コックさんのふく,uniforme de chef,uniforme de chef,tenue de chef,tenue de chef,Kochshirt,maglietta da cuoco,요리사 옷,1.0,253B,2588,35C1,tops_chef,No,,,chef's outfit,,,chef's outfit
099,cherry tee,,T-Shirt,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,Rustic,-,yellow,pink,cute,Unisex,Fruit,,-,-,さくらんぼのふく,camiseta cereza,camiseta cereza,t-shirt cerises,t-shirt cerises,Kirschenshirt,maglietta ciliegia,체리 옷,1.0,2454,24A1,34DA,tops_cherry,Yes,,,-,,,cherry tee
100,chevron shirt,,Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,beige,green,basic,Unisex,Nature,,-,-,みどりのニット,jersey étnico,jersey étnico,pull chevrons,pull chevrons,Musterpulli,maglione geometrico,녹색 니트,1.0,24BF,250C,3545,tops_knit_grn,No,,,chevron shirt,,,chevron shirt
101,chichi-print tee,,T-Shirt,Able Sisters,-,Yes,180,-,45,36,2,3,-,Harmonious,-,green,white,historical,Unisex,Nature,,-,-,からくさもようのふく,camiseta medusa,camiseta medusa,t-shirt fractal,t-shirt fractal,Rankenshirt,maglietta vistosa,덩굴무늬 옷,1.0,24D6,2523,355C,tops_ptn_karakusa,Yes,,,-,,,-
102,chick tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,gray,blue,cute,Female,Nature,,-,-,ひよこのふく,camiseta pollitos,camiseta pollitos,t-shirt poussins,t-shirt poussins,Kükenshirt,maglietta pulcini,병아리 옷,1.0,254C,2599,35D2,tops_jpn_hiyoko,Yes,,,-,,,-
103,chocomint tee,,T-Shirt,Able Sisters,Winter,Yes,340,-,85,68,4,3,-,Fairy Tale,-,aqua,brown,cute,Unisex,Dotted,,-,-,チョコミントなふく,camiseta chocomenta,camiseta chocomenta,t-shirt choco-menthe,t-shirt choco-menthe,Minzshirt,maglietta chocomenta,초콜릿 민트 옷,1.0,24CD,251A,3553,tops_chocomint,Yes,,,-,,,chocomint tee
104,Cinnamoroll jacket,,Shirt,Chai's RV,-,No,-,-,200,-,10,300,-,-,-,aqua,aqua,cute,Unisex,-,,-,-,シナモロールなジャケット,chaqueta Cinnamoroll,chaqueta Cinnamoroll,gilet Cinnamoroll,gilet Cinnamoroll,Cinnamoroll-Jacke,giacca Cinnamoroll,시나모롤 재킷,1.4,-,266F,36A8,tops_snr_cinnamojkt,Yes,,,-,,,-
105,Cinnamoroll outfit,,T-Shirt,Chai's RV,-,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,aqua,white,cute,Unisex,-,,-,-,シナモロールなふく,blusa Cinnamoroll,blusa Cinnamoroll,tenue Cinnamoroll,tenue Cinnamoroll,Cinnamoroll-Outfit,magliet. Cinnamoroll,시나모롤 옷,1.4,-,2675,36AE,tops_snr_cinnamo,Yes,,,-,,,Cinnamoroll outfit
106,circuit tank,,Tank Top,GracieGrace,-,No,"5,120",-,"1,280",-,64,251,-,Sci-Fi,-,green,yellow,rock 'n' roll,Unisex,Nature,,-,-,きばんのふく,top microchip,top microchip,débardeur circuit,débardeur circuit,Platinentop,canotta circuito,기판무늬 옷,1.0,24EF,253C,3575,tops_circuit,Yes,,,-,,,-
107,citrus tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,tangerine,Rustic,-,orange,beige,cute,Unisex,Fruit,,-,-,なつみかんのふくN,top cítrico,top cítrico,débardeur agrume,débardeur agrume,Mandarinentop,canotta agrumi,귤 옷 N,1.0,25FB,2648,3681,tops_frt_citrus,Yes,,,-,,,citrus tank
108,citrus tee,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,tangerine,Rustic,-,orange,beige,cute,Unisex,Fruit,,-,-,なつみかんのふく,camiseta cítrica,camiseta cítrica,t-shirt agrume,t-shirt agrume,Mandarinenshirt,maglietta agrumi,귤 옷,1.0,24FA,2547,3580,tops_frt_citrus,Yes,,,-,,,citrus tee
109,clerk's shirt,,Shirt,Timmy and Tommy's RV,-,Yes,420,-,105,84,5,300,-,-,-,white,colorful,official,Unisex,Nature,,-,-,コンビニのせいふく,jersey dependiente,jersey dependiente,pull de vendeur,pull de vendeur,Verkäuferhemd,maglia commesso,편의점 유니폼,1.0,2577,25C4,35FD,tops_convenience,Yes,,,-,,,-
110,cloudy tee,,T-Shirt,Able Sisters,Spring,Yes,320,-,80,64,4,3,-,-,-,aqua,white,basic,Unisex,Nature,,-,-,そらのふく,camiseta nubes,camiseta nubes,t-shirt nuages,t-shirt nuages,Wolkenshirt,maglietta nuvolosa,하늘 옷,1.0,2470,24BD,34F6,tops_cloudy,Yes,,,-,,,cloudy tee
111,club tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Toy Shop,-,yellow,green,basic,Unisex,Manufactured,,-,-,クラブのふく,camiseta trébol,camiseta trébol,t-shirt trèfle,t-shirt trèfle,Shirt „Kreuz“,maglietta di fiori,클로버 옷,1.0,2462,24AF,34E8,tops_mark_club,Yes,,,-,,,club tee
112,comedian's outfit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,orange,orange,ornate,Unisex,-,,-,-,コメディアンなふく,saco humorista,chaqueta humorista,tenue d'humoriste,tenue de comique,Komikerjacke,giacca da umorista,코미디언 옷,1.4,-,2661,369A,tops_comedian,Yes,,,-,,,-
113,comfy sweater,,Shirt,Able Sisters,Winter,Yes,360,-,90,72,4,3,-,-,-,brown,orange,basic,Unisex,Nature,,-,-,こげちゃのニット,jersey andino,jersey andino,pull confortable,pull confortable,Wollpulli,maglione fantasia,갈색 니트,1.0,24C6,2513,354C,tops_knit_darkbrw,No,,,comfy sweater,,,comfy sweater
114,concierge shirt,,Shirt,Able Sisters,-,Yes,350,-,87,69,4,3,-,-,-,black,white,official,Male,-,,-,-,ホテルマンなふく,chaqueta conserje,chaqueta conserje,pull hôtel,pull hôtel,Portierjacke,giacca portiere,호텔리어 옷,1.0,251B,2568,35A1,tops_concierge,No,,,concierge shirt,,,-
115,cool tank,,Tank Top,GracieGrace,Summer,No,"5,200",-,"1,300",-,65,251,-,Trendy,-,colorful,white,modern,Unisex,Nature,,-,-,ヌーボーなふく,top guay,top guay,débardeur sympa,débardeur sympa,Flammentop,canot. art nouveau,언밸런스 옷,1.0,25ED,263A,3673,tops_retro_nouveau,Yes,,,-,,,cool tank
116,coral tank,,Tank Top,GracieGrace,Summer,No,"5,600",-,"1,400",-,70,251,-,-,-,blue,yellow,ornate,Unisex,Nature,,-,-,マーブルもようのふくN,top coral,top coral,débardeur corail,débardeur corail,Korallentop,canotta corallo,마블무늬 옷 N,1.0,25F4,2641,367A,tops_ptn_marble,Yes,,,-,,,-
117,coral tee,,T-Shirt,GracieGrace,-,No,"6,200",-,"1,550",-,77,251,-,-,-,blue,yellow,ornate,Unisex,Nature,,-,-,マーブルもようのふく,camiseta coral,camiseta coral,t-shirt corail,t-shirt corail,Korallenshirt,maglietta corallo,마블무늬 옷,1.0,24D7,2524,355D,tops_ptn_marble,Yes,,,-,,,-
118,corseted shirt,,Shirt,Able Sisters,-,Yes,400,-,100,80,5,3,-,Fairy Tale / Quirky,-,black,purple,ornate,Female,-,,-,-,ゴシックなふく,jersey gótico,jersey gótico,pull corset,pull corset,Korsettbluse,maglia gotica,고딕풍 옷,1.0,250C,2559,3592,tops_gothic,Yes,,,-,,,corseted shirt
119,cow tank,,Tank Top,GracieGrace,Summer,No,"5,800",-,"1,450",-,72,251,-,-,-,white,black,flashy,Unisex,Animal,,-,-,ホルスタインなふくN,top vaca,top vaca,débardeur vache,débardeur vache,Kuhtop,canotta mucca,젖소무늬 옷 N,1.0,2609,2656,368F,tops_anml_cow,Yes,,,-,,,-
120,cow tee,,T-Shirt,GracieGrace,-,No,"6,400",-,"1,600",-,80,251,-,-,-,white,black,flashy,Female,Animal,,-,-,ホルスタインなふく,camiseta vaca,camiseta vaca,t-shirt vache,t-shirt vache,Kuhshirt,maglietta mucca,젖소무늬 옷,1.0,24F3,2540,3579,tops_anml_cow,Yes,,,-,,,-
121,crewel tee,,T-Shirt,Able Sisters,Winter,Yes,380,-,95,76,4,3,-,-,-,green,gray,modern,Unisex,Nature,,-,-,エンボスなふく,camiseta estambre,camiseta estambre,t-shirt canevas,t-shirt canevas,Stickshirt,maglietta a rilievo,값비싼 옷,1.0,250A,2557,3590,tops_emboss,Yes,,,-,,,crewel tee
122,crossing shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Trendy,-,green,brown,flashy,Unisex,Nature,,-,-,シンメトリーなふく,jersey cruce,jersey cruce,pull croisé,pull croisé,Kreuzpulli,maglia croce,데칼코마니 옷,1.0,24E6,2533,356C,tops_symmetry,No,,,crossing shirt,,,-
123,cyan argyle shirt,,Shirt,GracieGrace,-,No,"6,200",-,"1,550",-,77,251,-,-,-,aqua,gray,cute,Male,Argyle,,-,-,シアンアーガイルのふくL,jersey rombos cian,jersey pijo cian,pull écossais cyan,pull écossais cyan,Türkis-Argyle-Pulli,maglia rombi celesti,하늘색 아가일 옷 L,1.0,24BD,250A,3543,tops_argyle_cya,Yes,,,-,,,-
124,cyan argyle tank,,Tank Top,GracieGrace,Summer,No,"5,400",-,"1,350",-,67,251,-,-,-,aqua,gray,basic,Unisex,Argyle,,-,-,シアンアーガイルのふくN,top rombos cian,top pijo cian,débardeur écos. cyan,débardeur écos. cyan,Türkis-Argyle-Top,canotta rombi cel.,하늘색 아가일 옷 N,1.0,260B,2658,3691,tops_argyle_cya,Yes,,,-,,,-
125,cyan argyle tee,,T-Shirt,GracieGrace,Spring,No,"5,800",-,"1,450",-,72,251,-,-,-,aqua,gray,cute,Male,Argyle,,-,-,シアンアーガイルのふく,camiseta rombos cian,camiseta pija cian,t-shirt écos. cyan,t-shirt écos. cyan,Türkis-Argyle-Shirt,maglietta rombi cel.,하늘색 아가일 옷,1.0,24BE,250B,3544,tops_argyle_cya,Yes,,,-,,,-
126,cycling shirt,,Shirt,Able Sisters,Fall,Yes,640,-,160,128,8,3,cyclist,-,-,blue,black,sporty,Male,-,,-,-,サイクルジャージ,jersey ciclista,jersey ciclista,pull cycliste,pull cycliste,Radlerjacke,maglia ciclista,자전거 경주복,1.0,2539,2586,35BF,tops_cycling,Yes,,,-,,,cycling shirt
127,cycling tee,,T-Shirt,Able Sisters,Summer,Yes,640,-,160,128,8,3,cyclist,-,-,blue,black,sporty,Male,-,,-,-,はんそでサイクルジャージ,camiseta ciclista,camiseta ciclista,t-shirt cycliste,t-shirt cycliste,Radlershirt,maglietta ciclista,반팔 자전거 경주복,1.0,253A,2587,35C0,tops_cycling,Yes,,,-,,,-
128,daisy tee,,T-Shirt,Able Sisters,Spring,Yes,380,-,95,76,4,3,-,-,-,pink,white,cute,Female,Manufactured,,-,-,フラワーなふく,camiseta margarita,camiseta margarita,t-shirt marguerite,t-shirt marguerite,Blümchenshirt,maglietta margherita,플라워 옷,1.0,2452,249F,34D8,tops_flower,Yes,,,-,,,daisy tee
129,danger tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,Sci-Fi / Quirky,-,orange,black,flashy,Unisex,V-Striped,,-,-,デンジャラスなふく,camiseta peligro,camiseta peligro,t-shirt danger,t-shirt danger,Linienshirt,maglietta ape,위험한 옷,1.0,24DA,2527,3560,tops_stripe_danger,Yes,,,-,,,danger tee
130,dapper shirt,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,yellow,green,basic,Unisex,Plaid,,-,-,きいろツイードのふくL,jersey paseo oro,jersey paseo oro,pull pimpant,pull pimpant,Alpaka-Pulli,maglia festosa,노란색 트웨이드 옷 L,1.0,25D3,2620,3659,tops_tweed_ylw,No,,,dapper shirt,,,dapper shirt
131,dapper tee,,T-Shirt,Able Sisters,Winter,Yes,350,-,87,69,4,3,-,-,-,yellow,green,basic,Unisex,Plaid,,-,-,きいろツイードのふく,camiseta paseo oro,camiseta paseo oro,t-shirt pimpant,t-shirt pimpant,Alpaka-Shirt,maglietta festosa,노란색 트웨이드 옷,1.0,2493,24E0,3519,tops_tweed_ylw,Yes,,,-,,,dapper tee
132,dark polka shirt,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,black,colorful,modern,Unisex,Dotted,,-,-,くろマーブルなふくL,jersey topos noche,jersey topos noche,pull noir à pois,pull noir à pois,Ballonpulli,maglia scura pois,검정 마블 옷 L,1.0,25BF,260C,3645,tops_polka_blk,No,,,dark polka shirt,,,-
133,dark polka tee,,T-Shirt,Able Sisters,Winter,Yes,350,-,87,69,4,3,-,-,-,black,colorful,modern,Unisex,Dotted,,-,-,くろマーブルなふく,camiseta topos noche,camiseta topos noche,t-shirt noir à pois,t-shirt noir à pois,Ballonshirt,maglietta scura pois,검정 마블 옷,1.0,249A,24E7,3520,tops_polka_blk,Yes,,,-,,,dark polka tee
134,dawn tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,blue,pink,iconic,Unisex,Nature,,-,-,しののめなふくN,top amanecer,top amanecer,débardeur aurore,débardeur aurore,Aurora-Top,canotta aurora,새벽느낌 옷 N,1.0,2604,2651,368A,tops_img_dawn,Yes,,,-,,,-
135,dawn tee,,T-Shirt,Able Sisters,Summer,Yes,380,-,95,76,4,3,-,-,-,blue,pink,iconic,Unisex,Nature,,-,-,しののめなふく,camiseta amanecer,camiseta amanecer,t-shirt aurore,t-shirt aurore,Aurora-Shirt,maglietta aurora,새벽느낌 옷,1.0,2472,24BF,34F8,tops_img_dawn,Yes,,,-,,,dawn tee
136,dazed shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,pink,purple,cute,Unisex,Plaid,,-,-,ゆめいろこうしのふくL,jersey rombos,jersey rombos,pull losange,pull losange,Wohlfühlpulli,maglia quadri rosa,꿈색 체크무늬 옷 L,1.0,25C2,260F,3648,tops_grid_dream,No,,,dazed shirt,,,-
137,dazed tee,,T-Shirt,Able Sisters,Summer,Yes,350,-,87,69,4,3,-,-,-,pink,purple,cute,Unisex,Plaid,,-,-,ゆめいろこうしのふく,camiseta rombos,camiseta rombos,t-shirt losange,t-shirt losange,Wohlfühlshirt,magliet. quadri rosa,꿈색 체크무늬 옷,1.0,2497,24E4,351D,tops_grid_dream,Yes,,,-,,,dazed tee
138,deep-blue tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,aqua,blue,sporty,Unisex,Nature,,-,-,グランブルーなふくN,top mar,top mar,débardeur abysse,débardeur abysse,Tiefseetop,canotta azzurra,그랑블루색 옷 N,1.0,25F2,263F,3678,tops_img_granblue,Yes,,,-,,,-
139,deep-blue tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,aqua,blue,sporty,Unisex,Nature,,-,-,グランブルーなふく,camiseta mar,camiseta mar,t-shirt abysse,t-shirt abysse,Tiefseeshirt,maglietta azzurra,그랑블루색 옷,1.0,2475,24C2,34FB,tops_img_granblue,Yes,,,-,,,deep-blue tee
140,deer shirt,,Shirt,Able Sisters,Winter,Yes,380,-,95,76,4,3,-,-,-,white,colorful,historical,Unisex,Manufactured,,-,-,しかがらのニット,jersey ciervos,jersey ciervos,pull daim,pull daim,Rentierpulli,maglione con cervi,사슴무늬 니트,1.0,24CB,2518,3551,tops_knit_deer,No,,,deer shirt,,,deer shirt
141,denim jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,blue,basic,Unisex,-,,-,-,デニムジャケット,chaqueta vaquera,chaqueta vaquera,veste en jean,veste en jean,Bluejeansjacke,giacca di jeans,데님 재킷,1.0,2565,25B2,35EB,tops_denim,Yes,,,-,,,denim jacket
142,denim vest,,Tank Top,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,blue,blue,rock 'n' roll,Male,-,,-,-,そでなしGジャン,chaleco vaquero,chaleco vaquero,veston en jean,veston en jean,Jeansweste,gilet di jeans,민소매 데님 재킷,1.0,2567,25B4,35ED,tops_denim_nslv,Yes,,,-,,,-
143,desert-camo shirt,,Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,beige,brown,rock 'n' roll,Unisex,Nature,,-,-,デザートめいさいふくL,jersey desierto,jersey desierto,pull motif désert,pull motif désert,Wüstenpulli,maglia mimetica oro,멋낸 밀리터리 상의 L,1.0,25D4,2621,365A,tops_camo_desert,Yes,,,-,,,-
144,desert-camo tee,,T-Shirt,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,-,-,beige,brown,rock 'n' roll,Unisex,Nature,,-,-,デザートめいさいふく,camiseta desierto,camiseta desierto,t-shirt motif désert,t-shirt motif désert,Wüstenshirt,maglietta mimet. oro,멋낸 밀리터리 상의,1.0,24EE,253B,3574,tops_camo_desert,Yes,,,-,,,-
145,detective outfit,,Shirt,Able Sisters,Winter,Yes,480,-,120,96,6,3,detective,-,-,brown,brown,iconic,Male,-,,-,-,めいたんていのふく,traje de detective,traje de detective,tenue de détective,tenue de détective,Detektivjacke,giacca detective,명탐정 옷,1.0,254A,2597,35D0,tops_detective,No,,,detective outfit,,,detective outfit
146,diamond tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,Toy Shop,-,white,red,basic,Unisex,Manufactured,,-,-,ダイヤのふく,camiseta diamante,camiseta diamante,t-shirt carreau,t-shirt carreau,Shirt „Karo“,maglietta di quadri,다이아몬드 옷,1.0,2461,24AE,34E7,tops_mark_diamond,Yes,,,-,,,-
147,dice tank,,Tank Top,Able Sisters,Summer,Yes,340,-,85,68,4,3,-,Toy Shop,-,white,black,flashy,Unisex,Nature,,-,-,サイコロのふく,top dados,top dados,débardeur dés,débardeur dés,Würfeltop,maglietta dadi,주사위무늬 옷,1.0,24E3,2530,3569,tops_dice,Yes,,,-,,,-
