Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Stack Size,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Food Power,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
cream and sugar,,Silver,Tray,NA,NA,No,No,No,NA,1,NA,None,1000,500,125,Gray,Gray,1x1,No,450,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,café,None,None,None,No,Dining,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrSugermilk_Remake_1_0,1_0,1161,TwvcQKe8vw9wCpTAR
cream and sugar,,White,Tray,NA,NA,No,No,No,NA,1,NA,None,1000,500,125,White,Gray,1x1,No,450,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,café,None,None,None,No,Dining,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrSugermilk_Remake_2_0,2_0,1161,gfHvejB7y6C4noYGK
cream and sugar,,Floral,Tray,NA,NA,No,No,No,NA,1,NA,None,1000,500,125,White,Gray,1x1,No,450,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,café,None,None,None,No,Dining,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrSugermilk_Remake_3_0,3_0,1161,5CRwNsG2b9TEsCf7f
cricket model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,390,Brown,Brown,1x1,No,NA,NA,Flick,Trade 3 insects to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrInsectKohrogiToy,NA,7077,zxRuhxdq7PGFusPqe
crucian carp model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,480,Brown,Black,1x1,No,NA,NA,C.J.,Trade 3 fish to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrFishFunaToy,NA,6929,cHv9imb58mAxZGFNw
cube light,,NA,NA,White,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,White,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_0,0_0,13656,QNjazoohGTPJNy45Z
cube light,,NA,NA,Yellow,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,Yellow,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_1,0_1,13656,eWiaLkHkemih6sQo7
cube light,,NA,NA,Orange,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,Orange,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_2,0_2,13656,DAhHsX2CNA2ceGpot
cube light,,NA,NA,Red,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,Red,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_3,0_3,13656,CuhFMLNFwuT2Ri4wr
cube light,,NA,NA,Pink,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,Pink,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_4,0_4,13656,5QBfsALCSErf3t4ih
cube light,,NA,NA,Purple,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,Purple,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_5,0_5,13656,2r5Z9RvF2T4hmZSnj
cube light,,NA,NA,Blue,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,Blue,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_6,0_6,13656,6GFi2kyR28FeiBeky
cube light,,NA,NA,Green,Color,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,830,207,White,Green,1x1,Yes,750,Poki,Nook's Cranny; HHP Office,,NA,NA,103,living room,stylish,None,None,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,NA,For sale,2.0.0,Yes,FtrLampCube_Remake_0_7,0_7,13656,PWs4yrrZCSd3PvfNh
cucumber horse,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,500,125,Green,Beige,1x1,No,NA,NA,Nook Shopping Seasonal,,Obon,Yes,201,living room,harmonious,None,None,SmallGoods,No,Japanese Style,No,Does not play music,No lighting,NA,Seasonal,1.11.0,Yes,FtrCucumberHorse,NA,14300,qhKjG3768m5Cv7Yiw
cup with saucer,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,1200,300,White,White,1x1,No,1100,Poki,Brewster,Sit down for coffee on 15 different days,NA,NA,153,café,restaurant,None,None,None,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrCafeCupsaucer,NA,14569,SCf8RXt8CtjbuzaQc
curry with rice,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,1200,300,Brown,White,1x1,No,1100,Poki,Nook's Cranny; HHP Café,,NA,NA,103,European,restaurant,None,None,Food,No,DishFood,No,Does not play music,No lighting,5,For sale,2.0.0,Yes,FtrRiceplateCurry,NA,12829,i89KJShgYwbhF7Lzm
cushion,,NA,NA,White,Cover,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,300,75,White,White,1x1,No,270,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,child's room,None,None,None,Chair,Chair,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCushion_Remake_0_0,0_0,1792,63KXYQSXZ5ZQSmr6L
cushion,,NA,NA,Floral,Cover,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,300,75,White,Colorful,1x1,No,270,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,child's room,None,None,None,Chair,Chair,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCushion_Remake_0_1,0_1,1792,p7bnytFpjPwst6ddh
cushion,,NA,NA,Alphabet,Cover,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,300,75,White,Green,1x1,No,270,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,child's room,None,None,None,Chair,Chair,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCushion_Remake_0_2,0_2,1792,kxqjhdLaQiCw3yQLX
cushion,,NA,NA,Paisley,Cover,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,300,75,Red,Red,1x1,No,270,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,child's room,None,None,None,Chair,Chair,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCushion_Remake_0_3,0_3,1792,dwqQa4p2hSS5KzNSy
cushion,,NA,NA,Rainbow colors,Cover,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,300,75,Colorful,Colorful,1x1,No,270,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,child's room,None,None,None,Chair,Chair,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCushion_Remake_0_4,0_4,1792,aLBjcF9Akg9YKKKTj
cushion,,NA,NA,Pop,Cover,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,300,75,Aqua,Colorful,1x1,No,270,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,child's room,None,None,None,Chair,Chair,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrCushion_Remake_0_5,0_5,1792,GRiKGWmJs8qzNBBLo
cute music player,,White,Color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,White,Pink,1x1,No,2300,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,None,cute,None,Audio,Music Player,Audio,No,Cheap,No lighting,NA,For sale,1.0.0,Yes,FtrCuteAudio_Remake_0_0,0_0,4003,PNhNTvFquksuYDgnm
cute music player,,Sky blue,Color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,Aqua,Blue,1x1,No,2300,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,None,cute,None,Audio,Music Player,Audio,No,Cheap,No lighting,NA,For sale,1.0.0,Yes,FtrCuteAudio_Remake_1_0,1_0,4003,zrxqARZ7fhHfZfB6L
cute music player,,Yellow,Color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,Yellow,Orange,1x1,No,2300,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,None,cute,None,Audio,Music Player,Audio,No,Cheap,No lighting,NA,For sale,1.0.0,Yes,FtrCuteAudio_Remake_2_0,2_0,4003,Ykd5NnYDMJPjfm5Aa
cute music player,,Red,Color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,Red,White,1x1,No,2300,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,None,cute,None,Audio,Music Player,Audio,No,Cheap,No lighting,NA,For sale,1.0.0,Yes,FtrCuteAudio_Remake_3_0,3_0,4003,CfGa7k8A97XF6v3yv
cute music player,,Blue,Color,NA,NA,No,No,No,NA,1,NA,None,1000,2600,650,Blue,Black,1x1,No,2300,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,None,cute,None,Audio,Music Player,Audio,No,Cheap,No lighting,NA,For sale,1.0.0,Yes,FtrCuteAudio_Remake_4_0,4_0,4003,eKw87wowK5fN3JXYD
cutting board,,No finish,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Beige,Red,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_0_0,0_0,3618,R9nmx9Q2c2LSaqjjq
cutting board,,No finish,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Beige,Blue,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_0_1,0_1,3618,tbCjqii8PuQXpPy6K
cutting board,,No finish,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Beige,Yellow,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_0_2,0_2,3618,fY2ehetfFSryf2744
cutting board,,Cherry brown,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Orange,Red,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_1_0,1_0,3618,b2ywJ6Cm9xdkWmcfE
cutting board,,Cherry brown,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Orange,Blue,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_1_1,1_1,3618,G5iiNx5X6WCbkmmy8
cutting board,,Cherry brown,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Orange,Yellow,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_1_2,1_2,3618,pcE4HEdGZ66Hb2zbH
cutting board,,Dark,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Brown,Red,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_2_0,2_0,3618,gjYBB5FPTDrHHbiPN
cutting board,,Dark,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Brown,Blue,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_2_1,2_1,3618,gYmueZw6yxCWGmnqq
cutting board,,Dark,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Brown,Yellow,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_2_2,2_2,3618,QoaPxaYp9jQZjdHhz
cutting board,,Natural,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Yellow,Red,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_3_0,3_0,3618,KTntMquCDi9SJNyxY
cutting board,,Natural,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Yellow,Blue,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_3_1,3_1,3618,nDvmAa4vhDu7o5YCD
cutting board,,Natural,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3,Normal,2400,NFS,990,Yellow,Yellow,1x1,No,NA,NA,Crafting,,NA,NA,103,kitchen,restaurant,None,None,None,No,Kitchen Things,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_3_2,3_2,3618,aoy4aAhZgxfFPeSoP
cyclommatus stag model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,24000,Black,Black,1x1,No,NA,NA,Flick,Trade 3 insects to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrInsectHosoakakuwagataToy,NA,7064,8YEAwnrxdwK8ZKPX3
dab model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,900,Brown,Black,1x1,No,NA,NA,C.J.,Trade 3 fish to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrFishKareiToy,NA,6965,dMsi3N6Rzefc4phxc
dace model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,720,Brown,Black,1x1,No,NA,NA,C.J.,Trade 3 fish to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrFishUguiToy,NA,7024,chTNqu8gsjJM3xTmQ
DAL model plane,,Blue,Color,NA,NA,No,Yes,No,NA,1,2,Normal,1700,NFS,1010,Blue,White,1x1,No,NA,NA,Dodo Airlines,Received in mail from DAL after 300 flights,NA,NA,251,child's room,living room,None,None,SmallGoods,No,Toy,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_0_0,0_0,12140,Z9LTsX7gHTvCqPhoQ
DAL model plane,,Yellow,Color,NA,NA,No,Yes,No,NA,1,2,Normal,1700,NFS,1010,Yellow,White,1x1,No,NA,NA,Dodo Airlines,Received in mail from DAL after 300 flights,NA,NA,251,child's room,living room,None,None,SmallGoods,No,Toy,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_1_0,1_0,12140,5Demv5QmbkEFjbHkk
DAL model plane,,Orange,Color,NA,NA,No,Yes,No,NA,1,2,Normal,1700,NFS,1010,Orange,White,1x1,No,NA,NA,Dodo Airlines,Received in mail from DAL after 300 flights,NA,NA,251,child's room,living room,None,None,SmallGoods,No,Toy,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_2_0,2_0,12140,AEAJKrg7PFWvDxqDp
DAL model plane,,Green,Color,NA,NA,No,Yes,No,NA,1,2,Normal,1700,NFS,1010,Green,White,1x1,No,NA,NA,Dodo Airlines,Received in mail from DAL after 300 flights,NA,NA,251,child's room,living room,None,None,SmallGoods,No,Toy,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_3_0,3_0,12140,5i29wGeAvzCkL2oRz
DAL mug,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,1010,Blue,White,1x1,No,NA,NA,Dodo Airlines,Received in mail from DAL after 50 flights,NA,NA,251,kitchen,living room,None,None,None,No,Dining,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalMug,NA,12139,JCcD4abWBcHkDPYzz
Dala horse,,Red,Color,NA,NA,No,Yes,No,NA,1,2,Normal,1700,NFS,1300,Red,Colorful,1x1,No,NA,NA,Gulliver,,NA,NA,451,heritage,None,None,None,Doll,No,Folk Craft Decor,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalecarlianhorse_Remake_0_0,0_0,685,wPFtrpurdZvWxbKHT
Dala horse,,Blue,Color,NA,NA,No,Yes,No,NA,1,2,Normal,1700,NFS,1300,Blue,Colorful,1x1,No,NA,NA,Gulliver,,NA,NA,451,heritage,None,None,None,Doll,No,Folk Craft Decor,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalecarlianhorse_Remake_1_0,1_0,685,WaA7mhYfcqaMmP93f
Dala horse,,White,Color,NA,NA,No,Yes,No,NA,1,2,Normal,1700,NFS,1300,White,Colorful,1x1,No,NA,NA,Gulliver,,NA,NA,451,heritage,None,None,None,Doll,No,Folk Craft Decor,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrDalecarlianhorse_Remake_2_0,2_0,685,8n4WfgheP2xmdWYzK
damselfly model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,1500,Black,Blue,1x1,No,NA,NA,Flick,Trade 3 insects to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrInsectItotonboToy,NA,7121,X24yGSkL2Bu8euJ76
dango,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,1100,275,White,Beige,1x1,No,NA,NA,Nook Shopping Seasonal,,Moon-Viewing Day,Yes,201,living room,harmonious,None,None,None,No,DishFood,Yes,Does not play music,No lighting,NA,Seasonal,1.11.0,Yes,FtrMoondumpling,NA,14338,6xLpXKevHtDFsNkDA
darner dragonfly model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,690,Green,Green,1x1,No,NA,NA,Flick,Trade 3 insects to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrInsectGinyanmaToy,NA,7058,f6fhww5RS83bXz3Fb
decorative bottles,,Green,Color,None,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Green,Green,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_0,0_0,13299,zcZNhTiXCEoe3RZ7X
decorative bottles,,Green,Color,Apple labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Green,Red,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_1,0_1,13299,5gtRbvYXeJ5Fa55sE
decorative bottles,,Green,Color,Orange labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Green,Orange,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_2,0_2,13299,bwNLWAM8S2ShSk8u8
decorative bottles,,Green,Color,White labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Green,White,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_3,0_3,13299,7tN44BLjqE9KQKFHm
decorative bottles,,Green,Color,Green labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Green,Blue,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_4,0_4,13299,mAceur44gGiXPAzCY
decorative bottles,,Green,Color,Black labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Green,Black,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_5,0_5,13299,qPERFsa8KNvGxWgf2
decorative bottles,,Light blue,Color,None,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Aqua,Aqua,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_0,1_0,13299,q9WnZrXmwbACfStDW
decorative bottles,,Light blue,Color,Apple labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Aqua,Red,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_1,1_1,13299,aqhRmvkBxpPhwcmAr
decorative bottles,,Light blue,Color,Orange labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Aqua,Orange,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_2,1_2,13299,spo336B53nL9L9sEv
decorative bottles,,Light blue,Color,White labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Aqua,White,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_3,1_3,13299,gSdWG7JHWaFeMwBG4
decorative bottles,,Light blue,Color,Green labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Aqua,Blue,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_4,1_4,13299,DaHBEqkSxmHF4bRL4
decorative bottles,,Light blue,Color,Black labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Aqua,Black,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_5,1_5,13299,vFTJt3dWsp63oTWRc
decorative bottles,,Brown,Color,None,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Brown,Brown,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_2_0,2_0,13299,2h2ohWPCjRDJNBxe8
decorative bottles,,Brown,Color,Apple labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Brown,Red,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_2_1,2_1,13299,ZN34WvMxP2RAYCw9u
decorative bottles,,Brown,Color,Orange labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Brown,Orange,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_2_2,2_2,13299,Dzsi7wXM4g4cGPmmw
decorative bottles,,Brown,Color,White labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Brown,White,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_2_3,2_3,13299,LYC2KEvpDaaBkxyJK
decorative bottles,,Brown,Color,Green labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Brown,Blue,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_2_4,2_4,13299,RDcKLqwNfvp6KuCnj
decorative bottles,,Brown,Color,Black labels,Label,No,No,Yes,Default; Custom,1,1,Normal,1000,1100,275,Brown,Black,1x1,No,990,Poki,Nook's Cranny; HHP Office,,NA,NA,103,shop,restaurant,None,None,SmallGoods,No,Dining,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrGlassbottle_Remake_2_5,2_5,13299,vKC4BAAJx7hxXnEcw
