#,Name,Image,Texture,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC),Notes
090,mushroom mural,,,Fortune,-,No,-,-,210,-,-,151,Mario,Toy Shop,aqua,aqua,cute,,スーパーマリオのかべ,pared setas,pared setas,mur Mario,mur Mario,Pilztapete,muro dei funghi,슈퍼 마리오 벽지,1.0,2398,23A2,wall_mario,,,,,mushroom mural,,-,
091,music-room wall,,,Saharah,-,No,"3,000",-,"1,600","1,280",-,951,-,-,beige,beige,basic,,おんがくしつのかべ,pared estudio,pared estudio,mur studio,mur studio,Dämmwand,muro sala musica,음악실 벽지,1.0,237E,2388,wall_music_room,,,,,,,-,
092,My Melody wall,,,Chelsea's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,white,pink,cute,,マイメロディなかべ,pared My Melody,pared My Melody,mur My Melody,mur My Melody,My-Melody-Tapete,muro My Melody,마이 멜로디 벽지,1.4,-,23DF,wall_mymelody,,,,,My Melody wall,,My Melody wall,
093,neutral wall,,,Nooklings,A,Yes,"1,200",-,300,240,-,151,minimalist,Trendy,white,white,basic,,シンプルなかべがみ,pared minimalista,pared minimalista,mur neutre,mur neutre,Minimaltapete,muro minimalista,심플한 벽지,1.0,23AE,23B8,wall_simple,,,,,white simple-cloth wall,,neutral wall,
094,notebook wall,,,DLC,-,Yes,"23,760",-,"5,940","4,752",-,300,-,Trendy,white,white,basic,,Campusかべがみ,pared libreta,pared libreta,mur agenda,mur agenda,Notizbuchwand,muro quaderni,노트 벽지,1.0,23BE,23C8,wall_note,,,,,,,-,
095,ocean-horizon wall,,,Desert Island Escape,-,No,-,-,600,-,-,551,-,-,aqua,white,basic,,すいへいせんのかべ,pared horizonte,pared horizonte,mur horizon marin,mur horizon marin,Ozeantapete,muro veduta marina,수평선 벽지,1.4,-,23DD,wall_horizon,,,,,ocean-horizon wall,,ocean-horizon wall,
096,office wall,,,Saharah,-,No,"3,000",-,"1,750","1,400",-,951,-,Trendy,gray,gray,basic,,オフィスのかべ,pared oficina,pared oficina,mur pro,mur pro,Fenstertapete,muro d'ufficio,오피스 벽지,1.0,2380,238A,wall_office,,,,,office wall,,office wall,
097,old brick wall,,,Nooklings,D,Yes,"1,200",-,300,240,-,151,-,Quirky,brown,-,historical,,ふるいレンガのかべ,pared ladrillos,pared ladrillos,mur de briques,mur de briques,Backsteinwand,muro mattoni,옛날 벽돌 벽지,1.0,2370,237A,wall_old_brick,,,,,,,-,
098,ornate wall,,,Nooklings,D,Yes,"1,580",-,395,316,-,151,-,Rustic / Fairy Tale,green,-,iconic,,くさばなのかべがみ,pared decó,pared decó,mur ornementé,mur ornementé,Schmucktapete,muro fregiato,풀꽃 벽지,1.0,236D,2377,wall_grass,,,,,,,ornate wall,
099,paintball wall,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,Toy Shop,colorful,colorful,modern,,アトリエのかべがみ,pared pintura,pared pintura,mur paintball,mur paintball,Farbkleckstapete,muro atelier,아틀리에 벽지,1.0,23A1,23AB,wall_paints,,,,,paintball wall,,-,
100,palace wall,,,Nooklings,C,Yes,"2,000",-,500,400,-,151,-,Antique,white,-,ornate,,きゅうでんのかべ,pared palacete,pared palacete,mur palais,mur palais,Palasttapete,muro colonne,궁전 벽지,1.0,23B7,23C1,wall_palace,,,,,palace wall,,palace wall,
101,parlor wall,,,Nooklings,A,Yes,"1,120",-,280,224,-,151,-,Rustic / Fairy Tale,pink,-,cute,,はながらのかべがみ,pared fucsia,pared fucsia,mur petit salon,mur petit salon,Salontapete,muro salotto,꽃무늬 벽지,1.0,2364,236E,wall_flower,,,,,,,parlor wall,
102,party wall,,,Nooklings,C,Yes,"1,480",-,370,296,-,151,-,Fairy Tale / Toy Shop,colorful,colorful,cute,,パーティーなかべがみ,pared fiestera,pared fiestera,mur fête,mur fête,Partytapete,muro festa,파티 벽지,1.0,23B8,23C2,wall_party,,,,,party wall,,-,
103,pastel-dot wall,,,Nooklings,C,Yes,"1,480",-,370,296,-,151,-,Trendy,colorful,-,cute,,パステルドットのかべがみ,pared pastel,pared pastel,mur pastel,mur pastel,Pastelltapete,muro pastello,파스텔 도트 벽지,1.0,2363,236D,wall_dot,,,,,,,-,
104,Pavé wall,,,Pavé,-,No,-,-,"1,800",-,-,651,Pavé,Trendy,white,blue,modern,,カーニバルのかべ,pared Conga,pared Conga,mur carnaval,mur carnaval,Karnevalstapete,muro Pavão,카니발 벽지,1.0,2350,235A,wall_carnival,,,,,,,-,
105,paw-print wall,,,Nooklings,B,Yes,"1,560",-,390,312,-,151,-,-,beige,-,cute,,にくきゅうなかべがみ,pared huellas,pared huellas,mur pattes,mur pattes,Pfötchentapete,muro impronte,발자국 벽지,1.0,23B9,23C3,wall_footmark,,,,,paw-print wall,,paw-print wall,
106,plaster wall,,,Nooklings,C,Yes,880,-,220,176,-,151,-,Harmonious,green,-,iconic,,きいろのつちかべ,pared estucada,pared estucada,crépi jaune,crépi jaune,Gipswand,muro intonaco,노란 토담 벽지,1.0,236B,2375,wall_soil_ylw,,,,,,,plaster wall,
107,playroom wall,,,Nooklings,C,Yes,"1,320",-,330,264,-,151,nursery,Toy Shop,blue,-,cute,,おもちゃなかべがみ,pared guardería,pared guardería,mur salle de jeu,mur salle de jeu,Spieltapete,muro giochi,장난감 벽지,1.0,235E,2368,wall_toy,,,,,blue playroom wall,,playroom wall,
108,plaza wall,,,Nooklings,A,Yes,"1,960",-,490,392,-,151,-,Antique,white,-,iconic,,ヨーロピアンなかべ,pared plaza,pared plaza,mur plaza,mur plaza,Gitterwand,muro piazza,유러피언 벽지,1.0,2381,238B,wall_european,,,,,,,-,
109,polka-dot wall,,,Lottie's RV,-,No,"4,800",-,"1,200",-,-,151,-,Toy Shop,aqua,pink,cute,,みずたまリボンかべがみ,pared topos,pared topos,mur pois et nœuds,mur pois et nœuds,Pünktchenbandtapete,muro pois e fiocchi,물방울 리본 벽지,1.4,-,23EA,wall_otg,,,,,,,-,
110,Pompompurin wall,,,Marty's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,yellow,brown,cute,,ポムポムプリンなかべ,pared Pompompurin,pared Pompompurin,mur Pompompurin,mur Pompompurin,Pompompurin-Tapete,muro Pompompurin,폼폼푸린 벽지,1.4,-,23E0,wall_purin,,,,,Pompompurin wall,,Pompompurin wall,
111,princess wall,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,princess,Antique / Fairy Tale,white,aqua,ornate,,プリンセスかべがみ,pared princesa,pared princesa,mur princesse,mur princesse,Prachttapete,muro contessa,프린세스 벽지,1.0,2355,235F,wall_princess,,,,,,,-,
112,ramshackle wall,,,Nooklings,A,Yes,"1,200",-,300,240,-,151,-,Quirky,gray,-,flashy,,はいきょのかべ,pared ruinas,pared ruinas,mur délabré,mur délabré,Ruinentapete,muro diroccato,폐허 벽지,1.0,239B,23A5,wall_ruins,,,,,ramshackle wall,,-,
113,ranch wall,,,Nooklings,B,Yes,"1,450",-,362,289,-,151,ranch,Rustic,pink,-,iconic,,カントリーなかべがみ,pared rústica,pared rústica,mur ranch,mur ranch,Western-Tapete,muro country,컨트리 벽지,1.0,2345,234F,wall_country,,,,,,,ranch wall,
114,red tile wall,,,Nooklings,D,Yes,"1,680",-,420,336,-,151,-,Trendy,brown,-,iconic,,ハニカムタイルのかべ,pared panal,pared panal,mur carrelé rouge,mur carrelé rouge,Tonkachelwand,muro esagoni,벌집무늬 벽지,1.0,23B4,23BE,wall_tile_honeycomb,,,,,,,red tile wall,
115,regal wall,,,Nooklings,D,Yes,"2,240",-,560,448,-,151,regal,Antique / Fairy Tale,green,-,ornate,,ロイヤルなかべがみ,pared regia,pared regia,mur royal,mur royal,Royaltapete,muro chic,럭셔리 벽지,1.0,2349,2353,wall_royal,,,,,,,regal wall,
116,rice-paddy wall,,,Tad's RV,-,No,"2,400",-,600,480,-,151,-,Harmonious / Rustic,aqua,green,historical,,でんえんふうけいのかべ,pared arrozal,pared arrozal,mur rizière,mur rizière,Savannentapete,muro cielo risaia,논밭 풍경 벽지,1.4,-,23DB,wall_farm,,,,,rice-paddy wall,,rice-paddy wall,
117,ringside seating,,,Saharah,-,No,"3,000",-,"2,250","1,800",-,951,boxing,-,colorful,colorful,sporty,,プロレスのかべ,pared boxeo,pared boxeo,mur gymnase,mur gymnase,Publikum,muro con platea,프로 레슬링 벽지,1.0,235C,2366,wall_wrestling,,,,,ringside seating,,-,
118,robo-wall,,,Nooklings,C,Yes,"1,780",-,445,356,-,151,robo,Sci-Fi / Toy Shop,gray,-,modern,,ロボのかべがみ,robopared,robopared,mur robot,mur robot,Robo-Tapete,muro robot,로봇 벽지,1.0,234D,2357,wall_robo,,,,,robo-wall,,-,
119,rococo wall,,,Nooklings,C,Yes,"2,240",-,560,448,-,151,rococo,Antique / Fairy Tale,white,-,ornate,,ロココなかべがみ,pared rococó,pared rococó,mur rococo,mur rococo,Rokoko-Tapete,muro rococò,로코코 벽지,1.0,23A6,23B0,wall_rococo,,,,,,,rococo wall,
120,rose wall,,,Nooklings,B,Yes,"2,240",-,560,448,-,151,-,Rustic / Fairy Tale,orange,-,cute,,バラのかべがみ,pared rosas,pared rosas,mur de roses,mur de roses,Rosentapete,muro rosato,장미 벽지,1.0,236F,2379,wall_rose,,,,,rose wall,,rose wall,
121,sci-fi wall,,,Saharah,-,No,"3,000",-,"1,500","1,200",-,951,sci-fi,Sci-Fi / Toy Shop,black,black,modern,,うちゅうせんのかべ,pared nave espacial,pared nave espacial,mur science-fiction,mur science-fiction,Raumschifftapete,muro astronave,우주선 벽지,1.0,23A5,23AF,wall_sf,,,,,sci-fi wall,,-,
122,sea view,,,Pascal,-,No,-,-,"1,000",800,-,351,pirate ship,-,blue,-,sporty,,おおうなばらのかべ,vista marina,vista marina,mur front de mer,mur front de mer,Seeblicktapete,muro sul mare,바다 벽지,1.0,235F,2369,wall_sea_view,,,,,sea view,,sea view,
123,shanty wall,,,Nooklings,C,Yes,800,-,200,160,-,151,-,Quirky,gray,-,historical,,トタンのかべ,pared choza,pared choza,mur baraquement,mur baraquement,Wellblechwand,muro capanna,철판 벽지,1.0,237A,2384,wall_tin,,,,,,,-,
124,shoji screen,,,Saharah,-,No,"3,000",-,"1,875","1,500",-,951,-,Harmonious,beige,white,iconic,,しょうじ,pared shoji,pared shoji,mur shôji,mur shôji,Shoji-Wand,muro shoji,창호지 벽지,1.0,2371,237B,wall_shoji,,,,,shoji screen,,shoji screen,
125,ski-slope wall,,,Snowman,-,No,-,-,390,-,-,88,-,-,white,white,sporty,,ゲレンデなかべがみ,pared esquí,pared esquí,mur piste de ski,mur piste de ski,Skipistentapete,muro pista da sci,슬로프 벽지,1.0,23AF,23B9,wall_gelande,,,,,ski-slope wall,,-,
126,sky wall,,,Nooklings,B,Yes,"1,200",-,300,240,-,151,-,-,blue,-,cute,,くものうえのかべ,pared cielo,pared cielo,mur ciel,mur ciel,Himmeltapete,muro cielo,구름 위 벽지,1.0,2393,239D,wall_cloud,,,,,sky wall,,sky wall,
127,skyscraper wall,,,Saharah,-,No,"3,000",-,"2,100","1,680",-,951,-,Trendy,aqua,-,sporty,,まてんろうのかべ,pared rascacielos,pared rascacielos,mur gratte-ciel,mur gratte-ciel,Wolkenkratzertapete,muro grattacieli,마천루 벽지,1.0,23BB,23C5,wall_skyscraper,,,,,skyscraper wall,,skyscraper wall,
128,sleek wall,,,Nooklings,A,Yes,"1,540",-,385,308,-,151,sleek,Trendy / Sci-Fi,black,-,modern,,パイプなカーテンのかべ,pared tubos,pared tubos,mur design,mur design,Designertapete,muro design,파이프 벽지,1.0,23AA,23B4,wall_pipe,,,,,,,sleek wall,
129,sloppy wall,,,Re-Tail,-,No,800,-,200,160,-,151,sloppy,Quirky,pink,pink,flashy,,だらしないかべ,pared desorden,pared desorden,mur négligé,mur négligé,Schlampertapete,muro trasandato,칠칠치 못한 벽지,1.0,23A4,23AE,wall_loose,,,,,,,-,
130,snowman wall,,,Snowboy,-,No,-,-,"8,888",-,-,88,snowman,Fairy Tale,blue,white,cute,,ゆきだるまのかべがみ,pared nieve,pared nieve,mur Yétiti,mur Yétiti,Schneemanntapete,muro neve,눈사람 벽지,1.0,234E,2358,wall_snowman,,,,,,,snowman wall,
131,spooky wall,,,Nooklings,-,Yes,"4,124",-,"1,031",824,-,351,spooky,Quirky,purple,orange,flashy,,ハロウィンのかべがみ,pared calabaza,pared calabaza,mur Halloween,mur Halloween,Kürbistapete,muro brividi,할로윈 벽지,1.0,2352,235C,wall_halloween,,,,,spooky wall,,-,
132,sporty wall,,,Saharah,-,No,"3,000",-,"1,600","1,280",-,951,-,-,aqua,-,sporty,,うんどうかいのかべ,pared estadio,pared estadio,mur sport,mur sport,Sportwand,muro sportivo,운동회 벽지,1.0,239C,23A6,wall_sports_day,,,,,,,-,
133,stadium wall,,,Sprocket's RV,-,No,"2,400",-,600,480,-,151,-,Toy Shop,aqua,gray,rock 'n' roll,,スタジアムのかべ,pared graderío,pared graderío,mur stade,mur stade,Stadiontapete,muro stadio,스타디움 벽지,1.4,-,23D4,wall_stadium,,,,,stadium wall,,-,
134,stately wall,,,Nooklings,C,Yes,"2,450",-,612,489,-,151,-,Antique,orange,-,ornate,,ルネッサンスなかべ,pared majestuosa,pared majestuosa,mur ouvragé,mur ouvragé,Wandverkleidung,muro solenne,르네상스 벽지,1.0,2383,238D,wall_renaissance,,,,,stately wall,,-,
135,steel-frame wall,,,Ike's RV,-,No,"2,400",-,600,480,-,151,-,Sci-Fi,red,gray,rock 'n' roll,,てっこつのかべ,pared viga de hierro,pared viga de hierro,mur poutres en fer,mur poutres en fer,Eisengittertapete,muro struttura ferro,철근 벽지,1.4,-,23D7,wall_steel,,,,,steel-frame wall,,steel-frame wall,
136,stone wall,,,Nooklings,A,Yes,800,-,200,160,-,151,-,Quirky,brown,-,basic,,いしのかべ,pared piedra,pared piedra,mur de pierre,mur de pierre,Steinwand,muro pietra,돌담 벽지,1.0,2377,2381,wall_stone,,,,,stone wall,,stone wall,
137,stripe wall,,,Nooklings,C,Yes,"1,480",-,370,296,-,151,stripe,Trendy,gray,-,sporty,,ストライプなかべがみ,pared rayas,pared rayas,mur rayures,mur rayures,Streifentapete,muro strisce,스트라이프 벽지,1.0,23AC,23B6,wall_stripe,,,,,,,-,
138,summit wall,,,Saharah,-,No,"3,000",-,"2,100","1,680",-,951,-,Rustic,aqua,-,sporty,,さんちょうのかべ,pared cumbre,pared cumbre,mur montagnes,mur montagnes,Gipfeltapete,muro montagne,산 정상 벽지,1.0,23BA,23C4,wall_mountaintop,,,,,summit wall,,summit wall,
139,sweets wall,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,sweets,Fairy Tale,brown,brown,cute,,おかしのいえのかべ,pared chuches,pared chuches,mur bonbons,mur bonbons,Süßtapete,muro dolci,과자집 벽지,1.0,2357,2361,wall_sweets,,,,,,,sweets wall,
140,tearoom wall,,,Nooklings,D,Yes,"1,750",-,437,349,-,151,-,Harmonious / Quirky,brown,-,iconic,,ちゃしつなかべ,pared sala de té,pared sala de té,mur salon de thé,mur salon de thé,Teezimmerwand,muro maschere,다도실 벽지,1.0,2373,237D,wall_tea_room,,,,,standard tearoom wall,,-,
141,tent wall,,,Nooklings,B,Yes,"1,480",-,370,296,-,151,-,Antique,beige,-,iconic,,アラビアかべがみ,tienda persa,tienda persa,mur perse,mur perse,Nomadentapete,muro persiano,아라비아 벽지,1.0,238A,2394,wall_arabia,,,,,tent wall,,-,
142,train-window wall,,,Rover's RV,-,No,"2,400",-,600,480,-,151,-,-,gray,purple,flashy,,しゃそうのかべ,pared vagón,pared vagón,mur vitres de train,mur vitres de train,Zugabteiltapete,muro finestr. treno,차창 벽지,1.4,-,23D5,wall_train,,,,,train-window wall,,-,
143,tree-lined wall,,,Saharah,-,No,"3,000",-,"1,850","1,480",-,951,-,Rustic,aqua,green,basic,,がいろじゅのかべ,pared árboles,pared árboles,rangée d'arbres,rangée d'arbres,Baumtapete,muro con alberi,가로수 벽지,1.0,2392,239C,wall_roadside_tree,,,,,tree-lined wall,,tree-lined wall,
144,tropical vista,,,Souvenir Shop,-,No,-,100,"1,250","1,000",62,199,-,-,blue,aqua,sporty,,みなみのうみなかべ,pared tropical,pared tropical,vue tropiques,vue tropiques,Tropenausblick,muro tropicale,남쪽 바다 벽지,1.0,238F,2399,wall_tropical,,,,,tropical vista,,tropical vista,
145,underwater wall,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,-,blue,blue,sporty,,すいちゅうのかべがみ,pared fondo marino,pared fondo marino,mur fonds marins,mur fonds marins,Meerestapete,muro sottomarino,수중 벽지,1.0,239F,23A9,wall_fish_tank,,,,,underwater wall,,-,
146,waiting-room wall,,,June's RV,-,No,"2,400",-,600,480,-,151,-,-,beige,beige,basic,,まちあいしつのかべ,pared sala de espera,pared sala de espera,mur salle d'attente,mur salle d'attente,Wartezimmertapete,muro sala d'attesa,대기실 벽지,1.4,-,23D6,wall_hospital,,,,,,,waiting-room wall,
147,western vista,,,Saharah,-,No,"3,000",-,"1,500","1,200",-,951,western,-,aqua,beige,sporty,,こうやのかべ,pared Oeste,pared Oeste,vue Far West,vue Far West,Wüstenausblick,muro west,황야 벽지,1.0,2359,2363,wall_wilderness,,,,,western vista,,-,
148,white brick wall,,,Norma's RV,-,No,"2,400",-,600,480,-,151,-,-,white,white,iconic,,しろいレンガのかべ,pared lad. blanco,pared lad. blanco,mur briques blanches,mur briques blanches,Weißziegeltapete,muro mattoni bianchi,하얀 벽돌 벽지,1.4,-,23D9,wall_whitebrick,,,,,white-brick wall,,white brick wall,
149,white tile wall,,,Paolo's RV,-,No,"2,400",-,600,480,-,151,-,-,white,gray,basic,,しろいタイルのかべ,pared azulejo blanco,pared azulejo blanco,mur carreaux blancs,mur carreaux blancs,Fliesentapete,m. piastrelle bianc.,하얀 타일 벽지,1.4,-,23D3,wall_tile_white,,,,,,,white tile wall,
150,wood paneling,,,Nooklings,A,Yes,"1,320",-,330,264,-,151,-,Rustic,brown,-,basic,,ウッディーなかべ,pared madera,pared madera,mur en lambris,mur en lambris,Holzverkleidung,muro a pannelli,나무 느낌 벽지,1.0,237B,2385,wall_wood,,,,,,,wood paneling,
-,old wallpaper,,,Villagers,-,No,-,-,-400,-,-,0,-,Quirky,beige,beige,flashy,,ボロかべがみ,pared sosa,pared sosa,mur miteux,mur miteux,Bröckelwand,muro malandato,낡은 벽지,1.0,2397,23A1,wall_old,,,,,old wallpaper,,-,
