Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
dark wooden-mosaic wall,,No,NA,Yes,NFS,1800,Black,Black,NA,NA,Crafting,,NA,NA,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,103,living room,shop,None,Wood Plank Walls,Not for sale,1.0.0,Yes,RoomTexWallMixPlankWood01,4860,zZ6oMsuRibBQMkCA7
dark-chocolate wall,,No,NA,No,3000,750,Brown,Brown,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Tile,451,fancy,None,None,Chocolate,Not for sale,1.0.0,Yes,RoomTexWallChocolate00,4932,MWLvj23WuHrEJkMjk
desert vista,,Yes,Synchro,No,3000,750,Beige,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Plain,451,ancient,local,None,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallDesert00,5488,o45mte3eFoaM3ts98
dig-site wall,,No,NA,No,3000,750,Brown,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,local,ancient,None,Stone Walls,Not for sale,1.0.0,Yes,RoomTexWallStratum00,5222,Rj3X2dJ5WfYu3wpMP
dirt-clod wall,,No,NA,No,200,50,Beige,Brown,180,Poki,Nook's Cranny,,NA,NA,Four Pane,Natural Wood,Screen,None,NA,Wood,151,horror,retro,None,Stone Walls,For sale,1.0.0,Yes,RoomTexWallOldSoil00,4856,LCJDGnfwuHqkgfxJB
dojo wall,,No,NA,No,3000,750,Yellow,Beige,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Wood,451,sports,harmonious,None,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallBaseboards00,5227,sLYrC9TRZJDMCZjM6
dungeon wall,,Yes,NA,No,3000,750,Black,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,horror,fantasy,None,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallJail00,5509,zcHJb34EruL2Szn87
exquisite wall,,No,NA,No,3000,750,Brown,White,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Wood,451,harmonious,restaurant,None,Asia,Not for sale,1.0.0,Yes,RoomTexWallChina00,4866,TPZRP5K6z87YHs6TC
falling-snow wall,,Yes,Random,Yes,NFS,2700,Brown,Blue,NA,NA,Crafting,,snowflakes,Yes,None,NA,NA,None,NA,Stone,201,freezing cold,living room,None,Special Walls,Not for sale,1.6.0,Yes,RoomSpWallSnowy00,13603,EufJsvAbx2PSzr8jz
fireworks-show wall,,Yes,NA,No,3000,750,Black,Black,NA,NA,Nintendo; Saharah; Saharah's Co-op,Mailed to players after the 1.4.0 update in a letter from Nintendo,NA,NA,None,NA,NA,None,NA,Plain,451,outdoors,ocean,None,Special Warm Nature Walls,Not for sale,1.4.0,Yes,RoomSpWallFireworks00,13230,poLXZmMTa2bYsAYpe
forest wall,,No,NA,Yes,NFS,44000,Black,Black,NA,NA,Crafting,,mushrooms,Yes,None,NA,NA,None,NA,Stone,201,nature,local,mush,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallMushForest00,7187,ogwkK7pveFmag6MXj
frozen-foods freezer wall,,Yes,NA,No,3000,750,Colorful,White,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,supermarket,workshop,None,WallFacility,Not for sale,2.0.0,Yes,RoomSpWallFrozenFood00,13358,hMLoXRHP2DGtEfoRE
future-tech wall,,Yes,Synchro,No,3000,750,Black,Black,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,ancient,sci-fi,None,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallTechnology00,5494,JawM9P46KeFwGXdsm
garbage-heap wall,,No,NA,Yes,NFS,120,Aqua,Gray,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Plain,103,workshop,horror,None,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallGarbage00,5229,KfoTScCc4NZruFYd8
glowing-moss cave wall,,Yes,NA,Yes,NFS,2500,Green,Black,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Stone,103,ancient,fantasy,None,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallGlowCave00,13881,jMHwiBTGKCvtCF5GN
glowing-moss forest wall,,Yes,NA,Yes,NFS,1700,Green,Green,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Plain,103,ancient,nature,None,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallGlowMoss00,13019,9R9RS7LePEZwAMDrT
glowing-moss ruins wall,,Yes,Synchro,Yes,NFS,2000,Gray,Green,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Stone,103,ancient,fantasy,None,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallGlowRemains00,13874,MpgCdjR8QPeo5TtGg
gold-screen wall,,No,NA,Yes,NFS,20750,Yellow,Yellow,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Wood,103,harmonious,expensive,None,Japanese Style,Not for sale,1.0.0,Yes,RoomTexWallFusumaGorgeous00,4820,CucFATJt8EtZmbKFX
golden wall,,No,NA,Yes,NFS,40000,Yellow,Brown,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Gold,103,expensive,ancient,golden,Asia,Not for sale,1.0.0,Yes,RoomTexWallGold00,4894,uyLj28ErYLEjpYzEF
graveyard wall,,Yes,NA,No,3000,750,Brown,Blue,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Plain,451,horror,None,None,Special Cool Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallCemetery00,5511,aNSptq7wunS7ezfQe
gray diner wall,,No,NA,No,2420,605,White,Colorful,2200,Poki,Nook's Cranny,,NA,NA,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,restaurant,café,diner,Diner Walls,For sale,1.0.0,Yes,RoomTexWallDiner02,7243,eTcpWCGHCzsdGRs7k
gray locker-room wall,,No,NA,No,3000,750,Gray,White,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Tile,451,school,None,None,Iron Walls,Not for sale,2.0.0,Yes,RoomTexWallLocker01,13441,DThEXePPszmFcsCpv
gray molded-panel wall,,No,NA,No,1980,495,Gray,Gray,1800,Poki,Nook's Cranny,,NA,NA,Sliding Pane,Black Metal,Glass,None,NA,Cloth,151,facility,living room,None,Panel Mold Walls,For sale,1.0.0,Yes,RoomTexWallPanelMold02,4872,49g9WCb7cvS8kpqDF
gray shanty wall,,No,NA,No,620,155,Gray,Gray,560,Poki,Nook's Cranny,,NA,NA,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,151,workshop,construction site,None,Tin Walls,For sale,1.0.0,Yes,RoomTexWallTin00,4923,7uz4sbe5zSfsa8PqK
gray-shelving wall,,No,NA,No,3000,750,Brown,Gray,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Wood,451,apparel shop,workshop,None,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallShelf01,13442,xujwrSS3Q7YKTRGLA
gray-striped wall,,No,NA,No,1520,380,Gray,White,1400,Poki,Nook's Cranny,,NA,NA,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,None,Stripe Walls,For sale,1.0.0,Yes,RoomTexWallStripe02,4944,xWHnQXK7duTWZ8GrD
green blossoming wall,,No,NA,No,1760,440,Green,Brown,1600,Poki,Nook's Cranny,,NA,NA,Four Pane,Light Wood,Glass,Curtains,Green Checkered,Wood,151,fancy,living room,None,Country,For sale,1.0.0,Yes,RoomTexWallCountry03,4903,ZPCtPY4gYYKPn7ipQ
green delicate-blooms wall,,No,NA,No,1900,475,Green,Black,1700,Poki,Nook's Cranny,,NA,NA,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151,expensive,living room,None,Manor Walls,For sale,1.0.0,Yes,RoomTexWallManor02,4898,rsBmsGkcmQYWzEivw
green flower-print wall,,No,NA,No,1780,445,Green,Beige,1600,Poki,Nook's Cranny,,NA,NA,Four Pane,White Wood,Glass,Curtains,Green,Wood,151,fancy,living room,None,Flower Walls,For sale,1.0.0,Yes,RoomTexWallFlower01,4935,oYN6MCEQENZymoKdm
green honeycomb-tile wall,,No,NA,No,1680,420,Green,Green,1500,Poki,Nook's Cranny,,NA,NA,Sliding Pane,Grey Metal,Glass,None,NA,Stone,151,bathroom,public bath,None,Honeycomb,For sale,1.0.0,Yes,RoomTexWallHoneycomb02,4913,Aws33pgNCEygKeaB4
green intricate wall,,No,NA,No,1570,392,Green,White,1400,Poki,Nook's Cranny,,NA,NA,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,151,living room,shop,None,Flower Pop Walls,For sale,1.0.0,Yes,RoomTexWallFlowerPop02,6878,hD6uCKiZPpJC6eqom
green molded-panel wall,,No,NA,No,1980,495,Green,White,1800,Poki,Nook's Cranny,,NA,NA,Sliding Pane,White Metal,Glass,None,NA,Cloth,151,facility,living room,None,Panel Mold Walls,For sale,1.0.0,Yes,RoomTexWallPanelMold03,6854,L5cttCqv5dPEpZNwm
green painted-wood wall,,No,NA,No,1650,412,Green,Green,1500,Poki,Nook's Cranny,,NA,NA,Four Pane,White Wood,Glass,None,NA,Wood,151,living room,child's room,None,Painted Wood,For sale,1.0.0,Yes,RoomTexWallPaintWood01,4949,wDrM2ExdLkKTKohtr
green playroom wall,,No,NA,No,2540,635,Green,Green,2300,Poki,Nook's Cranny,,NA,NA,Sliding Pane,White Metal,Glass,None,NA,Cloth,151,child's room,fancy,None,Toy Walls,For sale,1.0.0,Yes,RoomTexWallToy02,6866,hrZPmBpEgQ8SZm2oe
green wedding wall,,Yes,NA,No,NFS,750,Green,Aqua,12,Heart Crystals,Cyrus,,Wedding Season,Yes,None,NA,NA,None,NA,Stone,437,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,Yes,RoomSpWallChurch02,12469,WvGCWHyf2NKwuiZ7Z
green-paint wall,,No,NA,No,1600,400,Green,Green,1400,Poki,Nook's Cranny,,NA,NA,Four Pane,Dark Wood,Glass,None,NA,Stone,151,fancy,living room,None,Stucco Walls,For sale,1.0.0,Yes,RoomTexWallStucco04,4812,3ZHQo8e8Wqgw4cpwy
greenhouse wall,,Yes,NA,No,3000,750,Aqua,Gray,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,local,facility,None,Neta Walls,Not for sale,2.0.0,Yes,RoomSpWallGreenHouse00,13434,hdknyvkKdgrsWfqx5
groovy wall,,No,NA,No,1280,320,Orange,Orange,1200,Poki,Nook's Cranny,,NA,NA,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Cloth,151,party,retro,None,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallPsyche00,4846,gt5Bv4qHoaZ9QCyj4
hallway wall,,No,NA,No,3000,750,Aqua,White,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Wood,451,school,facility,None,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallBoard00,12848,NCBd3TwM7prv5MPfM
harmonious wall,,No,NA,No,1780,445,Brown,Brown,1600,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Stone,151,harmonious,shop,None,Asia,For sale,1.0.0,Yes,RoomTexWallOriental00,11180,uCzqeq8GvfKRsWRd4
heavy-curtain wall,,No,NA,No,3000,750,Red,Black,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Wood,451,music,party,None,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallThickCurtain00,4878,mKPtEN398qGZ7Yryu
Hello Kitty wall,,No,NA,No,3000,750,Red,Blue,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,None,NA,NA,None,NA,Cloth,201,fancy,None,Hello Kitty,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallKitty00,10171,annG3qKgFvLLenENq
honeycomb wall,,No,NA,Yes,NFS,3600,Yellow,Yellow,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Stone,103,fancy,nature,None,Tile Walls,Not for sale,1.0.0,Yes,RoomTexWallHoney00,4865,hB3LqvkNidDmzrZ8z
honeycomb-tile wall,,No,NA,No,1680,420,Brown,Brown,1500,Poki,Nook's Cranny,,NA,NA,Sliding Pane,Black Metal,Glass,None,NA,Stone,151,bathroom,public bath,None,Honeycomb,For sale,1.0.0,Yes,RoomTexWallHoneycomb00,4909,S3bCMm6KGHKF6Ynzg
ice wall,,Yes,NA,Yes,NFS,8200,Aqua,Aqua,NA,NA,Crafting,,snowflakes,Yes,None,NA,NA,None,NA,Stone,444,freezing cold,fantasy,frozen,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallIce00,5505,d84Y3R4CzrtjCasov
ice-cream-shoppe wall,,No,NA,No,3000,750,Colorful,Pink,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Wood,451,café,shop,None,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallIcecream00,12909,wFAgqt6mCbvc9qjo4
iceberg wall,,No,NA,Yes,NFS,4000,Aqua,White,NA,NA,Crafting,,snowflakes,Yes,None,NA,NA,None,NA,Plain,201,freezing cold,None,None,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallIceFloe00,5662,XqrwARWP9bzsmsjiF
imperial wall,,No,NA,No,3000,750,Red,Red,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,expensive,harmonious,None,Asia,Not for sale,1.0.0,Yes,RoomTexWallDynasty00,5224,YkuzvDjqXDB9CYHhm
industrial wall,,No,NA,No,3000,750,Black,Black,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,facility,lab,None,Iron Walls,Not for sale,1.0.0,Yes,RoomTexWallFactory00,4876,ao5GCHQqnwssDNRGN
ivy wall,,No,NA,No,3000,750,Brown,Green,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,local,sci-fi,None,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallIvy00,4850,t6XmWqkyhZt8Axyeh
Jingle wall,,Yes,Synchro,Yes,NFS,2500,Green,Colorful,NA,NA,Crafting,,ornaments,Yes,None,NA,NA,None,NA,Wood,201,fancy,party,festive,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallXmas00,5230,ZjBHKK8ckePAaKpxe
jungle wall,,No,NA,Yes,NFS,1380,Green,Green,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Stone,103,ancient,nature,None,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallJungle00,5457,pJFdFWHgQRiYAn67i
Kerokerokeroppi wall,,No,NA,No,3000,750,Green,Green,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,None,NA,NA,None,NA,Cloth,201,garden,harmonious,Kerokerokeroppi,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallKeroppi00,10175,rcc2xxFF6iEZFWCwD
Kiki & Lala wall,,No,NA,No,3000,750,Pink,Colorful,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,None,NA,NA,None,NA,Cloth,201,fancy,None,Kiki & Lala,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallKikilala00,10176,FEueHTF7kRxdi32bM
kisses wall,,No,NA,No,3000,750,Pink,White,NA,NA,Saharah; Saharah's Co-op,,NA,NA,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,451,party,fancy,None,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallKiss00,4881,ZeuGwoWptbyaQDsbu
laboratory wall,,Yes,Random,No,3000,750,Black,Black,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Tile,451,sci-fi,lab,None,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallLabo00,5495,kNrqC5Xs7RFybYfkN
lattice wall,,No,NA,No,1780,445,Brown,Brown,1600,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Wood,151,garden,shop,None,Asia,For sale,1.0.0,Yes,RoomTexWallLattice00,4830,ZQFuCuh6fdtufMYzs
limestone-cave wall,,Yes,Synchro,No,3000,750,Beige,White,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,fantasy,ancient,None,Special Warm Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallLimestone00,5507,vcz2byxybzfXkuCSX
magma-cavern wall,,Yes,Synchro,No,3000,750,Orange,Orange,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,horror,ancient,None,Special Warm Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallVolcano00,5506,ugvpYYqX4F9bgLbnj
manga-library wall,,No,NA,Yes,NFS,1050,White,White,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Cloth,103,facility,den,None,Library Walls,Not for sale,1.0.0,Yes,RoomTexWallLibrary01,4838,wRBeXRoDHw6Curx44
mangrove wall,,No,NA,No,3000,750,Green,Green,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Plain,451,nature,local,None,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallMangrove00,5514,j8cYo8ozHYBaAm3JH
marine pop wall,,No,NA,No,NFS,805,Aqua,Blue,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,501,ocean,child's room,None,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallFish00,4879,DmheJHpCg6xk8dX3R
meadow vista,,Yes,Synchro,No,3000,750,Green,Aqua,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Plain,451,nature,local,None,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallHighLands00,5484,QdWj45HftWrWwC3dH
mermaid wall,,Yes,Random,Yes,NFS,23520,Pink,Aqua,NA,NA,Crafting,,NA,NA,None,NA,NA,None,NA,Stone,451,ocean,fancy,mermaid,Special Warm Nature Walls,Not for sale,1.3.0,Yes,RoomSpWallMermaid00,12566,MP44TSDm3ADQzbMq2
misty-garden wall,,Yes,Random,No,3000,750,Gray,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,garden,harmonious,None,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallRain00,11915,hgiWgFTr76YtZH8sH
mod wall,,No,NA,No,1220,305,Orange,Orange,1100,Poki,Nook's Cranny,,NA,NA,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Cloth,151,party,retro,None,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallMod00,4908,Tiya4QoMRwThyKcG8
modern shoji-screen wall,,Yes,NA,No,1150,287,Brown,White,1000,Poki,Nook's Cranny,,NA,NA,None,NA,NA,None,NA,Wood,151,harmonious,restaurant,None,Japanese Style,For sale,1.0.0,Yes,RoomSpWallShojiModem00,4864,WBh8T7xJBavLRKZpB
modern tearoom wall,,No,NA,No,1750,437,Brown,Brown,1600,Poki,Nook's Cranny,,NA,NA,Circle,Dark Wood,Screen,None,NA,Wood,151,harmonious,shop,None,Tea Room Walls,For sale,1.0.0,Yes,RoomTexWallMud02,11178,Yk5NZC7SSyjDEpnA7
modern wood wall,,No,NA,Yes,NFS,1800,Brown,Brown,NA,NA,Crafting,,NA,NA,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,103,living room,child's room,None,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallMixwood00,4904,KZjTLMR8uhbpJGQ64
monochromatic dotted wall,,No,NA,No,1100,275,Gray,White,990,Poki,Nook's Cranny,,NA,NA,Four Pane,Dark Wood,Glass,Curtains,White,Wood,151,fancy,child's room,None,Dot,For sale,1.0.0,Yes,RoomTexWallDot00,4892,SWkrbmL8ME6NeQd9Q
monochromatic-tile wall,,No,NA,No,1420,355,Gray,White,1300,Poki,Nook's Cranny,,NA,NA,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,bathroom,public bath,None,Tile Walls,For sale,1.0.0,Yes,RoomTexWallTile00,4910,6pk8nNbm4EmT3PrBr
mortar wall,,No,NA,No,3000,750,Gray,Gray,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,harmonious,None,None,Stone Walls,Not for sale,1.0.0,Yes,RoomTexWallPlaster00,5215,mfRLEniEAEB9YAjCY
mosaic-tile wall,,No,NA,No,1450,362,Black,White,1300,Poki,Nook's Cranny,,NA,NA,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,151,bathroom,public bath,None,Tile Walls,For sale,1.0.0,Yes,RoomTexWallMosaicTile00,4862,2T8d9sRKwijHhESDS
mossy-garden wall,,No,NA,No,3000,750,Green,Green,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,local,ancient,None,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallMoss00,5458,nuuPHdxH5skMPdehs
museum wall,,No,NA,No,3000,750,White,White,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,facility,expensive,None,Special Inorganic Walls,Not for sale,2.0.0,Yes,RoomTexWallMuseum00,4842,NQvZs3xkbGd6azYxB
mush wall,,No,NA,Yes,NFS,21400,Orange,Brown,NA,NA,Crafting,,mushrooms,Yes,Four Pane,White Wood,Glass,Roller Shades,Undyed,Cloth,201,fancy,None,mush,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallMush00,5164,6xJHWgQgJA9e2n4jJ
mushroom mural,,Yes,Synchro,No,3000,750,Aqua,Colorful,NA,NA,Nintendo; Nook Shopping Promotion,Mailed to players after the 1.8.0 update in a letter from Nintendo; Not available before March 1st 2021,NA,NA,None,NA,NA,None,NA,Plain,201,fancy,child's room,Mario,Neta Walls,Not in catalog,1.8.0,Yes,RoomSpWallMario00,13805,Z5kYqifx5im2Ywe6P
My Melody wall,,No,NA,No,3000,750,Pink,Red,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,None,NA,NA,None,NA,Cloth,201,fancy,None,My Melody,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallMymelody00,10173,s97854TNLM2ipgGKY
Nook Inc. wall,,No,NA,No,NFS,6000,White,Aqua,1200,Nook Miles,Nook Miles Redemption,,NA,NA,Four Pane,Dark Wood,Glass,Curtains,White,Wood,151,fancy,shop,None,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallFirst00,6004,e7uEC5di7XvHpvkuk
ocean-horizon wall,,Yes,Synchro,No,3000,750,Blue,Aqua,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Plain,451,ocean,resort,None,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallHorizon00,5486,BYpn3AZyJ8PWCAxHj
office wall,,No,NA,No,3000,750,White,Aqua,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Tile,451,office,None,None,Special Walls,Not for sale,1.0.0,Yes,RoomTexWallOffice00,5218,gSMtrRvmA9mYgtKtD
old wallpaper,,No,NA,No,200,50,Beige,Beige,180,Poki,Nook's Cranny,,NA,NA,Four Pane,White Wood,Glass,None,NA,Wood,151,horror,None,None,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallOld00,4857,LvLyyhmz3TH3qjBi4
olive Moroccan wall,,No,NA,No,2440,610,Yellow,Yellow,2200,Poki,Nook's Cranny,,NA,NA,Sliding Pane,White Metal,Glass,None,NA,Stone,151,bathroom,public bath,Moroccan,Morocco,For sale,1.0.0,Yes,RoomTexWallMorocco03,6863,z5bNEBbKNL56CwQKo
operating-room wall,,No,NA,No,3000,750,Gray,Gray,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Tile,451,hospital,lab,None,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallOperatingRoom00,12851,BS7HgCFLJpppWYxrD
orange camo wall,,No,NA,No,1150,287,Orange,Orange,1000,Poki,Nook's Cranny,,NA,NA,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,151,party,child's room,None,Camouflage,For sale,1.0.0,Yes,RoomTexWallCamouflage03,6855,xiaFSrf6okC624pCz
orange molded-panel wall,,No,NA,No,1980,495,Orange,Beige,1800,Poki,Nook's Cranny,,NA,NA,Sliding Pane,White Metal,Glass,None,NA,Cloth,151,facility,living room,None,Panel Mold Walls,For sale,1.0.0,Yes,RoomTexWallPanelMold00,4870,zW3vwqmKDGhK68rCJ
orange Moroccan-style wall,,No,NA,No,3000,750,Orange,Orange,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,stylish,living room,None,Asia,Not for sale,2.0.0,Yes,RoomTexWallTadelakt01,13497,tN3DQ95fSAWs3o5SM
orange wall,,No,NA,Yes,NFS,4000,Orange,Orange,NA,NA,Crafting,,NA,NA,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,103,fancy,child's room,fruits,Fruit Walls,Not for sale,1.0.0,Yes,RoomTexWallOrange00,4915,4GirW6p4notkWfhs7
orange-paint wall,,No,NA,No,1600,400,Orange,Orange,1400,Poki,Nook's Cranny,,NA,NA,Four Pane,Natural Wood,Glass,None,NA,Stone,151,fancy,child's room,None,Stucco Walls,For sale,1.0.0,Yes,RoomTexWallStucco01,4809,TFsdbmb9sti7Gz3pt
outdoor-window wall,,No,NA,No,3000,750,Beige,Green,NA,NA,Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Wood,451,city life,café,None,Nature Walls,Not for sale,2.0.0,Yes,RoomTexWallTeahouse00,12910,BrjPZz2J4AvQBgpR3
paintball wall,,No,NA,No,3000,750,White,Colorful,NA,NA,Saharah; Saharah's Co-op,,NA,NA,Single Pane,Grey Metal,Glass,Slatted Blinds,Aluminium,Stone,451,workshop,facility,None,Stone Walls,Not for sale,1.0.0,Yes,RoomTexWallAtelier00,4854,qnE76Sd6WdnihirBL
palace wall,,Yes,NA,No,3000,750,Beige,White,NA,NA,Saharah; Saharah's Co-op,,NA,NA,None,NA,NA,None,NA,Stone,451,expensive,ancient,None,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallPalace00,5502,fGigBL7P6sRsv25Au
Paradise Planning wall,,No,NA,No,NFS,750,Yellow,Yellow,2700,Poki,Wardell,,Happy Home Paradise,Yes,None,NA,NA,None,NA,Gold,151,living room,None,None,WallGoldSilverBronze,Not for sale,2.0.0,Yes,RoomTexWallGoldRich00,13020,z22bvaYd3o8NtChdj
party wall,,No,NA,No,NFS,370,Colorful,White,NA,NA,Birthday,,Birthday,Yes,Four Pane,Dark Wood,Glass,Roller Shades,White,Cloth,573,party,fancy,None,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallParty00,5226,9v4H4NeFMQR9tKLj7
pastel dotted wall,,No,NA,No,1100,275,White,Colorful,990,Poki,Nook's Cranny,,NA,NA,Four Pane,Dark Wood,Glass,Curtains,White,Wood,151,fancy,child's room,None,Dot,For sale,1.0.0,Yes,RoomTexWallDot01,4899,m4ha6kr7tPuio5AcL
