#,Name,Image,Texture,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
089,museum floor,,,Museum Shop,-,Yes,"2,000",-,500,400,-,199,-,-,red,white,iconic,,ミュージアムなゆか,losa museo,suelo museo,sol musée,sol musée,Museumsboden,pavimento museo,뮤지엄 바닥,1.0,243D,2461,carpet_museum_art,,,,,,,-
090,music-room floor,,,Saharah,-,No,"3,000",-,"1,800","1,440",-,951,-,-,beige,beige,basic,,おんがくしつのゆか,suelo estudio,suelo estudio,sol studio,sol studio,Dämmteppich,pav. sala musica,음악실 바닥,1.0,2400,2424,carpet_music_room,,,,,,,-
091,My Melody floor,,,Chelsea's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,pink,pink,cute,,マイメロディなゆか,suelo My Melody,suelo My Melody,sol My Melody,sol My Melody,My-Melody-Boden,pavimento My Melody,마이 멜로디 바닥,1.4,-,2487,carpet_mymelody,,,,,,,My Melody floor
092,natural wood floor,,,Bea's RV,-,No,840,-,210,168,-,151,-,-,beige,beige,modern,,ナチュラルウッドのゆか,parqué Graciela,parqué Graciela,tapis bois naturel,sol bois naturel,Eichenboden,pav. legno grezzo,내추럴 나무 바닥,1.4,-,246E,carpet_floor_grace,,,,,,,natural wood floor
093,neutral floor,,,Nooklings,A,Yes,"1,200",-,300,240,-,151,minimalist,Trendy,beige,-,cute,,シンプルなゆか,suelo minimalista,suelo minimalista,sol neutre,sol neutre,Minimalboden,pav. minimalista,심플한 바닥,1.0,242F,2453,carpet_simple,,,,,,,neutral floor
094,notebook floor,,,DLC,-,Yes,"23,760",-,"5,940","4,752",-,300,-,Trendy,colorful,colorful,basic,,Campusじゅうたん,suelo libreta,suelo libreta,sol agenda,sol agenda,Notizbuchteppich,tappeto quaderni,노트 카펫,1.0,243A,245E,carpet_campus,,,,,,,-
095,observatory floor,,,Celeste's RV,-,No,"4,800",-,"1,200",-,-,151,-,Toy Shop,purple,pink,official,,てんもんだいのじゅうたん,suelo observatorio,suelo observatorio,sol observatoire,sol observatoire,Planetariumsteppich,pav. osservatorio,천문대 카펫,1.4,-,2492,carpet_observatory,,,,,,,-
096,office flooring,,,Saharah,-,No,"3,000",-,"1,700","1,360",-,951,-,-,gray,gray,basic,,オフィスのゆか,suelo oficina,suelo oficina,revêtement pro,revêtement pro,Linoleumboden,pavimento ufficio,오피스 바닥,1.0,2401,2425,carpet_office,,,,,,,-
097,oil-stained floor,,,Dobie's RV,-,No,840,-,210,168,-,151,-,Antique,brown,gray,basic,,オイルステインのゆか,suelo reciclaje,parqué reciclaje,sol taches d'huile,sol taches d'huile,Beizboden,pavimento officina,오일 스테인 바닥,1.4,-,247F,carpet_floor_recycle,,,,,,,oil-stained floor
098,old board floor,,,Nooklings,C,Yes,880,-,220,176,-,151,-,Harmonious / Rustic / Quirky,brown,-,historical,,ふるいいたまのゆか,suelo tablones,suelo tablones,sol vermoulu,sol vermoulu,Schmutzboden,vecchio assito,오래된 나무 바닥,1.0,23FE,2422,carpet_old_board,,,,,,,old board floor
099,opulent rug,,,Nooklings,B,Yes,"1,230",-,307,245,-,151,-,Harmonious / Quirky,brown,-,historical,,すすけたじゅうたん,alfombra mullida,alfombra mullida,carpette manoir,carpette manoir,Perserteppich,tappeto opulento,멋스러운 바닥,1.0,2402,2426,carpet_antique,,,,,,,-
100,ornate rug,,,Nooklings,C,Yes,"2,100",-,525,420,-,151,-,Rustic / Fairy Tale,orange,-,basic,,くさばなのじゅうたん,alfombra decó,alfombra decó,carpette décorée,carpette décorée,Schmuckteppich,tappeto decorato,풀꽃 카펫,1.0,2404,2428,carpet_grass,,,,,,,ornate rug
101,paintball floor,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,Toy Shop,colorful,colorful,modern,,アトリエのゆか,suelo pintura,suelo pintura,sol paintball,sol paintball,Farbklecksboden,pavimento atelier,아틀리에 바닥,1.0,2425,2449,carpet_paints,,,,,,,-
102,palace tile,,,Nooklings,D,Yes,"3,200",-,800,640,-,151,-,Antique / Fairy Tale,blue,-,iconic,,きゅうでんのゆか,losa palacete,losa palacete,dallage palais,dallage palais,Palastkachelboden,pavimento palazzo,궁전 바닥,1.0,23F1,2415,carpet_palace,,,,,palace tile,,palace tile
103,panel carpet floor,,,Piper's RV,-,No,840,-,210,168,-,151,-,Trendy,black,gray,modern,,パネルカーペットのゆか,suelo cuadros negros,suelo cuadros negros,tapis dalles,moquette dalles,Paneelboden,moquette a quadri,패널 카펫 바닥,1.4,-,2472,carpet_floor_panelrug,,,,,,,panel carpet floor
104,parquet floor,,,Nooklings,C,Yes,"2,350",-,587,469,-,151,-,Rustic,brown,-,iconic,,よせぎざいくのゆか,parqué,parqué,parquet ouvragé,parquet ouvragé,Parkettboden,parquet,나무로 짠 바닥,1.0,23FD,2421,carpet_parquet,,,,,,,parquet floor
105,parquet floor,,,Billy's RV,-,No,840,-,210,168,-,151,-,-,brown,brown,iconic,,くみきのゆか,parqué cruzado,parqué cruzado,parquet croisé,parquet croisé,Laminat,pavimento laminato,강화마루 바닥,1.4,-,2470,carpet_floor_wax,,,,,,,parquet floor
106,pastel-dot rug,,,Nooklings,B,Yes,"1,300",-,325,260,-,151,-,Trendy,colorful,-,cute,,パステルドットのラグ,alfombra pastel,alfombra pastel,carpette pastel,carpette pastel,Pastellteppich,tappeto pastello,파스텔 도트 러그,1.0,23E8,240C,carpet_dot,,,,,,,pastel-dot rug
107,Pavé floor,,,Pavé,-,No,-,-,"1,800",-,-,651,Pavé,Trendy,blue,white,modern,,カーニバルのゆか,suelo Conga,suelo Conga,sol carnaval,sol carnaval,Karnevalsboden,pavimento Pavão,카니발 바닥,1.0,23D5,23F9,carpet_carnival,,,,,,,-
108,pavement floor,,,Ike's RV,-,No,840,-,210,168,-,151,-,Rustic / Antique,gray,gray,iconic,,いしだたみのゆか,empedrado gris,empedrado gris,sol ruelle,sol ruelle,Gehweg,pavimento porfido,벽돌 포장 바닥,1.4,-,247A,carpet_floor_sett,,,,,,,pavement floor
109,pink wood floor,,,Carrie's RV,-,No,840,-,210,168,-,151,-,Fairy Tale,pink,pink,cute,,ピンクウッドのゆか,parqué pavo,parqué pavo,sol bois rose,sol bois rose,Herbstboden,pav. legno rosa,핑크 나무 바닥,1.4,-,246D,carpet_floor_harvest,,,,,,,pink wood floor
110,plank flooring,,,Nooklings,A,Yes,800,-,200,160,-,151,-,Rustic / Quirky,brown,-,historical,,ふるいフローリング,suelo madera,suelo madera,parquet abîmé,parquet abîmé,Dielenboden,pavimento vecchio,대청마루 바닥,1.0,240D,2431,carpet_flooring_old,,,,,,,plank flooring
111,planked tatami,,,Nooklings,A,Yes,"1,340",-,335,268,-,151,-,Harmonious,beige,-,iconic,,いたまつきのたたみ,suelo tatami,suelo tatami,tatami,tatami,Dielen-Tatamiboden,pavimento tatami,일본식 나무 바닥,1.0,23F7,241B,carpet_tatami_plank,,,,,,,-
112,playroom rug,,,Nooklings,C,Yes,"1,360",-,340,272,-,151,nursery,Toy Shop,colorful,-,cute,,おもちゃなゆか,suelo guardería,suelo guardería,tapis de jeu,tapis de jeu,Spielteppich,tappeto giochi,장난감 바닥,1.0,23E3,2407,carpet_toy,,,,,,,-
113,plaza tile,,,Nooklings,A,Yes,"2,180",-,545,436,-,151,-,-,brown,-,ornate,,ヨーロピアンなゆか,suelo plaza,suelo plaza,carrelage plaza,carrelage plaza,Musterboden,pavimento piazza,유러피언 바닥,1.0,23F0,2414,carpet_european,,,,,,,plaza tile
114,plush carpet,,,Nooklings,C,Yes,"2,160",-,540,432,-,151,-,Antique,red,-,basic,,あかいじゅうたん,alfombra lujo,alfombra lujo,tapis fastueux,tapis fastueux,Edelteppich,tappeto felpato,레드 카펫,1.0,2403,2427,carpet_red,,,,,,,-
115,Pompompurin floor,,,Marty's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,yellow,brown,cute,,ポムポムプリンなゆか,suelo Pompompurin,suelo Pompompurin,sol Pompompurin,sol Pompompurin,Pompompurin-Boden,pav. Pompompurin,폼폼푸린 바닥,1.4,-,2488,carpet_purin,,,,,,,Pompompurin floor
116,princess carpet,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,princess,Antique / Fairy Tale,white,white,ornate,,プリンセスじゅうたん,moqueta princesa,moqueta princesa,tapis princesse,tapis princesse,Prachtteppich,tappeto contessa,프린세스 카펫,1.0,23DA,23FE,carpet_princess,,,,,,,-
117,ramshackle floor,,,Nooklings,C,Yes,"1,200",-,300,240,-,151,-,Quirky,gray,-,flashy,,はいきょのゆか,suelo ruinas,suelo ruinas,sol délabré,sol délabré,Ruinenboden,pavimento diroccato,폐허 바닥,1.0,241D,2441,carpet_ruins,,,,,,,ramshackle floor
118,ranch flooring,,,Nooklings,B,Yes,"1,750",-,437,349,-,151,ranch,Rustic,green,-,iconic,,カントリーなゆか,suelo rústico,suelo rústico,parquet ranch,parquet ranch,Western-Teppich,pavimento country,컨트리 바닥,1.0,23CA,23EE,carpet_country,,,,,,,ranch flooring
119,red tile,,,Nooklings,B,Yes,"1,680",-,420,336,-,151,-,Trendy,brown,-,iconic,,ハニカムタイルのゆか,losa panal,losa panal,carrelage rouge,carrelage rouge,Tonkachelboden,pavimento esagoni,벌집무늬 바닥,1.0,23ED,2411,carpet_tile_honeycomb,,,,,,,red tile
120,regal carpet,,,Nooklings,D,Yes,"2,850",-,712,569,-,151,regal,Antique / Fairy Tale,blue,-,ornate,,ロイヤルなゆか,alfombra regia,alfombra regia,tapis royal,tapis royal,Royalteppich,tappeto chic,럭셔리 바닥,1.0,23CE,23F2,carpet_royal,,,,,,,-
121,robo-floor,,,Nooklings,C,Yes,"2,400",-,600,480,-,151,robo,Sci-Fi / Toy Shop,gray,-,modern,,ロボのゆか,robosuelo,robosuelo,sol robot,sol robot,Robo-Teppich,pavimento robot,로봇 바닥,1.0,23D2,23F6,carpet_robo,,,,,,,robo-floor
122,rococo floor,,,Nooklings,D,Yes,"2,200",-,550,440,-,151,rococo,Antique / Fairy Tale,beige,-,iconic,,ロココなゆか,suelo rococó,suelo rococó,sol rococo,sol rococo,Rokoko-Boden,pavimento rococò,로코코 바닥,1.0,2438,245C,carpet_rococo,,,,,,,rococo floor
123,round carpet,,,Nooklings,D,Yes,"1,080",-,270,216,-,151,-,-,beige,-,basic,,まるいじゅうたん,alfombra redonda,alfombra redonda,tapis rond,tapis rond,Kreisteppich,tappeto ruota,둥근 카펫,1.0,2409,242D,carpet_round,,,,,,,-
124,Saharah's desert,,,Saharah,-,No,"3,000",-,"1,800","1,440",-,951,-,-,beige,beige,sporty,,さばくなゆか,suelo desierto,suelo desierto,sol désert,sol désert,Saharagrund,deserto Sahara,사막 바닥,1.0,2415,2439,carpet_desert,,,,,Saharah's desert,,-
125,sand garden,,,Saharah,-,No,"3,000",-,"1,750","1,400",-,951,-,Harmonious / Quirky,gray,gray,iconic,,かれさんすいのゆか,suelo zen,suelo zen,jardin zen,jardin zen,Sandgarten,giardino sabbia,모래 정원,1.0,23F9,241D,carpet_sand_garden,,,,,,,-
126,sandlot,,,Saharah,-,No,"3,000",-,"1,700","1,360",-,951,-,-,beige,beige,flashy,,あきちのゆか,suelo cancha,suelo cancha,sol sable,sol sable,Sandplatz,pavimento sabbia,공터 바닥,1.0,2416,243A,carpet_empty_lot,,,,,sandlot,,-
127,sandy-beach floor,,,Plucky's RV,-,No,840,-,210,168,-,151,-,Rustic,beige,beige,iconic,,すなはまのゆか,suelo tropical,suelo playa tropical,sol plage de sable,sol plage de sable,Sandboden,pavimento spiaggia,모래사장 바닥,1.4,-,2482,carpet_floor_tropical,,,,,,,-
128,school-hall floor,,,Raddle's RV,-,No,840,-,210,168,-,151,-,-,green,green,official,,がっこうのろうかのゆか,suelo escuela,suelo escuela,sol couloir d'école,sol couloir d'école,Schulgangboden,pavimento aula,학교 복도 바닥,1.4,-,2478,carpet_floor_schoolhallway,,,,,,,-
129,sci-fi floor,,,Saharah,-,No,"3,000",-,"1,500","1,200",-,951,sci-fi,Sci-Fi / Toy Shop,gray,gray,modern,,うちゅうせんのゆか,suelo nave espacial,suelo nave espacial,sol science-fiction,sol science-fiction,Raumschiffboden,pavimento astronave,우주선 바닥,1.0,2429,244D,carpet_sf,,,,,,,-
130,shanty mat,,,Nooklings,D,Yes,720,-,180,144,-,151,-,Harmonious / Rustic / Quirky,brown,-,flashy,,むしろ,suelo choza,suelo choza,tapis de paille,tapis de paille,Flechtmatte,tappeto capanna,볏짚 바닥,1.0,2410,2434,carpet_straw,,,,,,,shanty mat
131,ship deck,,,Pascal,-,No,-,-,"1,000",800,-,351,pirate ship,Quirky,brown,-,sporty,,かんぱんのゆか,suelo cubierta,suelo cubierta,sol pont de navire,sol pont de navire,Schiffsdeck,pav. ponte di nave,갑판 바닥,1.0,23E4,2408,carpet_sea_view,,,,,ship deck,,-
132,sidewalk,,,Saharah,-,No,"3,000",-,"1,950","1,560",-,951,-,-,gray,gray,rock 'n' roll,,ほどうのゆか,suelo acera,suelo acera,sol trottoir,sol trottoir,Musterweg,marciapiede,보도블록 바닥,1.0,2417,243B,carpet_sidewalk,,,,,,,-
133,ski-slope floor,,,Snowman,-,No,-,-,390,-,-,88,-,-,white,white,sporty,,ゲレンデのゆか,suelo esquí,suelo esquí,sol piste de ski,sol piste de ski,Skipistenboden,pav. pista da sci,슬로프 바닥,1.0,2430,2454,carpet_gelande,,,,,,,-
134,slate flooring,,,Nooklings,C,Yes,"1,380",-,345,276,-,151,-,Harmonious,gray,-,basic,,ランダムなしきいし,suelo guijarros,suelo guijarros,sol ardoises,sol ardoises,Schieferboden,pavimento ardesia,마구 붙인 돌바닥,1.0,23FA,241E,carpet_slate,,,,,slate flooring,,slate flooring
135,sleek carpet,,,Nooklings,A,Yes,"1,540",-,385,308,-,151,sleek,Trendy / Sci-Fi,black,-,modern,,パイプなシャギーラグ,alfombra tubos,alfombra tubos,tapis design,tapis design,Designerteppich,pavimento design,파이프 러그,1.0,242C,2450,carpet_pipe,,,,,,,-
136,sloppy carpet,,,Re-Tail,-,No,600,-,150,120,-,151,sloppy,Quirky,blue,-,flashy,,だらしないゆか,suelo desordenado,suelo desordenado,tapis négligé,tapis négligé,Schlamperboden,pavimento trasandato,칠칠치 못한 바닥,1.0,2428,244C,carpet_loose,,,,,,,-
137,snowman carpet,,,Snowboy,-,No,-,-,"8,888",-,-,88,snowman,Fairy Tale,white,white,cute,,ゆきだるまじゅうたん,alfombra nieve,alfombra nieve,tapis Yétiti,tapis Yétiti,Schneemannteppich,tappeto neve,눈사람 카펫,1.0,23D3,23F7,carpet_snowman,,,,,,,snowman carpet
138,spooky carpet,,,Nooklings,-,Yes,"4,124",-,"1,031",824,-,351,spooky,Quirky,orange,purple,flashy,,ハロウィンのじゅうたん,moqueta calabaza,moqueta calabaza,tapis Halloween,tapis Halloween,Kürbisteppich,tappeto brividi,할로윈 카펫,1.0,23D7,23FB,carpet_halloween,,,,,,,-
139,sporty floor,,,Saharah,-,No,"3,000",-,"1,600","1,280",-,951,-,-,beige,-,sporty,,うんどうかいのゆか,suelo estadio,suelo estadio,sol sport,sol sport,Sportboden,pavimento sportivo,운동회 바닥,1.0,241E,2442,carpet_sports_day,,,,,,,-
140,steel flooring,,,Nooklings,B,Yes,"1,480",-,370,296,-,151,-,Trendy / Sci-Fi / Quirky,gray,-,rock 'n' roll,,てっぱんのゆか,suelo acero,suelo acero,sol en acier,sol en acier,Eisenbelag,pavimento acciaio,철판 바닥,1.0,240F,2433,carpet_steel,,,,,steel flooring,,steel flooring
141,stone tile,,,Nooklings,A,Yes,"2,750",-,687,549,-,151,-,Antique,gray,-,historical,,だいりせきのゆか,losa piedra,losa piedra,sol pavé,sol pavé,Steinboden,pavimento pietra,대리석 바닥,1.0,23F4,2418,carpet_marble,,,,,stone tile,,stone tile
142,stone-tile floor,,,Murphy's RV,-,No,840,-,210,168,-,151,-,Antique,gray,gray,iconic,,いしのタイルなゆか,suelo museo,losa museo,sol dalles pierre,sol dalles pierre,Steinfliesenboden,p. piastrelle pietra,스톤 타일 바닥,1.4,-,246F,carpet_floor_museum_art,,,,,,,stone-tile floor
143,stripe carpet,,,Nooklings,C,Yes,"1,480",-,370,296,-,151,stripe,Trendy,gray,-,modern,,ストライプなゆか,suelo rayas,suelo rayas,tapis rayures,tapis rayures,Streifenboden,pavimento strisce,스트라이프 바닥,1.0,242E,2452,carpet_stripe,,,,,,,-
144,sweets floor,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,sweets,Fairy Tale,beige,brown,cute,,おかしのいえのゆか,suelo chuches,suelo chuches,sol bonbons,sol bonbons,Süßteppich,pavimento dolci,과자집 바닥,1.0,23DC,2400,carpet_sweets,,,,,,,sweets floor
145,tartan rug,,,Nooklings,B,Yes,"1,820",-,455,364,-,151,-,Trendy,brown,-,basic,,しょさいのじゅうたん,alfombra granate,alfombra granate,tapis en tartan,tapis en tartan,Tartanteppich,tappeto tartan,서재 카펫,1.0,2408,242C,carpet_library,,,,,,,tartan rug
146,tatami,,,Saharah,-,No,"3,000",-,"2,125","1,700",-,951,-,Harmonious,green,green,iconic,,たたみ,suelo japonés,suelo japonés,sol tatamis,sol tatamis,Tatamiboden,pavimento giapponese,일본식 바닥,1.0,23F6,241A,carpet_tatami,,,,,tatami,,tatami
147,tatami floor,,,Snooty's RV,-,No,840,-,210,168,-,151,-,Harmonious,green,green,modern,,ふちなしたたみ,tatami cuadrado,tatami cuadrado,sol tatamis carrés,sol tatamis carrés,Binsenboden,p. tatami quadrati,일본식 돗자리 바닥,1.4,-,2476,carpet_floor_tatami_borderless,,,,,,,tatami floor
148,tent rug,,,Nooklings,C,Yes,"1,280",-,320,256,-,151,-,Antique,colorful,-,iconic,,アラビアじゅうたん,alfombra persa,alfombra persa,carpette perse,carpette perse,Nomadenteppich,tappeto persiano,아라비아 카펫,1.0,2407,242B,carpet_arabia,,,,,,,-
149,terrace rug,,,Spike's RV,-,No,840,-,210,168,-,151,-,Harmonious / Rustic,brown,brown,iconic,,テラスなゆか,suelo exótico,suelo exótico,sol terrasse,sol terrasse,Orient-Boden,pavimento terrazza,테라스 바닥,1.4,-,246A,carpet_floor_asia,,,,,,,-
150,terra-cotta floor,,,Ellie's RV,-,No,840,-,210,168,-,151,-,Antique,brown,orange,iconic,,テラコッタタイルのゆか,losa terracota,losa terracota,sol terre cuite,sol terre cuite,Terrakotta-Boden,pavimento terracotta,테라코타 타일 바닥,1.4,-,2475,carpet_floor_tile_terracotta,,,,,,,terra-cotta floor
151,tropical floor,,,Souvenir Shop,-,No,-,100,"1,250","1,000",62,199,-,-,green,beige,sporty,,みなみのしまなゆか,suelo tropical,suelo tropical,sol tropical,sol tropical,Tropengrund,pavimento tropicale,남쪽 섬 바닥,1.0,2414,2438,carpet_tropical,,,,,,,-
152,underwater floor,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,-,aqua,blue,sporty,,うみのそこのゆか,suelo fondo marino,suelo fondo marino,sol fonds marins,sol fonds marins,Meeresboden,pav. sottomarino,해저 바닥,1.0,2423,2447,carpet_fish_tank,,,,,,,-
153,water floor,,,Desert Island Escape,-,No,-,-,210,168,-,551,-,Rustic,blue,blue,flashy,,みなものゆか,suelo fondo alberca,suelo fondo piscina,sol eau,sol eau,Wasseroberfläche,pavimento acqua,수면 바닥,1.4,-,2479,carpet_floor_water,,,,,,,water floor
154,western desert,,,Saharah,-,No,"3,000",-,"1,700","1,360",-,951,western,-,beige,beige,sporty,,こうやのゆか,suelo Oeste,suelo Oeste,sol Far West,sol Far West,Wüstengrund,deserto west,황야 바닥,1.0,23DE,2402,carpet_wilderness,,,,,western desert,,-
155,white tile floor,,,Paolo's RV,-,No,840,-,210,168,-,151,-,-,white,gray,basic,,しろいタイルのゆか,suelo baldosa blanca,suelo baldosa blanca,sol carreaux blancs,sol carreaux blancs,Weiß-Kachelboden,p. piastrelle bianc.,하얀 타일 바닥,1.4,-,2471,carpet_floor_tile_white,,,,,,,white tile floor
156,white wood floor,,,June's RV,-,No,840,-,210,168,-,300,-,-,white,white,cute,,ホワイトウッドのゆか,parqué princesa,parqué princesa,sol bois blanc,sol bois blanc,Prachtboden,pav. legno bianco,화이트 우드 바닥,1.4,-,2485,carpet_floor_princess,,,,,,,white wood floor
157,wildflower floor,,,Nooklings,D,Yes,"1,480",-,370,296,-,151,-,Rustic,colorful,-,basic,,のばなのじゅうたん,suelo silvestre,suelo silvestre,sol fleuri,sol fleuri,Wildblumenboden,tappeto fiori campo,들꽃 카펫,1.0,2421,2445,carpet_flowers_grass,,,,,,,wildflower floor
158,wooden-deck floor,,,Sylvana's RV,-,No,840,-,210,168,-,151,-,Rustic / Antique,brown,brown,basic,,ウッドデッキのゆか,parqué oscuro,parqué oscuro,sol planches,sol planches,Rustikalboden,pav. legno scuro,우드데크 바닥,1.4,-,2484,carpet_floor_cowhide,,,,,,,wooden-deck floor
159,yellow flooring,,,Hopkins's RV,-,No,840,-,210,168,-,151,-,-,yellow,yellow,basic,,きいろいフローリング,parqué amarillo,parqué amarillo,sol jaune,sol jaune,Gelbboden,pavimento giallo,옐로 나무 바닥,1.4,-,246B,carpet_floor_green,,,,,,,yellow flooring
160,Zelda floor,,,Medli's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,beige,brown,iconic,,ゼルダのでんせつなゆか,suelo Hyrule,suelo Hyrule,sol Zelda,sol Zelda,Zelda-Boden,pavimento Zelda,젤다의 전설 바닥,1.4,-,248C,carpet_hyrule,,,,,,,-
-,old flooring,,,Villagers,-,No,-,-,-400,-,-,0,-,Quirky,gray,gray,historical,,ボロじゅうたん,suelo soso,suelo soso,sol miteux,sol miteux,Bröckelboden,pavimento malandato,낡은 바닥,1.4,-,243E,carpet_old,,,,,,,-
