Name,Image,Texture,Source,Sell Price (Re-Tail),HHA Base Points,When HHA Lucky,Favorite Saying,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (NH),Name (HHD),Name (PC)
Cleo's pic,,,Villagers,10,451,While Cleo Living in Town,,pic of Cleo,アイソトープのしゃしん,foto de Clotilde,foto de Clotilde,photo de Cléa,photo de Cléa,Foto von Birgit,foto di Susanna,아이소토프 사진,1.4,-,325C,brm_hrs07,,,Cleo's photo,,Cleo's pic
Clyde's pic,,,Villagers,10,451,While Clyde Living in Town,,pic of Clyde,デースケのしゃしん,foto de Moe,foto de Moe,photo de Dorian,photo de Dorian,Foto von Tommi,foto di Lallo,마철이 사진,1.0,2F9D,325F,brm_hrs10,,,Clyde's photo,,Clyde's pic
Coach's pic,,,Villagers,10,451,While Coach Living in Town,,pic of Coach,テッチャンのしゃしん,foto de Cacho,foto de Cacho,photo d'Arnold,photo d'Arnold,Foto von Arnold,foto di Ercole,철소 사진,1.0,2F06,31AE,brm_bul07,,,Coach's photo,,Coach's pic
Cobb's pic,,,Villagers,10,451,While Cobb Living in Town,,pic of Cobb,ハカセのしゃしん,foto de Franfuá,foto de Franfuá,photo de Porken,photo de Porken,Foto von Rolo,foto di Wurst,박사 사진,1.0,2FEF,32BE,brm_pig08,,,Cobb's photo,,Cobb's pic
Coco's pic,,,Villagers,10,451,While Coco Living in Town,,pic of Coco,やよいのしゃしん,foto de Cocoloca,foto de Cocoloca,photo de Coco,photo de Coco,Foto von Koko,foto di Coco,이요 사진,1.0,2FF8,32CA,brm_rbt02,,,Coco's photo,,Coco's pic
Cole's pic,,,Villagers,10,451,While Cole Living in Town,,pic of Cole,アマミンのしゃしん,foto de Nicolás,foto de Nicolás,photo d'Épicure,photo d'Épicure,Foto von Karl,foto di Lello,아마민 사진,1.0,3006,32DA,brm_rbt18,,,Cole's photo,,Cole's pic
Colton's pic,,,Villagers,10,451,While Colton Living in Town,,pic of Colton,アンソニーのしゃしん,foto de Furio,foto de Furio,photo de Tony,photo de Tony,Foto von Carsten,foto di Furio,안소니 사진,1.0,2F9E,3260,brm_hrs11,,,Colton's photo,,Colton's pic
Cookie's pic,,,Villagers,10,451,While Cookie Living in Town,,pic of Cookie,ペリーヌのしゃしん,foto de Purita,foto de Purita,photo de Cookie,photo de Cookie,Foto von Rosi,foto di Briciola,베리 사진,1.0,2F4D,31FE,brm_dog08,,,Cookie's photo,,Cookie's pic
Copper's pic,,,Copper amiibo gift,10,499,-,,pic of Copper,おまわりさんAのしゃしん,foto de Vigilio,foto de Vigilio,photo de Maret,photo de Maret,Foto von Harry,foto di Birro,경찰관A 사진,1.4,-,3337,int_bromide_plc,,,Copper's photo,,-
Cousteau's pic,,,Villagers,10,451,While Cousteau Living in Town,,pic of Cousteau,ハルマキのしゃしん,foto de Cousteau,foto de Cousteau,photo de Figaro,photo de Figaro,Foto von Jacques,foto di Jacques,왕서방 사진,1.0,2F72,322B,brm_flg10,,,Cousteau's photo,,Cousteau's pic
Cranston's pic,,,Villagers,10,451,While Cranston Living in Town,,pic of Cranston,トキオのしゃしん,foto de Carmelo,foto de Carmelo,photo de Gabin,photo de Gabin,Foto von Guido,foto di Carmine,타키 사진,1.0,2FD0,329D,brm_ost06,,,Cranston's photo,,Cranston's pic
Croque's pic,,,Villagers,10,451,While Croque Living in Town,,pic of Croque,タイシのしゃしん,foto de Ranolfo,foto de Ranolfo,photo de Carlos,photo de Carlos,Foto von Carlo,foto di Gracido,투투 사진,1.0,2F76,3231,brm_flg17,,,Croque's photo,,Croque's pic
Cube's pic,,,Villagers,10,451,While Cube Living in Town,,pic of Cube,ビスのしゃしん,foto de Cube,foto de Cube,photo de Cube,photo de Cube,Foto von Cube,foto di Cubetto,빙수 사진,1.0,2FDF,32AD,brm_pgn02,,,Cube's photo,,Cube's pic
Curlos's pic,,,Villagers,10,451,While Curlos Living in Town,,pic of Curlos,カルロスのしゃしん,foto de Carnerio,foto de Carnerio,photo de Tonton,photo de Tonton,Foto von Locke,foto di Boccolo,카를로스 사진,1.0,3010,32E9,brm_shp08,,,Curlos's photo,,Curlos's pic
Curly's pic,,,Villagers,10,451,While Curly Living in Town,,pic of Curly,ハムカツのしゃしん,foto de Rufueto,foto de Rufueto,photo de Tirbou,photo de Tirbou,Foto von Oink,foto di Ricciolo,햄까스 사진,1.0,2FE9,32B8,brm_pig00,,,Curly's photo,,Curly's pic
Curt's pic,,,Villagers,10,451,While Curt Living in Town,,pic of Curt,ガンテツのしゃしん,foto de Gorbaché,foto de Gorbaché,photo de Curt,photo de Curt,Foto von Kurt,foto di Curt,뚝심 사진,1.0,2EEF,3190,brm_bea02,,,Curt's photo,,Curt's pic
Cyrano's pic,,,Villagers,10,451,While Cyrano Living in Town,,pic of Cyrano,さくらじまのしゃしん,foto de Cirano,foto de Cirano,photo de Cyrano,photo de Cyrano,Foto von Theo,foto di Cirano,사지마 사진,1.0,2EE7,3187,brm_ant00,,,Cyrano's photo,,Cyrano's pic
Cyrus's pic,,,Cyrus amiibo gift,10,499,-,,pic of Cyrus,カイゾーのしゃしん,foto de Al,foto de Al,photo de Serge,photo de Serge,Foto von Björn,foto di Merino,리포 사진,1.4,-,3316,int_bromide_alp,,,Cyrus's photo,,-
Daisy's pic,,,Villagers,10,451,While Daisy Living in Town,,pic of Daisy,バニラのしゃしん,foto de Luisa,foto de Luisa,photo de Naomie,photo de Naomie,Foto von Doris,foto di Fiorella,바닐라 사진,1.0,2F4C,31FD,brm_dog07,,,Daisy's photo,,Daisy's pic
Deena's pic,,,Villagers,10,451,While Deena Living in Town,,pic of Deena,まりものしゃしん,foto de Martita,foto de Martita,photo de Mina,photo de Mina,Foto von Olivia,foto di Dina,마리모 사진,1.0,2F57,320A,brm_duk04,,,Deena's photo,,Deena's pic
Deirdre's pic,,,Villagers,10,451,While Deirdre Living in Town,,pic of Deirdre,ナディアのしゃしん,foto de Venada,foto de Venada,photo de Bichoune,photo de Bichoune,Foto von Dina,foto di Daria,나디아 사진,1.0,2F3F,31EF,brm_der04,,,Deirdre's photo,,Deirdre's pic
Del's pic,,,Villagers,10,451,While Del Living in Town,,pic of Del,ヤマトのしゃしん,foto de Croco,foto de Croco,photo d'Hector,photo d'Hector,Foto von Krokki,foto di Krokki,파도맨 사진,1.0,2F37,31E7,brm_crd04,,,Del's photo,,Del's pic
Deli's pic,,,Villagers,10,451,While Deli Living in Town,,pic of Deli,デリーのしゃしん,foto de Cana,foto de Cana,photo de Magogo,photo de Magogo,Foto von Anton,foto di Bobo,델리 사진,1.0,2FBC,3284,brm_mnk08,,,Deli's photo,,Deli's pic
Derwin's pic,,,Villagers,10,451,While Derwin Living in Town,,pic of Derwin,ボンのしゃしん,foto de Torcuato,foto de Torcuato,photo de Prof,photo de Prof,Foto von Erwin,foto di Mike,봉 사진,1.0,2F5B,320E,brm_duk08,,,Derwin's photo,,Derwin's pic
Diana's pic,,,Villagers,10,451,While Diana Living in Town,,pic of Diana,ナタリーのしゃしん,foto de Bambina,foto de Bambina,photo de Didi,photo de Didi,Foto von Vroni,foto di Diana,나탈리 사진,1.0,2F43,31F3,brm_der08,,,Diana's photo,,Diana's pic
Digby's pic,,,Digby amiibo gift,10,499,-,,pic of Digby,ケントのしゃしん,foto de Candrés,foto de Candrés,photo de Max,photo de Max,Foto von Moritz,foto di Fofò,켄트 사진,1.4,-,3349,int_bromide_szo,,,Digby's photo,,-
Diva's pic,,,Villagers,10,451,While Diva Living in Town,,pic of Diva,アイーダのしゃしん,foto de Morania,foto de Morania,photo de Violette,photo de Violette,Foto von Dörte,foto di Viola,아이다 사진,1.0,2F77,3232,brm_flg18,,,Diva's photo,,Diva's pic
Dizzy's pic,,,Villagers,10,451,While Dizzy Living in Town,,pic of Dizzy,ヒュージのしゃしん,foto de Quique,foto de Quique,photo de Pachy,photo de Pachy,Foto von Bastian,foto di Annibale,휴지 사진,1.0,2F63,3218,brm_elp01,,,Dizzy's photo,,Dizzy's pic
DJ KK's pic,,,DJ KK amiibo gift,10,499,-,,pic of DJ KK,DJK.Kのしゃしん,foto de DJ KeKe,foto de DJ KeKe,photo de DJ Kéké,photo de DJ Kéké,Foto von DJ K.K.,foto di DJ K.K.,DJ T.K. 사진,1.4,-,3345,int_bromide_enj,,,DJ KK's photo,,-
Dobie's pic,,,Villagers,10,451,While Dobie Living in Town,,pic of Dobie,けんのしゃしん,foto de Germán,foto de Germán,photo de Loupiot,photo de Loupiot,Foto von Sigmund,foto di Sigmund,켄 사진,1.4,-,330F,brm_wol04,,,Dobie's photo,,Dobie's pic
Doc's pic,,,Villagers,10,451,While Doc Living in Town,,pic of Doc,トビオのしゃしん,foto de Crispín,foto de Crispín,photo de Doc,photo de Doc,Foto von Gustl,foto di Doc,토니 사진,1.0,3000,32D2,brm_rbt10,,,Doc's photo,,Doc's pic
Don Resetti's pic,,,Don Resetti,10,499,-,,pic of Don Resetti,ラケットさんのしゃしん,foto de Forma T.,foto de Forma T.,photo de Don,photo de Don,Foto von Don,foto di Don,오루묵씨 사진,1.0,3038,332B,int_bromide_mob,,,Don's photo,,-
Dora's pic,,,Villagers,10,451,While Dora Living in Town,,pic of Dora,とめのしゃしん,foto de Dori,foto de Dori,photo de Dora,photo de Dora,Foto von Dora,foto di Serena,티미 사진,1.0,2FBD,3285,brm_mus00,,,Dora's photo,,Dora's pic
Dotty's pic,,,Villagers,10,451,While Dotty Living in Town,,pic of Dotty,マーサのしゃしん,foto de Katia,foto de Katia,photo de Dorothée,photo de Dorothée,Foto von Doro,foto di Dotty,서머 사진,1.0,2FF7,32C9,brm_rbt01,,,Dotty's photo,,Dotty's pic
Drago's pic,,,Villagers,10,451,While Drago Living in Town,,pic of Drago,タツオのしゃしん,foto de Dragonio,foto de Dragonio,photo de Drago,photo de Drago,Foto von Frederick,foto di Dragonio,용남이 사진,1.0,2F3A,31EA,brm_crd08,,,Drago's photo,,Drago's pic
Drake's pic,,,Villagers,10,451,While Drake Living in Town,,pic of Drake,フォアグラのしゃしん,foto de Draco,foto de Draco,photo de Colvert,photo de Colvert,Foto von Gustav,foto di Drago,푸아그라 사진,1.0,2F5C,320F,brm_duk09,,,Drake's photo,,Drake's pic
Drift's pic,,,Villagers,10,451,While Drift Living in Town,,pic of Drift,ドクのしゃしん,foto de Surfín,foto de Surfín,photo de Gordon,photo de Gordon,Foto von Caspar,foto di Prospero,덕 사진,1.0,2F6E,3226,brm_flg04,,,Drift's photo,,Drift's pic
Ed's pic,,,Villagers,10,451,While Ed Living in Town,,pic of Ed,キザノホマレのしゃしん,foto de Crinaldo,foto de Crinaldo,photo d'Édouard,photo d'Édouard,Foto von Hermann,foto di Codino,꺼벙 사진,1.0,2F9A,325B,brm_hrs06,,,Ed's photo,,Ed's pic
Egbert's pic,,,Villagers,10,451,While Egbert Living in Town,,pic of Egbert,しもやけのしゃしん,foto de Norberto,foto de Norberto,photo d'Herbert,photo d'Herbert,Foto von Waldemar,foto di Chicco,김희 사진,1.0,2F2C,31D9,brm_chn02,,,Egbert's photo,,Egbert's pic
Elise's pic,,,Villagers,10,451,While Elise Living in Town,,pic of Elise,モンこのしゃしん,foto de Mayra,foto de Mayra,photo d'Élise,photo d'Élise,Foto von Steffi,foto di Elisa,몽자 사진,1.0,2FB9,3281,brm_mnk05,,,Elise's photo,,Elise's pic
Ellie's pic,,,Villagers,10,451,While Ellie Living in Town,,pic of Ellie,エクレアのしゃしん,foto de Eli,foto de Eli,photo d'Ella,photo d'Ella,Foto von Elfi,foto di Elly,에끌레르 사진,1.4,-,321E,brm_elp07,,,Ellie's photo,,Ellie's pic
Elmer's pic,,,Villagers,10,451,While Elmer Living in Town,,pic of Elmer,サブレのしゃしん,foto de Jacinto,foto de Jacinto,photo de Martin,photo de Martin,Foto von Emil,foto di Oreste,샤브렌 사진,1.0,2F97,3258,brm_hrs03,,,Elmer's photo,,Elmer's pic
Eloise's pic,,,Villagers,10,451,While Eloise Living in Town,,pic of Eloise,エレフィンのしゃしん,foto de Eloísa,foto de Eloísa,photo d'Éloïse,photo d'Éloïse,Foto von Frauke,foto di Eloisa,엘레핀 사진,1.0,2F65,321A,brm_elp03,,,Eloise's photo,,Eloise's pic
Elvis's pic,,,Villagers,10,451,While Elvis Living in Town,,pic of Elvis,キングのしゃしん,foto de Elvis,foto de Elvis,photo d'Elvis,photo d'Elvis,Foto von Leonardo,foto di Elvis,킹 사진,1.0,2FB1,3277,brm_lon01,,,Elvis's photo,,Elvis's pic
Epona's pic,,,Villagers,10,451,While Epona Living in Town,,pic of Epona,エポナのしゃしん,foto de Epona,foto de Epona,photo d'Épona,photo d'Épona,Foto von Epona,foto di Epona,에포나 사진,1.4,-,3264,brm_hrs15,,,-,,-
Erik's pic,,,Villagers,10,451,While Erik Living in Town,,pic of Erik,チャックのしゃしん,foto de Cervasio,foto de Cervasio,photo d'Abraham,photo d'Abraham,Foto von Erik,foto di Cervasio,자끄 사진,1.0,2F44,31F4,brm_der09,,,Erik's photo,,Erik's pic
Étoile's pic,,,Villagers,10,451,While Étoile Living in Town,,pic of Étoile,エトワールのしゃしん,foto de Etoile,foto de Etoile,photo d'Étoile,photo d'Étoile,Foto von Etoile,foto di Étoile,에뜨와르 사진,1.4,-,32EF,brm_shp14,,,Étoile's photo,,Étoile's pic
Eugene's pic,,,Villagers,10,451,While Eugene Living in Town,,pic of Eugene,ロッキーのしゃしん,foto de Eucalín,foto de Eucalín,photo de Jamy,photo de Jamy,Foto von Sunny,foto di Corrado,코알 사진,1.0,2FA8,326D,brm_kal10,,,Eugene's photo,,Eugene's pic
Eunice's pic,,,Villagers,10,451,While Eunice Living in Town,,pic of Eunice,モヘアのしゃしん,foto de Lanolina,foto de Lanolina,photo de Bérénice,photo de Bérénice,Foto von Edith,foto di Tenerina,곱슬이 사진,1.0,300E,32E5,brm_shp02,,,Eunice's photo,,Eunice's pic
Fang's pic,,,Villagers,10,451,While Fang Living in Town,,pic of Fang,シベリアのしゃしん,foto de Colmillo,foto de Colmillo,photo de Pierrot,photo de Pierrot,Foto von Grimm,foto di Zanna,시베리아 사진,1.0,3031,3311,brm_wol06,,,Fang's photo,,Fang's pic
Fauna's pic,,,Villagers,10,451,While Fauna Living in Town,,pic of Fauna,ドレミのしゃしん,foto de Fauna,foto de Fauna,photo de Bibi,photo de Bibi,Foto von Fatima,foto di Cervina,솔미 사진,1.0,2F3B,31EB,brm_der00,,,Fauna's photo,,Fauna's pic
Felicity's pic,,,Villagers,10,451,While Felicity Living in Town,,pic of Felicity,みかっちのしゃしん,foto de Micha,foto de Micha,photo de Maud,photo de Maud,Foto von Minka,foto di Milly,예링 사진,1.0,2F19,31C1,brm_cat17,,,Felicity's photo,,Felicity's pic
Felyne's pic,,,Villagers,10,451,While Felyne Living in Town,,pic of Felyne,アイルーのしゃしん,foto de Felyne,foto de Felyne,photo de Felyne,photo de Felyne,Foto von Felyne,foto di Felyne,아이루 사진,1.4,-,31C6,brm_cat22,,,-,,-
Filbert's pic,,,Villagers,10,451,While Filbert Living in Town,,pic of Filbert,リッキーのしゃしん,foto de Filberto,foto de Filberto,photo de Filibert,photo de Filibert,Foto von Felix,foto di Scriccio,리키 사진,1.0,3018,32F2,brm_squ02,,,Filbert's photo,,Filbert's pic
Flip's pic,,,Villagers,10,451,While Flip Living in Town,,pic of Flip,さすけのしゃしん,foto de Monet,foto de Monet,photo de Rudy,photo de Rudy,Foto von Pippo,foto di Benny,원승 사진,1.0,2FBA,3282,brm_mnk06,,,Flip's photo,,Flip's pic
Flo's pic,,,Villagers,10,451,While Flo Living in Town,,pic of Flo,レイラのしゃしん,foto de Nieves,foto de Nieves,photo de Nora,photo de Nora,Foto von Susanne,foto di Nives,레이라 사진,1.0,2FE7,32B6,brm_pgn13,,,Flo's photo,,Flo's pic
Flora's pic,,,Villagers,10,451,While Flora Living in Town,,pic of Flora,フララのしゃしん,foto de Azucena,foto de Azucena,photo de Justine,photo de Justine,Foto von Flora,foto di Rosalba,플라라 사진,1.0,2FD3,32A0,brm_ost09,,,Flora's photo,,Flora's pic
Flurry's pic,,,Villagers,10,451,While Flurry Living in Town,,pic of Flurry,ゆきみのしゃしん,foto de Lluvia,foto de Lluvia,photo d'Emma,photo d'Emma,Foto von Emilie,foto di Meringa,뽀야미 사진,1.0,2F8C,324B,brm_ham06,,,Flurry's photo,,Flurry's pic
Francine's pic,,,Villagers,10,451,While Francine Living in Town,,pic of Francine,フランソワのしゃしん,foto de Natacha,foto de Natacha,photo de Nadine,photo de Nadine,Foto von Manu,foto di Franca,프랑소와 사진,1.0,3001,32D4,brm_rbt12,,,Francine's photo,,Francine's pic
Frank's pic,,,Villagers,10,451,While Frank Living in Town,,pic of Frank,ハルクのしゃしん,foto de Aquilino,foto de Aquilino,photo de Greggae,photo de Greggae,Foto von Arthur,foto di Frank,헐크 사진,1.0,2FD9,32A7,brm_pbr06,,,Frank's photo,,Frank's pic
Franklin's pic,,,Franklin amiibo gift,10,499,-,,pic of Franklin,フランクリンのしゃしん,foto de Guindo,foto de Guindo,photo de Dindou,photo de Dindou,Foto von Gernod,foto di Cedrone,프랭클린 사진,1.4,-,333F,int_bromide_tuk,,,Franklin's photo,,-
Freckles's pic,,,Villagers,10,451,While Freckles Living in Town,,pic of Freckles,マグロのしゃしん,foto de Rebeca,foto de Rebeca,photo de Caro,photo de Caro,Foto von Quacks,foto di Semola,다랑어 사진,1.0,2F5A,320D,brm_duk07,,,Freckles's photo,,Freckles's pic
Freya's pic,,,Villagers,10,451,While Freya Living in Town,,pic of Freya,ツンドラのしゃしん,foto de Lupita,foto de Lupita,photo de Luppa,photo de Luppa,Foto von Freya,foto di Freya,산드라 사진,1.0,3030,3310,brm_wol05,,,Freya's photo,,Freya's pic
Friga's pic,,,Villagers,10,451,While Friga Living in Town,,pic of Friga,サブリナのしゃしん,foto de Frida,foto de Frida,photo de Friga,photo de Friga,Foto von Frieda,foto di Frida,사브리나 사진,1.0,2FE1,32AF,brm_pgn04,,,Friga's photo,,Friga's pic
Frita's pic,,,Villagers,10,451,While Frita Living in Town,,pic of Frita,ウェンディのしゃしん,foto de Ovinia,foto de Ovinia,photo de Clarabêl,photo de Clarabêl,Foto von Martina,foto di Landa,웬디 사진,1.0,3013,32EC,brm_shp11,,,Frita's photo,,Frita's pic
Frobert's pic,,,Villagers,10,451,While Frobert Living in Town,,pic of Frobert,コージィのしゃしん,foto de Croaldo,foto de Croaldo,photo de Verbert,photo de Verbert,Foto von Fritz,foto di Froberto,구리구리 사진,1.0,2F6C,3224,brm_flg02,,,Frobert's photo,,Frobert's pic
Fuchsia's pic,,,Villagers,10,451,While Fuchsia Living in Town,,pic of Fuchsia,ジェシカのしゃしん,foto de Rosalina,foto de Rosalina,photo de Rosanne,photo de Rosanne,Foto von Selina,foto di Fuxia,제시카 사진,1.0,2F41,31F1,brm_der06,,,Fuchsia's photo,,Fuchsia's pic
Gabi's pic,,,Villagers,10,451,While Gabi Living in Town,,pic of Gabi,ペチカのしゃしん,foto de Piluca,foto de Piluca,photo de Gaby,photo de Gaby,Foto von Gabi,foto di Gabri,패티카 사진,1.0,2FFB,32CD,brm_rbt05,,,Gabi's photo,,Gabi's pic
Gala's pic,,,Villagers,10,451,While Gala Living in Town,,pic of Gala,ためこのしゃしん,foto de Marita,foto de Marita,photo de Camille,photo de Camille,Foto von Oinka,foto di Lisetta,꽃지 사진,1.0,2FF1,32C2,brm_pig13,,,Gala's photo,,Gala's pic
Ganon's pic,,,Villagers,10,451,While Ganon Living in Town,,pic of Ganon,ガノンのしゃしん,foto de Ganon,foto de Ganon,photo de Ganon,photo de Ganon,Foto von Ganon,foto di Ganon,가논 사진,1.4,-,32C7,brm_pig18,,,-,,-
Gaston's pic,,,Villagers,10,451,While Gaston Living in Town,,pic of Gaston,モサキチのしゃしん,foto de Gastón,foto de Gastón,photo de Gaston,photo de Gaston,Foto von Gaston,foto di Gaston,대길 사진,1.0,2FFA,32CC,brm_rbt04,,,Gaston's photo,,Gaston's pic
Gayle's pic,,,Villagers,10,451,While Gayle Living in Town,,pic of Gayle,アリゲッティのしゃしん,foto de Boni,foto de Boni,photo d'Odile,photo d'Odile,Foto von Rosa,foto di Codrilla,앨리 사진,1.0,2F39,31E9,brm_crd07,,,Gayle's photo,,Gayle's pic
Genji's pic,,,Villagers,10,451,While Genji Living in Town,,pic of Genji,ゲンジのしゃしん,foto de Sumo,foto de Sumo,photo de Kali,photo de Kali,Foto von Aki,foto di Genji,토시 사진,1.0,2FFE,32D0,brm_rbt08,,,Genji's photo,,Genji's pic
Gigi's pic,,,Villagers,10,451,While Gigi Living in Town,,pic of Gigi,リンダのしゃしん,foto de Cleo,foto de Cleo,photo de Gloria,photo de Gloria,Foto von Violetta,foto di Raganà,린다 사진,1.0,2F75,3230,brm_flg16,,,Gigi's photo,,Gigi's pic
Gladys's pic,,,Villagers,10,451,While Gladys Living in Town,,pic of Gladys,ちとせのしゃしん,foto de Gladis,foto de Gladis,photo de Gladys,photo de Gladys,Foto von Sandra,foto di Marta,빅토리아 사진,1.0,2FCF,3299,brm_ost01,,,Gladys's photo,,Gladys's pic
Gloria's pic,,,Villagers,10,451,While Gloria Living in Town,,pic of Gloria,スワンソンのしゃしん,foto de Jarrea,foto de Jarrea,photo de Déborah,photo de Déborah,Foto von Gustavia,foto di Pappy,마릴린 사진,1.0,2F5F,3214,brm_duk15,,,Gloria's photo,,Gloria's pic
Goldie's pic,,,Villagers,10,451,While Goldie Living in Town,,pic of Goldie,キャラメルのしゃしん,foto de Tere,foto de Tere,photo de Mirza,photo de Mirza,Foto von Bienchen,foto di Dora,카라멜 사진,1.0,2F45,31F6,brm_dog00,,,Goldie's photo,,Goldie's pic
Gonzo's pic,,,Villagers,10,451,While Gonzo Living in Town,,pic of Gonzo,ゴンゾーのしゃしん,foto de Bronco,foto de Bronco,photo de Gonzo,photo de Gonzo,Foto von Heribert,foto di Gonzo,근성 사진,1.4,-,3269,brm_kal04,,,Gonzo's photo,,Gonzo's pic
Goose's pic,,,Villagers,10,451,While Goose Living in Town,,pic of Goose,ケンタのしゃしん,foto de Gus,foto de Gus,photo de Pouli,photo de Pouli,Foto von Konrad,foto di Chiricò,건태 사진,1.0,2F2A,31D7,brm_chn00,,,Goose's photo,,Goose's pic
Gracie's pic,,,Gracie amiibo gift,10,499,-,,pic of Gracie,グレースのしゃしん,foto de Graciela,foto de Graciela,photo de Carla,photo de Carla,Foto von Grazia,foto di Griffa,그레이스 사진,1.4,-,3320,int_bromide_grf,,,Gracie's photo,,-
Graham's pic,,,Villagers,10,451,While Graham Living in Town,,pic of Graham,グラハムのしゃしん,foto de Roelio,foto de Roelio,photo de Graham,photo de Graham,Foto von Günther,foto di Evaristo,글라햄 사진,1.0,2F88,3247,brm_ham02,,,Graham's photo,,Graham's pic
Grams's pic,,,Grams amiibo gift,10,499,-,,pic of Grams,ゲコのしゃしん,foto de Rosauria,foto de Rosauria,photo de Mamiral,photo de Mamiral,Foto von Bonnie,foto di Remigia,귀녀 사진,1.4,-,3324,int_bromide_kpg,,,Grams's photo,,-
Greta's pic,,,Villagers,10,451,While Greta Living in Town,,pic of Greta,ふくこのしゃしん,foto de Jimena,foto de Jimena,photo de Greta,photo de Greta,Foto von Gretel,foto di Greta,복자 사진,1.0,2FC8,3291,brm_mus16,,,Greta's photo,,Greta's pic
Grizzly's pic,,,Villagers,10,451,While Grizzly Living in Town,,pic of Grizzly,ムーのしゃしん,foto de Gruñón,foto de Gruñón,photo de Grizzly,photo de Grizzly,Foto von Gerald,foto di Grizzly,무뚝 사진,1.0,2EF4,3196,brm_bea09,,,Grizzly's photo,,Grizzly's pic
Groucho's pic,,,Villagers,10,451,While Groucho Living in Town,,pic of Groucho,クローのしゃしん,foto de Groucho,foto de Groucho,photo de Ronchon,photo de Ronchon,Foto von Ernst,foto di Groucho,거무틱 사진,1.0,2EF2,3193,brm_bea06,,,Groucho's photo,,Groucho's pic
Gruff's pic,,,Villagers,10,451,While Gruff Living in Town,,pic of Gruff,ビリーのしゃしん,foto de Sátiro,foto de Sátiro,photo de Grognon,photo de Grognon,Foto von Gregor,foto di Capriolé,빌리 사진,1.0,2F7B,3237,brm_goa04,,,Gruff's photo,,Gruff's pic
Gulliver's pic,,,Gulliver amiibo gift,10,499,-,,pic of Gulliver,ジョニーのしゃしん,foto de Gulliver,foto de Gulliver,photo de Gulliver,photo de Gulliver,Foto von Gulliver,foto di Gulliver,죠니 사진,1.4,-,333A,int_bromide_seg,,,Gulliver's photo,,-
Gwen's pic,,,Villagers,10,451,While Gwen Living in Town,,pic of Gwen,ポーラのしゃしん,foto de Fabiola,foto de Fabiola,photo de Gwen,photo de Gwen,Foto von Judith,foto di Gelinda,폴라 사진,1.0,2FE2,32B0,brm_pgn05,,,Gwen's photo,,Gwen's pic
Hamlet's pic,,,Villagers,10,451,While Hamlet Living in Town,,pic of Hamlet,ハムスケのしゃしん,foto de Bombo,foto de Bombo,photo de Jojo,photo de Jojo,Foto von Hamid,foto di Amleto,햄스틴 사진,1.0,2F86,3245,brm_ham00,,,Hamlet's photo,,Hamlet's pic
Hamphrey's pic,,,Villagers,10,451,While Hamphrey Living in Town,,pic of Hamphrey,ハムジのしゃしん,foto de Arsenio,foto de Arsenio,photo de Charles,photo de Charles,Foto von Heinrich,foto di Nerone,햄쥐 사진,1.0,2F8D,324C,brm_ham07,,,Hamphrey's photo,,Hamphrey's pic
Hans's pic,,,Villagers,10,451,While Hans Living in Town,,pic of Hans,スナイルのしゃしん,foto de Hans,foto de Hans,photo de Loran,photo de Loran,Foto von Hans,foto di Grigilio,스나일 사진,1.0,2F85,3243,brm_gor10,,,Hans's photo,,Hans's pic
Harriet's pic,,,Harriet amiibo gift,10,499,-,,pic of Harriet,カットリーヌのしゃしん,foto de Marilín,foto de Marilín,photo de Ginette,photo de Ginette,Foto von Trude,foto di Bigodina,카트리나 사진,1.4,-,3338,int_bromide_poo,,,Harriet's photo,,-
Harry's pic,,,Villagers,10,451,While Harry Living in Town,,pic of Harry,オリバーのしゃしん,foto de Harpo,foto de Harpo,photo de Bob,photo de Bob,Foto von Jürgen,foto di Ercolino,올리버 사진,1.0,2F92,3253,brm_hip08,,,Harry's photo,,Harry's pic
Hazel's pic,,,Villagers,10,451,While Hazel Living in Town,,pic of Hazel,アイリスのしゃしん,foto de Anacarda,foto de Anacarda,photo de Pamela,photo de Pamela,Foto von Nadine,foto di Cigliola,아이리스 사진,1.0,3025,3301,brm_squ18,,,Hazel's photo,,Hazel's pic
Henry's pic,,,Villagers,10,451,While Henry Living in Town,,pic of Henry,ヘンリーのしゃしん,foto de Saperto,foto de Saperto,photo d'Henri,photo d'Henri,Foto von Freddy,foto di Renato,헨리 사진,1.0,2F78,3233,brm_flg19,,,Henry's photo,,Henry's pic
Hippeux's pic,,,Villagers,10,451,While Hippeux Living in Town,,pic of Hippeux,ディビッドのしゃしん,foto de Hipóleo,foto de Hipóleo,photo de Paulito,photo de Paulito,Foto von Herbert,foto di Poppy,데이빗 사진,1.0,2F93,3254,brm_hip09,,,Hippeux's photo,,Hippeux's pic
Hopkins's pic,,,Villagers,10,451,While Hopkins Living in Town,,pic of Hopkins,プースケのしゃしん,foto de Saltiago,foto de Saltiago,photo de Grignote,photo de Grignote,Foto von Poldi,foto di Azeglio,홉킨스 사진,1.4,-,32D6,brm_rbt14,,,Hopkins's photo,,Hopkins's pic
